################################################################################
# Collectl:   V3.6.9-1  HiRes: 1  Options: -P -f results/2017-12-07-15-01/tcp_collect_64serv_207.dat -sc -c20 -oaz 
# Host:       server-0  DaemonOpts: 
# Booted:     1512747678.85 [20171208-08:41:18]
# Distro:     debian jessie/sid, Ubuntu 14.04.1 LTS  Platform: 
# Date:       20171208-112438  Secs: 1512757478 TZ: -0700
# SubSys:     c Options: az Interval: 1 NumCPUs: 64 [HYPER] NumBud: 0 Flags: i
# Filters:    NfsFilt:  EnvFilt:  TcpFilt: ituc
# HZ:         100  Arch: x86_64-linux-gnu-thread-multi PageSize: 4096
# Cpu:        GenuineIntel Speed(MHz): 2199.997 Cores: 8  Siblings: 16 Nodes: 4
# Kernel:     3.13.0-100-generic  Memory: 131822812 kB  Swap: 3145724 kB
# NumDisks:   7 DiskNames: sdc sdb sdd sde sdf sdg sda
# NumNets:    9 NetNames: eth0:1000 eth1:?? eth2:?? eth3:?? eth4:10000 eth5:10000 eth6:10000 eth7:?? lo:??
# SCSI:       DA:0:00:00:00 DA:0:00:01:00 DA:0:00:02:00 DA:0:00:03:00 DA:0:00:04:00 DA:0:00:05:00 DA:0:00:06:00 ??:0:00:32:00
################################################################################
#Date Time [CPU]User% [CPU]Nice% [CPU]Sys% [CPU]Wait% [CPU]Irq% [CPU]Soft% [CPU]Steal% [CPU]Idle% [CPU]Totl% [CPU]Intrpt/sec [CPU]Ctx/sec [CPU]Proc/sec [CPU]ProcQue [CPU]ProcRun [CPU]L-Avg1 [CPU]L-Avg5 [CPU]L-Avg15 [CPU]RunTot [CPU]BlkTot
20171208 11:24:40 2 0 40 0 0 25 0 33 67 2241291 580445 0 688 56 32.80 27.36 23.51 22 0
20171208 11:24:41 3 0 37 0 0 24 0 36 64 2168233 580067 0 688 15 32.80 27.36 23.51 30 0
20171208 11:24:42 3 0 40 0 0 25 0 32 68 2271890 596494 0 688 54 32.80 27.36 23.51 17 0
20171208 11:24:43 2 0 39 0 0 26 0 32 68 2237000 571148 0 688 53 31.93 27.27 23.50 17 0
20171208 11:24:44 2 0 38 0 0 23 0 37 63 2152172 602282 0 688 53 31.93 27.27 23.50 40 0
20171208 11:24:45 3 0 39 0 0 26 0 33 67 2237123 597576 0 688 62 31.93 27.27 23.50 39 0
20171208 11:24:46 3 0 40 0 0 26 0 31 69 2270406 605504 0 688 22 31.93 27.27 23.50 49 0
20171208 11:24:47 2 0 40 0 0 27 0 31 69 2257575 584651 0 688 62 31.93 27.27 23.50 57 0
20171208 11:24:48 3 0 44 0 0 29 0 24 76 2510948 614172 0 688 59 33.70 27.72 23.67 52 0
20171208 11:24:49 2 0 37 0 0 23 0 37 63 2148176 597606 0 688 27 33.70 27.72 23.67 48 0
20171208 11:24:50 3 0 37 0 0 22 0 39 61 2071953 630613 0 688 64 33.70 27.72 23.67 12 0
20171208 11:24:51 3 0 40 0 0 25 0 32 68 2259953 611990 0 688 64 33.70 27.72 23.67 15 0
20171208 11:24:52 3 0 40 0 0 26 0 32 68 2277976 589512 0 688 14 33.70 27.72 23.67 24 0
20171208 11:24:53 3 0 40 0 0 26 0 31 69 2257788 568054 0 688 62 33.08 27.69 23.68 56 0
20171208 11:24:54 2 0 40 0 0 27 0 31 69 2275087 553906 0 688 51 33.08 27.69 23.68 20 0
20171208 11:24:55 3 0 41 0 0 26 0 30 70 2291369 533435 0 688 5 33.08 27.69 23.68 52 0
20171208 11:24:56 3 0 40 0 0 26 0 31 69 2266463 545680 0 688 53 33.08 27.69 23.68 51 0
20171208 11:24:57 3 0 39 0 0 27 0 31 69 2274966 572854 0 688 53 33.08 27.69 23.68 17 0
20171208 11:24:58 3 0 39 0 0 26 0 32 68 2255046 566734 0 688 25 34.44 28.06 23.82 15 0
20171208 11:24:59 2 0 40 0 0 27 0 30 70 2298712 565483 0 688 51 34.44 28.06 23.82 18 0
