################################################################################
# Collectl:   V3.6.9-1  HiRes: 1  Options: -P -f results/2017-12-07-15-01/tcp_collect_64serv_287.dat -sc -c20 -oaz 
# Host:       server-0  DaemonOpts: 
# Booted:     1512747679 [20171208-08:41:19]
# Distro:     debian jessie/sid, Ubuntu 14.04.1 LTS  Platform: 
# Date:       20171208-124815  Secs: 1512762495 TZ: -0700
# SubSys:     c Options: az Interval: 1 NumCPUs: 64 [HYPER] NumBud: 0 Flags: i
# Filters:    NfsFilt:  EnvFilt:  TcpFilt: ituc
# HZ:         100  Arch: x86_64-linux-gnu-thread-multi PageSize: 4096
# Cpu:        GenuineIntel Speed(MHz): 2199.997 Cores: 8  Siblings: 16 Nodes: 4
# Kernel:     3.13.0-100-generic  Memory: 131822812 kB  Swap: 3145724 kB
# NumDisks:   7 DiskNames: sdc sdb sdd sde sdf sdg sda
# NumNets:    9 NetNames: eth0:1000 eth1:?? eth2:?? eth3:?? eth4:10000 eth5:10000 eth6:10000 eth7:?? lo:??
# SCSI:       DA:0:00:00:00 DA:0:00:01:00 DA:0:00:02:00 DA:0:00:03:00 DA:0:00:04:00 DA:0:00:05:00 DA:0:00:06:00 ??:0:00:32:00
################################################################################
#Date Time [CPU]User% [CPU]Nice% [CPU]Sys% [CPU]Wait% [CPU]Irq% [CPU]Soft% [CPU]Steal% [CPU]Idle% [CPU]Totl% [CPU]Intrpt/sec [CPU]Ctx/sec [CPU]Proc/sec [CPU]ProcQue [CPU]ProcRun [CPU]L-Avg1 [CPU]L-Avg5 [CPU]L-Avg15 [CPU]RunTot [CPU]BlkTot
20171208 12:48:17 2 0 37 0 0 34 0 27 73 2132635 441100 0 688 54 41.66 35.59 27.58 50 0
20171208 12:48:18 2 0 42 0 0 36 0 19 81 2419943 397407 0 688 49 41.66 35.59 27.58 59 0
20171208 12:48:19 2 0 40 0 0 34 0 23 77 2567410 476963 0 688 14 41.66 35.59 27.58 46 0
20171208 12:48:20 2 0 33 0 0 28 0 37 63 2082031 494190 0 688 27 41.66 35.59 27.58 27 0
20171208 12:48:21 2 0 38 0 0 32 0 27 73 2122301 400161 0 688 22 41.66 35.59 27.58 33 0
20171208 12:48:22 2 0 36 0 0 28 0 34 66 1651488 440506 0 688 32 43.21 36.02 27.76 41 0
20171208 12:48:23 2 0 34 0 0 25 0 39 61 1542422 497987 0 688 34 43.21 36.02 27.76 28 0
20171208 12:48:24 2 0 37 0 0 31 0 30 70 2016000 401742 0 688 58 43.21 36.02 27.76 63 0
20171208 12:48:25 2 0 36 0 0 30 0 31 69 1940991 396699 0 688 52 43.21 36.02 27.76 51 0
20171208 12:48:26 2 0 36 0 0 31 0 31 69 1987938 443719 0 688 48 43.21 36.02 27.76 50 0
20171208 12:48:27 2 0 37 0 0 31 0 30 70 2045697 427012 0 688 13 41.19 35.72 27.71 52 0
20171208 12:48:28 2 0 39 0 0 31 0 28 72 1852662 479644 0 688 52 41.19 35.72 27.71 47 0
20171208 12:48:29 2 0 40 0 0 31 0 27 73 1757994 525784 0 688 35 41.19 35.72 27.71 62 0
20171208 12:48:30 2 0 39 0 0 32 0 26 74 2187916 314734 0 688 45 41.19 35.72 27.71 62 0
20171208 12:48:31 2 0 39 0 0 34 0 25 75 2068401 357800 0 688 21 41.19 35.72 27.71 31 0
20171208 12:48:32 2 0 38 0 0 33 0 27 73 2108968 365240 0 688 46 42.46 36.07 27.87 36 0
20171208 12:48:33 2 0 38 0 0 32 0 28 72 2115730 399906 0 688 44 42.46 36.07 27.87 22 0
20171208 12:48:34 2 0 34 0 0 27 0 37 63 1546484 472400 0 688 45 42.46 36.07 27.87 24 0
20171208 12:48:35 2 0 33 0 0 26 0 39 61 1517733 466651 0 688 23 42.46 36.07 27.87 40 0
20171208 12:48:36 2 0 38 0 0 34 0 26 74 2129482 370714 0 688 57 42.46 36.07 27.87 59 0
