################################################################################
# Collectl:   V3.6.9-1  HiRes: 1  Options: -P -f results/2017-12-12-10-08/tcp_collect_u160_1.dat -sc -c160 -oaz 
# Host:       server-0  DaemonOpts: 
# Booted:     1513095707.43 [20171212-09:21:47]
# Distro:     debian jessie/sid, Ubuntu 14.04.1 LTS  Platform: 
# Date:       20171212-155827  Secs: 1513119507 TZ: -0700
# SubSys:     c Options: az Interval: 1 NumCPUs: 64 [HYPER] NumBud: 0 Flags: i
# Filters:    NfsFilt:  EnvFilt:  TcpFilt: ituc
# HZ:         100  Arch: x86_64-linux-gnu-thread-multi PageSize: 4096
# Cpu:        GenuineIntel Speed(MHz): 2200.004 Cores: 8  Siblings: 16 Nodes: 4
# Kernel:     3.13.0-100-generic  Memory: 131822812 kB  Swap: 3145724 kB
# NumDisks:   7 DiskNames: sdc sdb sdd sde sdf sdg sda
# NumNets:    9 NetNames: eth0:1000 eth1:?? eth2:?? eth3:?? eth4:10000 eth5:10000 eth6:10000 eth7:?? lo:??
# SCSI:       DA:0:00:00:00 DA:0:00:01:00 DA:0:00:02:00 DA:0:00:03:00 DA:0:00:04:00 DA:0:00:05:00 DA:0:00:06:00 ??:0:00:32:00
################################################################################
#Date Time [CPU]User% [CPU]Nice% [CPU]Sys% [CPU]Wait% [CPU]Irq% [CPU]Soft% [CPU]Steal% [CPU]Idle% [CPU]Totl% [CPU]Intrpt/sec [CPU]Ctx/sec [CPU]Proc/sec [CPU]ProcQue [CPU]ProcRun [CPU]L-Avg1 [CPU]L-Avg5 [CPU]L-Avg15 [CPU]RunTot [CPU]BlkTot
20171212 15:58:29 0 0 4 0 0 2 0 94 6 184047 247299 0 688 6 33.77 31.76 26.78 3 0
20171212 15:58:30 0 0 4 0 0 2 0 94 6 167202 243603 0 688 6 33.77 31.76 26.78 4 0
20171212 15:58:31 0 0 4 0 0 2 0 94 6 164929 239403 0 688 5 33.77 31.76 26.78 6 0
20171212 15:58:32 0 0 4 0 0 2 0 94 6 164056 241884 0 688 4 33.77 31.76 26.78 6 0
20171212 15:58:33 0 0 5 0 0 2 0 93 7 178639 254208 0 688 6 31.39 31.30 26.66 4 0
20171212 15:58:34 0 0 5 0 0 2 0 93 7 178848 255431 0 688 2 31.39 31.30 26.66 3 0
20171212 15:58:35 0 0 4 0 0 2 0 94 6 179350 257338 0 688 4 31.39 31.30 26.66 4 0
20171212 15:58:36 0 0 5 0 0 2 0 93 7 181569 259186 0 688 6 31.39 31.30 26.66 5 0
20171212 15:58:37 0 0 5 0 0 2 0 93 7 178454 256012 0 688 5 31.39 31.30 26.66 5 0
20171212 15:58:38 0 0 4 0 0 2 0 94 6 178289 256628 0 688 2 29.19 30.84 26.54 4 0
20171212 15:58:39 0 0 5 0 0 2 0 93 7 179514 258784 0 688 6 29.19 30.84 26.54 5 0
20171212 15:58:40 0 0 4 0 0 2 0 94 6 174837 256811 0 688 8 29.19 30.84 26.54 6 0
20171212 15:58:41 0 0 4 0 0 2 0 93 7 181618 259537 0 688 4 29.19 30.84 26.54 5 0
20171212 15:58:42 0 0 4 0 0 2 0 94 6 180685 261876 0 688 5 29.19 30.84 26.54 9 0
20171212 15:58:43 0 0 5 0 0 2 0 93 7 194589 271595 0 688 7 27.26 30.41 26.42 6 0
20171212 15:58:44 0 0 5 0 0 2 0 93 7 192603 270068 0 688 6 27.26 30.41 26.42 3 0
20171212 15:58:45 0 0 5 0 0 2 0 93 7 193485 267350 0 688 8 27.26 30.41 26.42 6 0
20171212 15:58:46 0 0 5 0 0 2 0 93 7 200420 271726 0 688 4 27.26 30.41 26.42 7 0
20171212 15:58:47 0 0 5 0 0 2 0 93 7 199048 271305 0 688 6 27.26 30.41 26.42 5 0
20171212 15:58:48 0 0 5 0 0 2 0 93 7 196211 270201 0 688 7 25.31 29.96 26.29 4 0
20171212 15:58:49 0 0 5 0 0 2 0 93 7 197349 273250 0 688 5 25.31 29.96 26.29 2 0
20171212 15:58:50 0 0 5 0 0 2 0 93 7 196878 274645 0 688 8 25.31 29.96 26.29 11 0
20171212 15:58:51 0 0 5 0 0 2 0 93 7 206395 276069 0 688 7 25.31 29.96 26.29 6 0
20171212 15:58:52 0 0 5 0 0 2 0 93 7 204675 277130 0 688 9 25.31 29.96 26.29 5 0
20171212 15:58:53 0 0 5 0 0 2 0 92 8 214291 286816 0 688 6 23.69 29.54 26.18 5 0
20171212 15:58:54 0 0 5 0 0 2 0 93 7 212442 285330 0 688 6 23.69 29.54 26.18 5 0
20171212 15:58:55 0 0 5 0 0 2 0 93 7 204244 279451 0 688 7 23.69 29.54 26.18 1 0
20171212 15:58:56 0 0 5 0 0 2 0 93 7 216751 287279 0 688 6 23.69 29.54 26.18 2 0
20171212 15:58:57 0 0 5 0 0 2 0 93 7 213552 284104 0 688 8 23.69 29.54 26.18 7 0
20171212 15:58:58 0 0 5 0 0 2 0 93 7 211287 285206 0 688 6 22.19 29.14 26.07 6 0
20171212 15:58:59 0 0 5 0 0 2 0 93 7 210534 284733 0 688 9 22.19 29.14 26.07 4 0
20171212 15:59:00 0 0 5 0 0 2 0 93 7 213867 287863 0 688 10 22.19 29.14 26.07 5 0
20171212 15:59:01 1 0 5 0 0 2 0 92 8 228560 291989 0 688 4 22.19 29.14 26.07 4 0
20171212 15:59:02 0 0 5 0 0 2 0 93 7 203153 278574 0 688 12 22.19 29.14 26.07 9 0
20171212 15:59:03 0 0 6 0 0 2 0 91 9 267420 316516 0 688 5 20.89 28.75 25.96 6 0
20171212 15:59:04 0 0 6 0 0 2 0 91 9 294766 335847 0 688 10 20.89 28.75 25.96 9 0
20171212 15:59:05 0 0 6 0 0 2 0 92 8 278477 324563 0 688 10 20.89 28.75 25.96 8 0
