################################################################################
# Collectl:   V3.6.9-1  HiRes: 1  Options: -P -f results/2017-12-12-10-08/tcp_collect_u40_u40_1.dat -sc -c40 -oaz 
# Host:       server-0  DaemonOpts: 
# Booted:     1513095708.25 [20171212-09:21:48]
# Distro:     debian jessie/sid, Ubuntu 14.04.1 LTS  Platform: 
# Date:       20171212-105813  Secs: 1513101493 TZ: -0700
# SubSys:     c Options: az Interval: 1 NumCPUs: 64 [HYPER] NumBud: 0 Flags: i
# Filters:    NfsFilt:  EnvFilt:  TcpFilt: ituc
# HZ:         100  Arch: x86_64-linux-gnu-thread-multi PageSize: 4096
# Cpu:        GenuineIntel Speed(MHz): 2200.004 Cores: 8  Siblings: 16 Nodes: 4
# Kernel:     3.13.0-100-generic  Memory: 131822812 kB  Swap: 3145724 kB
# NumDisks:   7 DiskNames: sdc sdb sdd sde sdf sdg sda
# NumNets:    9 NetNames: eth0:1000 eth1:?? eth2:?? eth3:?? eth4:10000 eth5:10000 eth6:10000 eth7:?? lo:??
# SCSI:       DA:0:00:00:00 DA:0:00:01:00 DA:0:00:02:00 DA:0:00:03:00 DA:0:00:04:00 DA:0:00:05:00 DA:0:00:06:00 ??:0:00:32:00
################################################################################
#Date Time [CPU]User% [CPU]Nice% [CPU]Sys% [CPU]Wait% [CPU]Irq% [CPU]Soft% [CPU]Steal% [CPU]Idle% [CPU]Totl% [CPU]Intrpt/sec [CPU]Ctx/sec [CPU]Proc/sec [CPU]ProcQue [CPU]ProcRun [CPU]L-Avg1 [CPU]L-Avg5 [CPU]L-Avg15 [CPU]RunTot [CPU]BlkTot
20171212 10:58:15 2 0 41 0 0 26 0 31 69 2412504 735959 0 688 56 37.62 15.79 11.80 55 0
20171212 10:58:16 2 0 40 0 0 27 0 31 69 2393321 719717 0 688 12 37.62 15.79 11.80 43 0
20171212 10:58:17 2 0 40 0 0 29 0 29 71 2341861 606261 0 688 45 37.62 15.79 11.80 59 0
20171212 10:58:18 2 0 42 0 0 30 0 25 75 2482599 633258 0 688 54 37.62 15.79 11.80 49 0
20171212 10:58:19 2 0 40 0 0 28 0 31 69 2415041 728870 0 688 39 38.37 16.30 11.99 56 0
20171212 10:58:20 2 0 40 0 0 27 0 31 69 2333360 681755 0 688 45 38.37 16.30 11.99 43 0
20171212 10:58:21 2 0 42 0 0 29 0 27 73 2390929 612036 0 688 58 38.37 16.30 11.99 46 0
20171212 10:58:22 2 0 42 0 0 28 0 28 72 2391876 629948 0 688 62 38.37 16.30 11.99 59 0
20171212 10:58:23 2 0 41 0 0 30 0 27 73 2417487 604229 0 688 16 38.37 16.30 11.99 48 0
20171212 10:58:24 2 0 42 0 0 29 0 27 73 2412783 602769 0 688 54 38.58 16.71 12.14 55 0
20171212 10:58:25 2 0 41 0 0 29 0 28 72 2401143 648173 0 688 53 38.58 16.71 12.14 52 0
20171212 10:58:26 2 0 41 0 0 28 0 29 71 2439401 686831 0 688 59 38.58 16.71 12.14 57 0
20171212 10:58:27 2 0 40 0 0 27 0 31 69 2397636 711388 0 688 42 38.58 16.71 12.14 62 0
20171212 10:58:28 2 0 41 0 0 30 0 27 73 2452982 663140 0 688 40 38.58 16.71 12.14 58 0
20171212 10:58:29 2 0 42 0 0 28 0 28 72 2406982 657037 0 688 10 39.50 17.27 12.35 42 0
20171212 10:58:30 2 0 41 0 0 30 0 27 73 2449973 637728 0 688 51 39.50 17.27 12.35 49 0
20171212 10:58:31 2 0 41 0 0 28 0 29 71 2494902 681288 0 688 48 39.50 17.27 12.35 54 0
20171212 10:58:32 2 0 41 0 0 28 0 29 71 2527327 739832 0 688 33 39.50 17.27 12.35 57 0
20171212 10:58:33 2 0 43 0 0 28 0 28 72 2488813 705166 0 688 24 39.50 17.27 12.35 51 0
20171212 10:58:34 2 0 41 0 0 27 0 30 70 2476111 752049 0 688 53 38.34 17.39 12.41 48 0
20171212 10:58:35 2 0 40 0 0 27 0 30 70 2498583 784285 0 688 46 38.34 17.39 12.41 26 0
20171212 10:58:36 2 0 41 0 0 29 0 28 72 2494881 727712 0 688 50 38.34 17.39 12.41 25 0
20171212 10:58:37 2 0 41 0 0 27 0 29 71 2474120 731378 0 688 49 38.34 17.39 12.41 55 0
20171212 10:58:38 2 0 41 0 0 28 0 29 71 2494003 731289 0 688 41 38.34 17.39 12.41 57 0
20171212 10:58:39 2 0 41 0 0 29 0 28 72 2480571 655478 0 688 45 38.95 17.87 12.59 40 0
20171212 10:58:40 2 0 42 0 0 29 0 27 73 2479094 597627 0 688 36 38.95 17.87 12.59 51 0
20171212 10:58:41 2 0 41 0 0 28 0 29 71 2493796 710409 0 688 47 38.95 17.87 12.59 26 0
20171212 10:58:42 2 0 41 0 0 27 0 30 70 2485736 754177 0 688 48 38.95 17.87 12.59 48 0
20171212 10:58:43 2 0 41 0 0 27 0 30 70 2472159 736978 0 688 52 38.95 17.87 12.59 40 0
