################################################################################
# Collectl:   V3.6.9-1  HiRes: 1  Options: -P -f results/2017-12-14-08-59/16cores_on_u160_32.dat -sc -c160 -oaz 
# Host:       server-0  DaemonOpts: 
# Booted:     1513267747.82 [20171214-09:09:07]
# Distro:     debian jessie/sid, Ubuntu 14.04.1 LTS  Platform: 
# Date:       20171214-181214  Secs: 1513300334 TZ: -0700
# SubSys:     c Options: az Interval: 1 NumCPUs: 64  CPUsDis: 1 NumBud: 0 Flags: iD
# Filters:    NfsFilt:  EnvFilt:  TcpFilt: ituc
# HZ:         100  Arch: x86_64-linux-gnu-thread-multi PageSize: 4096
# Cpu:        GenuineIntel Speed(MHz): 2200.047 Cores: 4  Siblings: 4 Nodes: 4
# Kernel:     3.13.0-100-generic  Memory: 131822812 kB  Swap: 3145724 kB
# NumDisks:   7 DiskNames: sdb sdc sdd sde sdf sdg sda
# NumNets:    9 NetNames: eth0:1000 eth1:?? eth2:?? eth3:?? eth4:10000 eth5:10000 eth6:10000 eth7:?? lo:??
# SCSI:       DA:0:00:00:00 DA:0:00:01:00 DA:0:00:02:00 DA:0:00:03:00 DA:0:00:04:00 DA:0:00:05:00 DA:0:00:06:00 ??:0:00:32:00
################################################################################
#Date Time [CPU]User% [CPU]Nice% [CPU]Sys% [CPU]Wait% [CPU]Irq% [CPU]Soft% [CPU]Steal% [CPU]Idle% [CPU]Totl% [CPU]Intrpt/sec [CPU]Ctx/sec [CPU]Proc/sec [CPU]ProcQue [CPU]ProcRun [CPU]L-Avg1 [CPU]L-Avg5 [CPU]L-Avg15 [CPU]RunTot [CPU]BlkTot
20171214 18:12:16 3 0 59 0 0 38 0 0 100 1785475 3164 0 683 16 11.39 11.84 11.35 16 0
20171214 18:12:17 2 0 58 0 0 39 0 0 100 1787863 3249 0 683 16 11.39 11.84 11.35 16 0
20171214 18:12:18 2 0 59 0 0 39 0 0 100 1785443 3221 0 683 18 11.39 11.84 11.35 16 0
20171214 18:12:19 3 0 57 0 0 40 0 0 100 1785905 3307 0 683 17 11.39 11.84 11.35 16 0
20171214 18:12:20 3 0 57 0 0 40 0 0 100 1786158 3356 0 683 20 11.76 11.91 11.38 18 0
20171214 18:12:21 3 0 57 0 0 40 0 0 100 1783876 3322 0 683 17 11.76 11.91 11.38 16 0
20171214 18:12:22 2 0 58 0 0 40 0 0 100 1787040 3292 0 683 17 11.76 11.91 11.38 16 0
20171214 18:12:23 3 0 59 0 0 39 0 0 100 1786953 3190 0 683 16 11.76 11.91 11.38 16 0
20171214 18:12:24 2 0 60 0 0 38 0 0 100 1786356 3152 0 683 18 11.76 11.91 11.38 16 0
20171214 18:12:25 2 0 59 0 0 39 0 0 100 1787819 3181 0 683 17 12.10 11.98 11.40 16 0
20171214 18:12:26 2 0 57 0 0 41 0 0 100 1784854 3380 0 683 18 12.10 11.98 11.40 16 0
20171214 18:12:27 2 0 58 0 0 40 0 0 100 1785604 3298 0 683 16 12.10 11.98 11.40 16 0
20171214 18:12:28 3 0 60 0 0 37 0 0 100 1785679 3062 0 683 18 12.10 11.98 11.40 16 0
20171214 18:12:29 3 0 59 0 0 38 0 0 100 1785936 3175 0 683 17 12.10 11.98 11.40 16 0
20171214 18:12:30 2 0 59 0 0 39 0 0 100 1786723 3234 0 683 19 12.41 12.04 11.43 17 0
20171214 18:12:31 3 0 58 0 0 40 0 0 100 1784328 3312 0 683 18 12.41 12.04 11.43 16 0
20171214 18:12:32 3 0 42 0 0 16 0 39 61 1250901 765672 0 683 13 12.41 12.04 11.43 14 0
20171214 18:12:33 3 0 49 0 0 22 0 26 74 1319722 637310 0 683 16 12.41 12.04 11.43 16 0
20171214 18:12:34 3 0 46 0 0 22 0 29 71 1207302 621506 0 683 12 12.41 12.04 11.43 7 0
20171214 18:12:35 2 0 44 0 0 23 0 30 70 1198464 611254 0 683 14 12.06 11.98 11.41 15 0
20171214 18:12:36 2 0 46 0 0 23 0 29 71 1199269 605749 0 683 13 12.06 11.98 11.41 11 0
20171214 18:12:37 3 0 45 0 0 22 0 30 70 1191719 607508 0 683 10 12.06 11.98 11.41 14 0
20171214 18:12:38 3 0 44 0 0 23 0 30 70 1211197 616678 0 683 10 12.06 11.98 11.41 6 0
20171214 18:12:39 2 0 47 0 0 21 0 30 70 1191587 594962 0 683 13 12.06 11.98 11.41 16 0
20171214 18:12:40 3 0 46 0 0 22 0 29 71 1192170 607342 0 683 20 11.65 11.89 11.39 17 0
20171214 18:12:41 3 0 45 0 0 23 0 29 71 1202988 595225 0 683 4 11.65 11.89 11.39 5 0
20171214 18:12:42 3 0 46 0 0 23 0 27 73 1234418 593834 0 683 14 11.65 11.89 11.39 15 0
20171214 18:12:43 3 0 46 0 0 23 0 27 73 1242906 606737 0 683 14 11.65 11.89 11.39 12 0
20171214 18:12:44 3 0 46 0 0 24 0 27 73 1217302 582893 0 683 13 11.65 11.89 11.39 9 0
20171214 18:12:45 3 0 45 0 0 25 0 28 72 1210413 577060 0 683 14 11.36 11.83 11.37 13 0
20171214 18:12:46 2 0 46 0 0 25 0 26 74 1241096 585870 0 683 14 11.36 11.83 11.37 8 0
20171214 18:12:47 3 0 46 0 0 24 0 28 72 1220609 586126 0 683 3 11.36 11.83 11.37 13 0
20171214 18:12:48 3 0 47 0 0 24 0 27 73 1233354 567180 0 683 2 11.36 11.83 11.37 14 0
