################################################################################
# Collectl:   V3.6.9-1  HiRes: 1  Options: -P -f results/2017-12-14-08-59/64cores_u80_130.dat -sc -c80 -oaz 
# Host:       server-0  DaemonOpts: 
# Booted:     1513349772 [20171215-07:56:12]
# Distro:     debian jessie/sid, Ubuntu 14.04.1 LTS  Platform: 
# Date:       20171215-154217  Secs: 1513377737 TZ: -0700
# SubSys:     c Options: az Interval: 1 NumCPUs: 64 [HYPER] NumBud: 0 Flags: i
# Filters:    NfsFilt:  EnvFilt:  TcpFilt: ituc
# HZ:         100  Arch: x86_64-linux-gnu-thread-multi PageSize: 4096
# Cpu:        GenuineIntel Speed(MHz): 2200.021 Cores: 8  Siblings: 16 Nodes: 4
# Kernel:     3.13.0-100-generic  Memory: 131822812 kB  Swap: 3145724 kB
# NumDisks:   7 DiskNames: sdb sdc sdd sde sdf sdg sda
# NumNets:    9 NetNames: eth0:1000 eth1:?? eth2:?? eth3:?? eth4:10000 eth5:10000 eth6:10000 eth7:?? lo:??
# SCSI:       DA:0:00:00:00 DA:0:00:01:00 DA:0:00:02:00 DA:0:00:03:00 DA:0:00:04:00 DA:0:00:05:00 DA:0:00:06:00 ??:0:00:32:00
################################################################################
#Date Time [CPU]User% [CPU]Nice% [CPU]Sys% [CPU]Wait% [CPU]Irq% [CPU]Soft% [CPU]Steal% [CPU]Idle% [CPU]Totl% [CPU]Intrpt/sec [CPU]Ctx/sec [CPU]Proc/sec [CPU]ProcQue [CPU]ProcRun [CPU]L-Avg1 [CPU]L-Avg5 [CPU]L-Avg15 [CPU]RunTot [CPU]BlkTot
20171215 15:42:19 0 0 8 0 0 2 0 90 10 493313 508963 0 688 9 20.89 18.04 19.01 7 0
20171215 15:42:20 0 0 8 0 0 2 0 90 10 477141 496944 0 688 9 19.62 17.82 18.94 13 0
20171215 15:42:21 1 0 8 0 0 2 0 90 10 474909 494923 0 688 8 19.62 17.82 18.94 6 0
20171215 15:42:22 0 0 8 0 0 2 0 90 10 480722 498220 0 688 9 19.62 17.82 18.94 7 0
20171215 15:42:23 0 0 8 0 0 2 0 90 10 475776 495828 0 688 8 19.62 17.82 18.94 5 0
20171215 15:42:24 0 0 8 0 0 2 0 90 10 455404 487989 0 688 9 19.62 17.82 18.94 12 0
20171215 15:42:25 0 0 8 0 0 2 0 89 11 476031 488212 0 688 7 18.53 17.62 18.87 8 0
20171215 15:42:26 1 0 8 0 0 2 0 89 11 472127 478162 0 688 6 18.53 17.62 18.87 7 0
20171215 15:42:27 1 0 8 0 0 2 0 89 11 460335 469452 0 688 7 18.53 17.62 18.87 8 0
20171215 15:42:28 0 0 9 0 0 2 0 89 11 491480 486995 0 688 8 18.53 17.62 18.87 6 0
20171215 15:42:29 0 0 8 0 0 2 0 89 11 487039 483642 1 688 6 18.53 17.62 18.87 8 0
20171215 15:42:30 1 0 9 0 0 2 0 89 11 500943 482032 0 688 8 17.29 17.38 18.78 7 0
20171215 15:42:31 1 0 9 0 0 2 0 88 12 503111 488100 0 688 10 17.29 17.38 18.78 6 0
20171215 15:42:32 1 0 9 0 0 2 0 88 12 526341 502356 0 688 8 17.29 17.38 18.78 8 0
20171215 15:42:33 1 0 8 0 0 2 0 89 11 471266 486485 0 688 7 17.29 17.38 18.78 11 0
20171215 15:42:34 0 0 9 0 0 2 0 88 12 526825 512117 0 688 10 17.29 17.38 18.78 9 0
20171215 15:42:35 1 0 9 0 0 2 0 88 12 522210 513269 0 688 11 16.54 17.23 18.72 7 0
20171215 15:42:36 1 0 9 0 0 2 0 88 12 517566 507768 0 688 11 16.54 17.23 18.72 8 0
20171215 15:42:37 1 0 10 0 0 2 0 87 13 585033 562370 0 688 14 16.54 17.23 18.72 10 0
20171215 15:42:38 1 0 10 0 0 2 0 87 13 604487 564643 0 688 10 16.54 17.23 18.72 7 0
20171215 15:42:39 1 0 10 0 0 3 0 87 13 581479 546686 0 688 12 16.54 17.23 18.72 9 0
20171215 15:42:40 1 0 10 0 0 3 0 87 13 546320 532148 0 688 8 16.02 17.11 18.68 12 0
20171215 15:42:41 1 0 9 0 0 3 0 87 13 555612 537625 0 688 6 16.02 17.11 18.68 12 0
20171215 15:42:42 1 0 9 0 0 3 0 88 12 591242 563563 0 688 13 16.02 17.11 18.68 7 0
20171215 15:42:43 1 0 10 0 0 3 0 87 13 596920 566042 0 688 9 16.02 17.11 18.68 10 0
20171215 15:42:44 1 0 10 0 0 3 0 87 13 620678 584046 0 688 9 16.02 17.11 18.68 12 0
20171215 15:42:45 1 0 10 0 0 3 0 87 13 602844 595578 0 688 6 15.46 16.97 18.63 9 0
20171215 15:42:46 1 0 10 0 0 3 0 86 14 628826 583216 0 688 10 15.46 16.97 18.63 9 0
20171215 15:42:47 1 0 10 0 0 2 0 87 13 596462 568332 0 688 11 15.46 16.97 18.63 9 0
20171215 15:42:48 1 0 10 0 0 3 0 87 13 617097 600128 0 688 11 15.46 16.97 18.63 8 0
20171215 15:42:49 1 0 10 0 0 3 0 87 13 610592 593133 0 688 9 15.46 16.97 18.63 9 0
20171215 15:42:50 1 0 10 0 0 3 0 86 14 640665 617719 0 688 12 14.94 16.84 18.57 12 0
20171215 15:42:51 1 0 10 0 0 3 0 86 14 647336 594099 0 688 7 14.94 16.84 18.57 5 0
20171215 15:42:52 1 0 10 0 0 3 0 87 13 652524 594557 0 688 11 14.94 16.84 18.57 11 0
20171215 15:42:53 0 0 11 0 0 3 0 86 14 652629 592805 0 688 6 14.94 16.84 18.57 7 0
20171215 15:42:54 1 0 10 0 0 3 0 87 13 644376 606198 0 688 10 14.94 16.84 18.57 12 0
20171215 15:42:55 1 0 11 0 0 3 0 86 14 661696 612402 0 688 9 14.46 16.71 18.52 12 0
20171215 15:42:56 1 0 11 0 0 3 0 85 15 685240 646729 0 688 11 14.46 16.71 18.52 13 0
20171215 15:42:57 1 0 11 0 0 3 0 85 15 699644 648659 0 688 8 14.46 16.71 18.52 12 0
20171215 15:42:58 1 0 11 0 0 3 0 86 14 659747 630431 0 688 12 14.46 16.71 18.52 10 0
20171215 15:42:59 1 0 11 0 0 3 0 86 14 679178 625431 0 688 7 14.46 16.71 18.52 10 0
20171215 15:43:00 1 0 12 0 0 3 0 85 15 720354 655609 0 688 12 14.19 16.61 18.48 15 0
20171215 15:43:01 2 0 11 0 0 3 0 84 16 684832 643996 0 688 7 14.19 16.61 18.48 16 0
20171215 15:43:02 1 0 11 0 0 3 0 85 15 659998 628910 0 688 6 14.19 16.61 18.48 10 0
20171215 15:43:03 1 0 11 0 0 3 0 86 14 674735 643631 0 688 13 14.19 16.61 18.48 7 0
20171215 15:43:04 1 0 11 0 0 3 0 86 14 655292 632679 0 688 8 14.19 16.61 18.48 8 0
20171215 15:43:05 1 0 11 0 0 3 0 86 14 655026 616017 0 688 7 13.85 16.50 18.44 13 0
20171215 15:43:06 1 0 11 0 0 3 0 86 14 669992 628388 0 688 13 13.85 16.50 18.44 14 0
20171215 15:43:07 1 0 11 0 0 3 0 85 15 674955 635795 0 688 9 13.85 16.50 18.44 10 0
20171215 15:43:08 1 0 11 0 0 3 0 85 15 672136 638464 0 688 13 13.85 16.50 18.44 16 0
20171215 15:43:09 1 0 11 0 0 3 0 85 15 665070 621222 0 688 15 13.85 16.50 18.44 5 0
20171215 15:43:10 1 0 11 0 0 3 0 86 14 666058 628785 0 688 13 13.30 16.35 18.37 12 0
20171215 15:43:11 1 0 11 0 0 3 0 85 15 685514 638642 0 688 10 13.30 16.35 18.37 7 0
20171215 15:43:12 1 0 11 0 0 3 0 86 14 657610 614700 0 688 14 13.30 16.35 18.37 11 0
20171215 15:43:13 1 0 11 0 0 3 0 86 14 665565 634048 0 688 13 13.30 16.35 18.37 9 0
20171215 15:43:14 1 0 11 0 0 3 0 85 15 682804 633702 1 689 13 13.30 16.35 18.37 10 0
20171215 15:43:15 1 0 12 0 0 3 0 84 16 726140 654346 0 689 11 12.80 16.19 18.31 13 0
20171215 15:43:16 1 0 12 0 0 3 0 84 16 751556 661561 1 690 13 12.80 16.19 18.31 6 0
20171215 15:43:17 1 0 12 0 0 3 0 84 16 730617 656918 0 690 9 12.80 16.19 18.31 15 0
20171215 15:43:18 1 0 12 0 0 3 0 84 16 740569 659464 0 688 10 12.80 16.19 18.31 9 0
20171215 15:43:19 1 0 12 0 0 3 0 84 16 729998 648907 0 688 14 12.80 16.19 18.31 6 0
20171215 15:43:20 1 0 12 0 0 3 0 84 16 719908 647676 0 688 19 12.89 16.15 18.29 11 0
20171215 15:43:21 1 0 12 0 0 3 0 84 16 727773 657365 0 688 14 12.89 16.15 18.29 9 0
20171215 15:43:22 1 0 12 0 0 3 0 84 16 750388 658612 0 688 17 12.89 16.15 18.29 12 0
20171215 15:43:23 1 0 12 0 0 3 0 85 15 728509 645136 0 688 12 12.89 16.15 18.29 14 0
20171215 15:43:24 1 0 12 0 0 3 0 84 16 739729 660584 0 688 13 12.89 16.15 18.29 16 0
20171215 15:43:25 1 0 13 0 0 3 0 83 17 752982 660373 0 688 14 12.98 16.12 18.27 10 0
20171215 15:43:26 1 0 12 0 0 3 0 84 16 740383 658026 0 688 12 12.98 16.12 18.27 9 0
20171215 15:43:27 1 0 12 0 0 3 0 85 15 719050 653950 0 688 8 12.98 16.12 18.27 15 0
20171215 15:43:28 1 0 12 0 0 3 0 84 16 735377 660903 0 688 15 12.98 16.12 18.27 14 0
20171215 15:43:29 1 0 12 0 0 3 0 84 16 744874 658903 0 688 9 12.98 16.12 18.27 12 0
20171215 15:43:30 1 0 12 0 0 3 0 84 16 739949 649293 0 688 16 12.74 16.02 18.22 11 0
20171215 15:43:31 1 0 12 0 0 3 0 84 16 733426 652863 0 688 13 12.74 16.02 18.22 10 0
20171215 15:43:32 1 0 12 0 0 3 0 84 16 736457 658676 0 688 12 12.74 16.02 18.22 11 0
20171215 15:43:33 1 0 13 0 0 3 0 83 17 769232 672876 0 688 13 12.74 16.02 18.22 17 0
20171215 15:43:34 1 0 12 0 0 3 0 84 16 776072 654045 0 688 15 12.74 16.02 18.22 11 0
20171215 15:43:35 1 0 12 0 0 3 0 84 16 815730 649755 0 688 9 12.76 15.97 18.20 17 0
20171215 15:43:36 1 0 13 0 0 3 0 84 16 845527 652843 0 688 18 12.76 15.97 18.20 11 0
20171215 15:43:37 1 0 13 0 0 3 0 83 17 809229 662047 0 688 18 12.76 15.97 18.20 14 0
20171215 15:43:38 1 0 12 0 0 3 0 83 17 754010 657184 0 688 10 12.76 15.97 18.20 12 0
