################################################################################
# Collectl:   V3.6.9-1  HiRes: 1  Options: -P -f results/2017-12-14-08-59/64cores_u80_145.dat -sc -c80 -oaz 
# Host:       server-0  DaemonOpts: 
# Booted:     1513349771.96 [20171215-07:56:11]
# Distro:     debian jessie/sid, Ubuntu 14.04.1 LTS  Platform: 
# Date:       20171215-160709  Secs: 1513379229 TZ: -0700
# SubSys:     c Options: az Interval: 1 NumCPUs: 64 [HYPER] NumBud: 0 Flags: i
# Filters:    NfsFilt:  EnvFilt:  TcpFilt: ituc
# HZ:         100  Arch: x86_64-linux-gnu-thread-multi PageSize: 4096
# Cpu:        GenuineIntel Speed(MHz): 2200.021 Cores: 8  Siblings: 16 Nodes: 4
# Kernel:     3.13.0-100-generic  Memory: 131822812 kB  Swap: 3145724 kB
# NumDisks:   7 DiskNames: sdb sdc sdd sde sdf sdg sda
# NumNets:    9 NetNames: eth0:1000 eth1:?? eth2:?? eth3:?? eth4:10000 eth5:10000 eth6:10000 eth7:?? lo:??
# SCSI:       DA:0:00:00:00 DA:0:00:01:00 DA:0:00:02:00 DA:0:00:03:00 DA:0:00:04:00 DA:0:00:05:00 DA:0:00:06:00 ??:0:00:32:00
################################################################################
#Date Time [CPU]User% [CPU]Nice% [CPU]Sys% [CPU]Wait% [CPU]Irq% [CPU]Soft% [CPU]Steal% [CPU]Idle% [CPU]Totl% [CPU]Intrpt/sec [CPU]Ctx/sec [CPU]Proc/sec [CPU]ProcQue [CPU]ProcRun [CPU]L-Avg1 [CPU]L-Avg5 [CPU]L-Avg15 [CPU]RunTot [CPU]BlkTot
20171215 16:07:11 1 0 12 0 0 3 0 85 15 696539 616040 0 690 9 11.72 15.66 17.26 13 0
20171215 16:07:12 1 0 12 0 0 3 0 85 15 689148 600072 0 690 13 11.34 15.52 17.20 10 0
20171215 16:07:13 1 0 12 0 0 3 0 84 16 743770 631233 0 690 14 11.34 15.52 17.20 12 0
20171215 16:07:14 1 0 11 0 0 3 0 86 14 670470 583895 0 690 14 11.34 15.52 17.20 10 0
20171215 16:07:15 1 0 11 0 0 3 0 85 15 681375 596652 0 690 22 11.34 15.52 17.20 12 0
20171215 16:07:16 1 0 12 0 0 3 0 85 15 672666 596485 0 690 10 11.34 15.52 17.20 10 0
20171215 16:07:17 1 0 11 0 0 3 0 85 15 666858 607632 0 690 12 10.91 15.36 17.14 9 0
20171215 16:07:18 1 0 11 0 0 3 0 85 15 663074 590461 0 690 9 10.91 15.36 17.14 12 0
20171215 16:07:19 1 0 11 0 0 3 0 86 14 662078 593856 0 690 9 10.91 15.36 17.14 10 0
20171215 16:07:20 1 0 10 0 0 2 0 86 14 618998 569564 0 690 10 10.91 15.36 17.14 8 0
20171215 16:07:21 1 0 11 0 0 3 0 86 14 637206 576372 0 690 12 10.91 15.36 17.14 10 0
20171215 16:07:22 1 0 12 0 0 3 0 84 16 693899 585862 0 690 6 10.76 15.25 17.10 10 0
20171215 16:07:23 1 0 11 0 0 3 0 85 15 656013 586061 0 690 10 10.76 15.25 17.10 10 0
20171215 16:07:24 1 0 11 0 0 3 0 86 14 653880 577707 0 690 11 10.76 15.25 17.10 10 0
20171215 16:07:25 1 0 14 0 0 3 0 82 18 773516 659697 0 690 8 10.76 15.25 17.10 10 0
20171215 16:07:26 1 0 13 0 0 3 0 83 17 750163 643894 0 690 10 10.76 15.25 17.10 11 0
20171215 16:07:27 1 0 13 0 0 3 0 83 17 778035 649265 0 690 11 10.62 15.15 17.06 14 0
20171215 16:07:28 1 0 14 0 0 3 0 82 18 810776 682288 0 690 16 10.62 15.15 17.06 10 0
20171215 16:07:29 1 0 14 0 0 4 0 82 18 812431 678331 0 690 13 10.62 15.15 17.06 11 0
20171215 16:07:30 1 0 12 0 0 3 0 84 16 744065 632179 0 690 12 10.62 15.15 17.06 12 0
20171215 16:07:31 1 0 13 0 0 3 0 83 17 755054 642765 0 690 12 10.62 15.15 17.06 11 0
20171215 16:07:32 1 0 14 0 0 3 0 82 18 787751 655684 0 690 10 10.41 15.03 17.01 12 0
20171215 16:07:33 1 0 13 0 0 3 0 84 16 733538 632847 0 690 14 10.41 15.03 17.01 8 0
20171215 16:07:34 1 0 14 0 0 4 0 81 19 833122 681308 0 690 13 10.41 15.03 17.01 12 0
20171215 16:07:35 1 0 16 0 0 4 0 79 21 892863 714291 0 690 12 10.41 15.03 17.01 12 0
20171215 16:07:36 1 0 16 0 0 4 0 80 20 865619 700615 0 690 13 10.41 15.03 17.01 12 0
20171215 16:07:37 1 0 16 0 0 5 0 78 22 934666 722821 0 690 11 10.54 14.98 16.98 16 0
20171215 16:07:38 1 0 15 0 0 4 0 80 20 883190 720186 0 690 19 10.54 14.98 16.98 12 0
20171215 16:07:39 1 0 16 0 0 4 0 79 21 898791 711969 0 690 12 10.54 14.98 16.98 10 0
20171215 16:07:40 1 0 15 0 0 4 0 80 20 874564 701384 0 690 12 10.54 14.98 16.98 21 0
20171215 16:07:41 1 0 15 0 0 4 0 80 20 885573 706747 0 690 14 10.54 14.98 16.98 5 0
20171215 16:07:42 1 0 15 0 0 4 0 80 20 861170 709670 0 690 16 10.65 14.93 16.95 8 0
20171215 16:07:43 1 0 15 0 0 4 0 80 20 876912 709038 0 690 15 10.65 14.93 16.95 14 0
20171215 16:07:44 1 0 15 0 0 4 0 81 19 874129 703613 0 690 11 10.65 14.93 16.95 13 0
20171215 16:07:45 1 0 14 0 0 3 0 82 18 777048 672702 0 690 17 10.65 14.93 16.95 17 0
20171215 16:07:46 1 0 14 0 0 3 0 82 18 797377 685903 0 690 15 10.65 14.93 16.95 18 0
20171215 16:07:47 1 0 13 0 0 3 0 83 17 772236 660726 0 690 14 10.44 14.82 16.91 12 0
20171215 16:07:48 1 0 13 0 0 3 0 83 17 752680 650127 0 690 20 10.44 14.82 16.91 13 0
20171215 16:07:49 1 0 13 0 0 3 0 83 17 787900 673549 0 690 16 10.44 14.82 16.91 15 0
20171215 16:07:50 1 0 14 0 0 4 0 81 19 798067 679745 0 690 13 10.44 14.82 16.91 11 0
20171215 16:07:51 1 0 13 0 0 4 0 82 18 784841 669098 0 690 13 10.44 14.82 16.91 12 0
20171215 16:07:52 1 0 14 0 0 4 0 81 19 804304 681319 0 690 12 10.16 14.69 16.85 14 0
20171215 16:07:53 1 0 14 0 0 4 0 81 19 790165 678436 0 690 10 10.16 14.69 16.85 13 0
20171215 16:07:54 1 0 13 0 0 3 0 82 18 832633 681158 0 690 10 10.16 14.69 16.85 7 0
20171215 16:07:55 1 0 14 0 0 4 0 81 19 952625 710038 0 690 16 10.16 14.69 16.85 14 0
20171215 16:07:56 1 0 18 0 0 5 0 75 25 1146059 781858 0 690 12 10.16 14.69 16.85 24 0
20171215 16:07:57 1 0 17 0 0 5 0 77 23 1058842 758543 0 690 16 10.31 14.64 16.83 16 0
20171215 16:07:58 1 0 17 0 0 5 0 77 23 982307 772978 0 690 18 10.31 14.64 16.83 24 0
20171215 16:07:59 1 0 18 0 0 5 0 77 23 999486 784895 0 690 7 10.31 14.64 16.83 13 0
20171215 16:08:00 1 0 18 0 0 5 0 76 24 1007301 776138 0 690 15 10.31 14.64 16.83 21 0
20171215 16:08:01 2 0 20 0 0 7 0 70 30 1138828 799035 0 690 19 10.31 14.64 16.83 20 0
20171215 16:08:02 1 0 18 0 0 5 0 75 25 1062896 814701 0 690 19 10.53 14.61 16.81 11 0
20171215 16:08:03 1 0 20 0 0 6 0 73 27 1082772 823250 0 690 22 10.53 14.61 16.81 19 0
20171215 16:08:04 1 0 19 0 0 5 0 74 26 1038120 786903 0 690 31 10.53 14.61 16.81 18 0
20171215 16:08:05 1 0 19 0 0 7 0 73 27 1118409 801611 0 690 14 10.53 14.61 16.81 15 0
20171215 16:08:06 1 0 18 0 0 5 0 75 25 1040923 764021 0 690 25 10.53 14.61 16.81 18 0
