################################################################################
# Collectl:   V3.6.9-1  HiRes: 1  Options: -P -f results/2017-12-14-08-59/8cores_u160_0.dat -sc -c160 -oaz 
# Host:       server-0  DaemonOpts: 
# Booted:     1513267748.36 [20171214-09:09:08]
# Distro:     debian jessie/sid, Ubuntu 14.04.1 LTS  Platform: 
# Date:       20171214-141026  Secs: 1513285826 TZ: -0700
# SubSys:     c Options: az Interval: 1 NumCPUs: 64  CPUsDis: 1 NumBud: 0 Flags: iD
# Filters:    NfsFilt:  EnvFilt:  TcpFilt: ituc
# HZ:         100  Arch: x86_64-linux-gnu-thread-multi PageSize: 4096
# Cpu:        GenuineIntel Speed(MHz): 2200.047 Cores: 8  Siblings: 8 Nodes: 4
# Kernel:     3.13.0-100-generic  Memory: 131822812 kB  Swap: 3145724 kB
# NumDisks:   7 DiskNames: sdb sdc sdd sde sdf sdg sda
# NumNets:    9 NetNames: eth0:1000 eth1:?? eth2:?? eth3:?? eth4:10000 eth5:10000 eth6:10000 eth7:?? lo:??
# SCSI:       DA:0:00:00:00 DA:0:00:01:00 DA:0:00:02:00 DA:0:00:03:00 DA:0:00:04:00 DA:0:00:05:00 DA:0:00:06:00 ??:0:00:32:00
################################################################################
#Date Time [CPU]User% [CPU]Nice% [CPU]Sys% [CPU]Wait% [CPU]Irq% [CPU]Soft% [CPU]Steal% [CPU]Idle% [CPU]Totl% [CPU]Intrpt/sec [CPU]Ctx/sec [CPU]Proc/sec [CPU]ProcQue [CPU]ProcRun [CPU]L-Avg1 [CPU]L-Avg5 [CPU]L-Avg15 [CPU]RunTot [CPU]BlkTot
20171214 14:10:28 1 0 15 0 0 9 0 75 25 884633 1618 0 663 9 1.49 2.16 5.61 8 0
20171214 14:10:29 0 0 15 0 0 10 0 75 25 888282 1695 0 663 9 1.93 2.24 5.62 8 0
20171214 14:10:30 1 0 15 0 0 10 0 75 25 900040 1697 0 663 10 1.93 2.24 5.62 10 0
20171214 14:10:31 1 0 15 0 0 10 0 75 25 885428 1685 0 663 9 1.93 2.24 5.62 8 0
20171214 14:10:32 0 0 15 0 0 9 0 75 25 887943 1556 0 663 9 1.93 2.24 5.62 8 0
20171214 14:10:33 1 0 15 0 0 9 0 75 25 889571 1622 0 663 9 1.93 2.24 5.62 8 0
20171214 14:10:34 1 0 15 0 0 10 0 75 25 888238 1683 0 663 9 2.41 2.33 5.63 8 0
20171214 14:10:35 1 0 15 0 0 9 0 75 25 893114 1568 0 663 9 2.41 2.33 5.63 8 0
20171214 14:10:36 1 0 15 0 0 9 0 75 25 898484 1619 0 663 9 2.41 2.33 5.63 8 0
20171214 14:10:37 1 0 15 0 0 10 0 75 25 892490 1640 0 663 9 2.41 2.33 5.63 8 0
20171214 14:10:38 1 0 15 0 0 9 0 75 25 887110 1624 0 663 9 2.41 2.33 5.63 8 0
20171214 14:10:39 1 0 15 0 0 9 0 75 25 887804 1591 0 663 9 2.70 2.39 5.63 8 0
20171214 14:10:40 1 0 15 0 0 9 0 75 25 889309 1567 0 663 10 2.70 2.39 5.63 9 0
20171214 14:10:41 1 0 15 0 0 9 0 75 25 884402 1620 0 663 9 2.70 2.39 5.63 8 0
