################################################################################
# Collectl:   V3.6.9-1  HiRes: 1  Options: -P -f results/2017-12-18-12-32/2numa_u80_c2048_24.dat -sc -c80 -oaz 
# Host:       server-0  DaemonOpts: 
# Booted:     1513576123 [20171217-22:48:43]
# Distro:     debian jessie/sid, Ubuntu 14.04.1 LTS  Platform: 
# Date:       20171218-144533  Secs: 1513633533 TZ: -0700
# SubSys:     c Options: az Interval: 1 NumCPUs: 64  CPUsDis: 1 NumBud: 0 Flags: iD
# Filters:    NfsFilt:  EnvFilt:  TcpFilt: ituc
# HZ:         100  Arch: x86_64-linux-gnu-thread-multi PageSize: 4096
# Cpu:        GenuineIntel Speed(MHz): 2200.058 Cores: 4  Siblings: 4 Nodes: 4
# Kernel:     3.13.0-100-generic  Memory: 131822812 kB  Swap: 3145724 kB
# NumDisks:   7 DiskNames: sdb sdd sdc sdg sdf sde sda
# NumNets:    9 NetNames: eth0:1000 eth1:?? eth2:?? eth3:?? eth4:10000 eth5:10000 eth6:10000 eth7:?? lo:??
# SCSI:       DA:0:00:00:00 DA:0:00:01:00 DA:0:00:02:00 DA:0:00:03:00 DA:0:00:04:00 DA:0:00:05:00 DA:0:00:06:00 ??:0:00:32:00
################################################################################
#Date Time [CPU]User% [CPU]Nice% [CPU]Sys% [CPU]Wait% [CPU]Irq% [CPU]Soft% [CPU]Steal% [CPU]Idle% [CPU]Totl% [CPU]Intrpt/sec [CPU]Ctx/sec [CPU]Proc/sec [CPU]ProcQue [CPU]ProcRun [CPU]L-Avg1 [CPU]L-Avg5 [CPU]L-Avg15 [CPU]RunTot [CPU]BlkTot
20171218 14:45:35 3 0 53 0 0 27 0 17 83 363548 121326 0 683 8 6.71 6.52 6.08 8 0
20171218 14:45:36 2 0 54 0 0 27 0 16 84 361736 111072 0 683 9 6.71 6.52 6.08 8 0
20171218 14:45:37 2 0 55 0 0 28 0 15 85 358013 97038 2 685 9 6.71 6.52 6.08 7 0
20171218 14:45:38 3 0 55 0 0 28 0 15 85 357055 99353 0 685 8 6.71 6.52 6.08 6 0
20171218 14:45:39 2 0 55 0 0 28 0 15 85 359696 103236 0 685 9 6.71 6.52 6.08 8 0
20171218 14:45:40 3 0 55 0 0 28 0 15 85 359590 98973 0 685 11 6.89 6.57 6.10 10 0
20171218 14:45:41 3 0 54 0 0 28 0 15 85 357133 95443 0 685 9 6.89 6.57 6.10 9 0
20171218 14:45:42 3 0 54 0 0 28 0 15 85 338481 105797 0 685 10 6.89 6.57 6.10 9 0
20171218 14:45:43 2 0 56 0 0 27 0 15 85 324856 102339 0 685 9 6.89 6.57 6.10 8 0
20171218 14:45:44 2 0 54 0 0 28 0 16 84 329783 84700 0 685 10 6.89 6.57 6.10 7 0
20171218 14:45:45 3 0 53 0 0 29 0 15 85 338380 66982 0 685 9 6.82 6.56 6.10 7 0
20171218 14:45:46 2 0 52 0 0 28 0 17 83 324591 36255 0 685 10 6.82 6.56 6.10 9 0
20171218 14:45:47 3 0 57 0 0 27 0 14 86 353164 83126 0 685 9 6.82 6.56 6.10 8 0
20171218 14:45:48 2 0 54 0 0 30 0 14 86 352026 84489 0 683 7 6.82 6.56 6.10 8 0
20171218 14:45:49 2 0 56 0 0 28 0 14 86 350750 84043 0 683 9 6.82 6.56 6.10 9 0
20171218 14:45:50 3 0 54 0 0 29 0 14 86 349871 86024 0 683 10 6.83 6.56 6.10 11 0
20171218 14:45:51 3 0 56 0 0 27 0 13 87 351316 82619 0 683 8 6.83 6.56 6.10 5 0
20171218 14:45:52 2 0 57 0 0 27 0 14 86 356139 87883 0 683 7 6.83 6.56 6.10 8 0
20171218 14:45:53 3 0 56 0 0 27 0 15 85 351384 88400 0 683 8 6.83 6.56 6.10 8 0
20171218 14:45:54 3 0 55 0 0 29 0 14 86 349532 87162 0 683 8 6.83 6.56 6.10 6 0
20171218 14:45:55 3 0 57 0 0 27 0 14 86 356057 86244 0 683 9 6.85 6.57 6.11 7 0
20171218 14:45:56 1 0 56 0 0 28 0 14 86 354545 89275 0 683 9 6.85 6.57 6.11 7 0
20171218 14:45:57 3 0 56 0 0 27 0 14 86 358014 86113 0 683 9 6.85 6.57 6.11 6 0
20171218 14:45:58 3 0 57 0 0 26 0 14 86 355181 86788 0 683 9 6.85 6.57 6.11 8 0
20171218 14:45:59 2 0 57 0 0 27 0 14 86 353434 89366 0 683 7 6.85 6.57 6.11 8 0
20171218 14:46:00 3 0 56 0 0 28 0 14 86 354581 85672 0 683 9 6.86 6.58 6.11 10 0
20171218 14:46:01 9 0 54 0 0 27 0 10 90 349804 71446 0 683 9 6.86 6.58 6.11 8 0
20171218 14:46:02 2 0 53 0 0 27 0 17 83 364906 121396 0 683 7 6.86 6.58 6.11 6 0
20171218 14:46:03 2 0 55 0 0 29 0 15 85 356135 101354 0 683 9 6.86 6.58 6.11 5 0
20171218 14:46:04 2 0 56 0 0 28 0 14 86 351229 91018 0 683 11 6.86 6.58 6.11 8 0
20171218 14:46:05 3 0 57 0 0 27 0 14 86 351312 87121 0 683 6 6.71 6.55 6.11 9 0
20171218 14:46:06 3 0 56 0 0 27 0 14 86 346716 82168 0 683 9 6.71 6.55 6.11 8 0
20171218 14:46:07 3 0 55 0 0 28 0 14 86 346668 84575 0 683 8 6.71 6.55 6.11 9 0
20171218 14:46:08 3 0 57 0 0 27 0 14 86 350239 83041 0 683 9 6.71 6.55 6.11 8 0
20171218 14:46:09 3 0 54 0 0 28 0 14 86 345901 82922 0 683 9 6.71 6.55 6.11 7 0
20171218 14:46:10 2 0 53 0 0 30 0 14 86 355913 94469 0 683 11 6.73 6.56 6.11 11 0
20171218 14:46:11 3 0 56 0 0 28 0 14 86 351411 86771 0 683 10 6.73 6.56 6.11 9 0
20171218 14:46:12 3 0 55 0 0 28 0 14 86 353568 90810 0 683 9 6.73 6.56 6.11 8 0
20171218 14:46:13 2 0 57 0 0 27 0 14 86 355064 93210 0 683 10 6.73 6.56 6.11 9 0
20171218 14:46:14 2 0 56 0 0 28 0 14 86 354917 91461 0 683 9 6.73 6.56 6.11 8 0
20171218 14:46:15 3 0 55 0 0 29 0 14 86 353888 90147 0 683 8 6.76 6.57 6.12 6 0
20171218 14:46:16 3 0 55 0 0 28 0 14 86 354061 91782 0 683 9 6.76 6.57 6.12 7 0
20171218 14:46:17 3 0 56 0 0 28 0 14 86 354245 89581 0 683 8 6.76 6.57 6.12 9 0
20171218 14:46:18 3 0 56 0 0 28 0 14 86 350618 88434 0 683 8 6.76 6.57 6.12 8 0
20171218 14:46:19 4 0 55 0 0 27 0 14 86 355296 91649 0 683 7 6.76 6.57 6.12 9 0
20171218 14:46:20 3 0 54 0 0 29 0 14 86 353567 89360 0 683 11 6.77 6.57 6.12 11 0
20171218 14:46:21 3 0 56 0 0 27 0 14 86 346183 82270 0 683 10 6.77 6.57 6.12 10 0
20171218 14:46:22 2 0 55 0 0 28 0 15 85 347798 88942 0 683 9 6.77 6.57 6.12 8 0
20171218 14:46:23 3 0 57 0 0 27 0 14 86 354302 91398 0 683 10 6.77 6.57 6.12 8 0
20171218 14:46:24 2 0 56 0 0 27 0 14 86 355633 94589 0 683 8 6.77 6.57 6.12 8 0
20171218 14:46:25 3 0 56 0 0 28 0 14 86 350669 89769 0 683 8 6.79 6.58 6.13 8 0
20171218 14:46:26 3 0 55 0 0 29 0 14 86 353662 89781 0 683 8 6.79 6.58 6.13 8 0
20171218 14:46:27 3 0 55 0 0 28 0 14 86 352316 91076 2 685 8 6.79 6.58 6.13 8 0
20171218 14:46:28 4 0 54 0 0 29 0 14 86 347251 85598 0 685 9 6.79 6.58 6.13 7 0
20171218 14:46:29 3 0 54 0 0 28 0 15 85 339203 83396 0 685 10 6.79 6.58 6.13 8 0
20171218 14:46:30 2 0 54 0 0 27 0 16 84 337030 66250 0 685 10 6.73 6.57 6.13 9 0
20171218 14:46:31 2 0 56 0 0 28 0 14 86 346261 80900 0 685 8 6.73 6.57 6.13 9 0
20171218 14:46:32 2 0 56 0 0 28 0 14 86 348940 84134 0 685 10 6.73 6.57 6.13 9 0
20171218 14:46:33 3 0 56 0 0 27 0 14 86 349494 85807 0 685 9 6.73 6.57 6.13 8 0
20171218 14:46:34 3 0 56 0 0 28 0 14 86 348198 83277 0 685 9 6.73 6.57 6.13 9 0
20171218 14:46:35 2 0 56 0 0 28 0 14 86 351039 86087 0 685 10 6.67 6.56 6.13 7 0
20171218 14:46:36 2 0 56 0 0 28 0 14 86 348879 87547 0 685 9 6.67 6.56 6.13 7 0
20171218 14:46:37 2 0 55 0 0 29 0 14 86 350294 85602 0 685 8 6.67 6.56 6.13 6 0
20171218 14:46:38 2 0 57 0 0 27 0 14 86 349322 85852 0 683 9 6.67 6.56 6.13 9 0
20171218 14:46:39 3 0 55 0 0 28 0 14 86 348391 83557 0 683 10 6.67 6.56 6.13 7 0
20171218 14:46:40 3 0 56 0 0 28 0 14 86 347210 82950 0 683 12 6.70 6.57 6.13 11 0
20171218 14:46:41 3 0 55 0 0 28 0 14 86 347962 85604 0 683 7 6.70 6.57 6.13 8 0
20171218 14:46:42 2 0 57 0 0 27 0 14 86 349708 85598 0 683 8 6.70 6.57 6.13 7 0
