################################################################################
# Collectl:   V3.6.9-1  HiRes: 1  Options: -P -f results/2017-12-18-12-32/4numa_u80_c2048_17.dat -sc -c80 -oaz 
# Host:       server-0  DaemonOpts: 
# Booted:     1513636086.83 [20171218-15:28:06]
# Distro:     debian jessie/sid, Ubuntu 14.04.1 LTS  Platform: 
# Date:       20171218-184148  Secs: 1513647708 TZ: -0700
# SubSys:     c Options: az Interval: 1 NumCPUs: 64  CPUsDis: 1 NumBud: 0 Flags: iD
# Filters:    NfsFilt:  EnvFilt:  TcpFilt: ituc
# HZ:         100  Arch: x86_64-linux-gnu-thread-multi PageSize: 4096
# Cpu:        GenuineIntel Speed(MHz): 2200.151 Cores: 2  Siblings: 2 Nodes: 4
# Kernel:     3.13.0-100-generic  Memory: 131822812 kB  Swap: 3145724 kB
# NumDisks:   7 DiskNames: sdb sdc sdd sdf sde sdg sda
# NumNets:    9 NetNames: eth0:1000 eth1:?? eth2:?? eth3:?? eth4:10000 eth5:?? eth6:10000 eth7:?? lo:??
# SCSI:       DA:0:00:00:00 DA:0:00:01:00 DA:0:00:02:00 DA:0:00:03:00 DA:0:00:04:00 DA:0:00:05:00 DA:0:00:06:00 ??:0:00:32:00
################################################################################
#Date Time [CPU]User% [CPU]Nice% [CPU]Sys% [CPU]Wait% [CPU]Irq% [CPU]Soft% [CPU]Steal% [CPU]Idle% [CPU]Totl% [CPU]Intrpt/sec [CPU]Ctx/sec [CPU]Proc/sec [CPU]ProcQue [CPU]ProcRun [CPU]L-Avg1 [CPU]L-Avg5 [CPU]L-Avg15 [CPU]RunTot [CPU]BlkTot
20171218 18:41:50 1 0 28 0 0 13 0 58 42 9391 14424 0 696 6 2.39 1.92 1.50 7 0
20171218 18:41:51 1 0 27 0 0 13 0 59 41 12943 19453 0 696 5 2.39 1.92 1.50 4 0
20171218 18:41:52 1 0 27 0 0 13 0 59 41 12796 19191 0 696 7 2.44 1.94 1.51 5 0
20171218 18:41:53 1 0 27 0 0 13 0 59 41 16498 25601 0 696 4 2.44 1.94 1.51 4 0
20171218 18:41:54 1 0 27 0 0 13 0 60 40 9664 15131 0 696 6 2.44 1.94 1.51 4 0
20171218 18:41:55 1 0 27 0 0 13 0 60 40 12516 20786 0 696 6 2.44 1.94 1.51 5 0
20171218 18:41:56 1 0 27 0 0 12 0 60 40 19764 33893 0 696 5 2.44 1.94 1.51 4 0
20171218 18:41:57 1 0 27 0 0 13 0 60 40 13364 21313 0 696 6 2.64 1.99 1.53 6 0
20171218 18:41:58 1 0 27 0 0 13 0 59 41 14660 23925 0 696 8 2.64 1.99 1.53 4 0
20171218 18:41:59 1 0 27 0 0 13 0 59 41 15186 24824 0 696 7 2.64 1.99 1.53 4 0
20171218 18:42:00 1 0 27 0 0 13 0 60 40 10776 16322 0 696 6 2.64 1.99 1.53 8 0
20171218 18:42:01 7 0 28 0 0 13 0 52 48 19361 27214 0 696 5 2.64 1.99 1.53 3 0
20171218 18:42:02 1 0 29 0 0 13 0 58 42 23476 39228 0 696 7 2.83 2.04 1.55 5 0
20171218 18:42:03 1 0 27 0 0 12 0 59 41 16668 29966 0 696 6 2.83 2.04 1.55 2 0
