################################################################################
# Collectl:   V3.6.9-1  HiRes: 1  Options: -P -f results/2017-12-18-12-32/4numa_u80_c2048_6.dat -sc -c80 -oaz 
# Host:       server-0  DaemonOpts: 
# Booted:     1513636087.27 [20171218-15:28:07]
# Distro:     debian jessie/sid, Ubuntu 14.04.1 LTS  Platform: 
# Date:       20171218-182007  Secs: 1513646407 TZ: -0700
# SubSys:     c Options: az Interval: 1 NumCPUs: 64  CPUsDis: 1 NumBud: 0 Flags: iD
# Filters:    NfsFilt:  EnvFilt:  TcpFilt: ituc
# HZ:         100  Arch: x86_64-linux-gnu-thread-multi PageSize: 4096
# Cpu:        GenuineIntel Speed(MHz): 2200.151 Cores: 2  Siblings: 2 Nodes: 4
# Kernel:     3.13.0-100-generic  Memory: 131822812 kB  Swap: 3145724 kB
# NumDisks:   7 DiskNames: sdb sdc sdd sdf sde sdg sda
# NumNets:    9 NetNames: eth0:1000 eth1:?? eth2:?? eth3:?? eth4:?? eth5:10000 eth6:10000 eth7:?? lo:??
# SCSI:       DA:0:00:00:00 DA:0:00:01:00 DA:0:00:02:00 DA:0:00:03:00 DA:0:00:04:00 DA:0:00:05:00 DA:0:00:06:00 ??:0:00:32:00
################################################################################
#Date Time [CPU]User% [CPU]Nice% [CPU]Sys% [CPU]Wait% [CPU]Irq% [CPU]Soft% [CPU]Steal% [CPU]Idle% [CPU]Totl% [CPU]Intrpt/sec [CPU]Ctx/sec [CPU]Proc/sec [CPU]ProcQue [CPU]ProcRun [CPU]L-Avg1 [CPU]L-Avg5 [CPU]L-Avg15 [CPU]RunTot [CPU]BlkTot
20171218 18:20:09 0 0 2 0 0 0 0 98 2 1515 1221 0 695 1 1.78 1.11 0.67 0 0
20171218 18:20:10 0 0 0 0 0 0 0 100 0 1095 139 0 695 1 1.78 1.11 0.67 1 0
20171218 18:20:11 0 0 1 0 0 0 0 99 1 1160 170 0 695 1 1.63 1.09 0.67 0 0
20171218 18:20:12 0 0 0 0 0 0 0 99 1 1106 178 0 695 1 1.63 1.09 0.67 0 0
20171218 18:20:13 0 0 4 0 0 2 0 94 6 43943 34739 1 696 2 1.63 1.09 0.67 2 0
20171218 18:20:14 1 0 5 0 0 1 0 93 7 47046 39487 0 696 1 1.63 1.09 0.67 0 0
20171218 18:20:15 1 0 7 0 0 3 0 90 10 77333 37878 0 696 3 1.63 1.09 0.67 2 0
20171218 18:20:16 0 0 12 0 0 6 0 82 18 65488 55805 0 696 4 1.66 1.10 0.68 3 0
20171218 18:20:17 1 0 7 0 0 3 0 89 11 80079 79643 0 696 1 1.66 1.10 0.68 1 0
20171218 18:20:18 0 0 7 0 0 3 0 90 10 81746 63585 0 696 2 1.66 1.10 0.68 2 0
20171218 18:20:19 1 0 7 0 0 2 0 91 9 83547 73523 0 696 1 1.66 1.10 0.68 1 0
20171218 18:20:20 0 0 6 0 0 2 0 91 9 75978 65490 1 696 1 1.66 1.10 0.68 3 0
20171218 18:20:21 1 0 7 0 0 2 0 90 10 78406 65456 0 696 1 1.61 1.10 0.68 1 0
20171218 18:20:22 1 0 6 0 0 2 0 91 9 82743 63460 0 696 4 1.61 1.10 0.68 2 0
20171218 18:20:23 1 0 6 0 0 3 0 91 9 59570 31781 0 696 0 1.61 1.10 0.68 1 0
20171218 18:20:24 0 0 2 0 0 1 0 97 3 19409 20946 0 696 1 1.61 1.10 0.68 0 0
20171218 18:20:25 0 0 0 0 0 0 0 99 1 1184 236 0 696 1 1.61 1.10 0.68 0 0
20171218 18:20:26 0 0 0 0 0 0 0 99 1 1091 152 0 696 1 1.48 1.08 0.67 0 0
20171218 18:20:27 0 0 0 0 0 0 0 100 0 1103 76 0 696 1 1.48 1.08 0.67 0 0
20171218 18:20:28 0 0 4 0 0 1 0 94 6 36052 28552 0 696 3 1.48 1.08 0.67 1 0
20171218 18:20:29 1 0 14 0 0 8 0 77 23 14935 4094 0 696 2 1.48 1.08 0.67 2 0
20171218 18:20:30 0 0 15 0 0 4 0 80 20 8408 6135 0 696 2 1.48 1.08 0.67 3 0
20171218 18:20:31 1 0 16 0 0 7 0 76 24 8728 2354 0 696 2 1.52 1.10 0.68 2 0
20171218 18:20:32 0 0 15 0 0 9 0 75 25 8793 1091 0 696 2 1.52 1.10 0.68 2 0
20171218 18:20:33 0 0 15 0 0 10 0 75 25 9058 723 0 696 2 1.52 1.10 0.68 2 0
20171218 18:20:34 0 0 15 0 0 10 0 75 25 9142 595 0 696 2 1.52 1.10 0.68 2 0
20171218 18:20:35 0 0 16 0 0 9 0 75 25 9087 491 0 696 2 1.52 1.10 0.68 2 0
20171218 18:20:36 1 0 15 0 0 10 0 75 25 9030 475 0 696 2 1.56 1.11 0.69 2 0
20171218 18:20:37 1 0 15 0 0 10 0 74 26 9265 540 0 696 2 1.56 1.11 0.69 2 0
20171218 18:20:38 0 0 17 0 0 10 0 74 26 16328 19574 0 696 6 1.56 1.11 0.69 4 0
20171218 18:20:39 0 0 14 0 0 9 0 77 23 11011 13904 0 696 1 1.56 1.11 0.69 0 0
20171218 18:20:40 0 0 1 0 0 0 0 99 1 1178 281 0 696 3 1.56 1.11 0.69 2 0
20171218 18:20:41 0 0 0 0 0 0 0 99 1 1145 130 0 696 0 1.43 1.10 0.68 0 0
20171218 18:20:42 0 0 0 0 0 0 0 99 1 1099 149 0 696 1 1.43 1.10 0.68 0 0
20171218 18:20:43 0 0 0 0 0 0 0 99 1 2362 1474 0 696 0 1.43 1.10 0.68 0 0
20171218 18:20:44 0 0 6 0 0 4 0 90 10 35275 15330 0 696 2 1.43 1.10 0.68 2 0
20171218 18:20:45 0 0 3 0 0 1 0 96 4 34212 29349 0 696 1 1.43 1.10 0.68 0 0
20171218 18:20:46 0 0 2 0 0 0 0 97 3 29749 29595 0 696 0 1.32 1.08 0.68 0 0
20171218 18:20:47 0 0 3 0 0 1 0 96 4 31438 27609 0 696 3 1.32 1.08 0.68 2 0
20171218 18:20:48 1 0 14 0 0 10 0 76 24 45114 3238 0 696 2 1.32 1.08 0.68 2 0
20171218 18:20:49 1 0 14 0 0 8 0 76 24 43511 3719 0 696 2 1.32 1.08 0.68 2 0
20171218 18:20:50 0 0 14 0 0 10 0 75 25 48891 514 0 696 3 1.32 1.08 0.68 3 0
20171218 18:20:51 1 0 15 0 0 10 0 74 26 59076 543 0 696 2 1.37 1.09 0.69 2 0
20171218 18:20:52 0 0 15 0 0 10 0 74 26 59238 519 0 696 2 1.37 1.09 0.69 2 0
20171218 18:20:53 0 0 14 0 0 11 0 75 25 60108 500 0 696 2 1.37 1.09 0.69 2 0
20171218 18:20:54 0 0 9 0 0 5 0 86 14 30612 2585 0 696 0 1.37 1.09 0.69 0 0
20171218 18:20:55 0 0 1 0 0 0 0 99 1 1107 451 0 696 2 1.37 1.09 0.69 2 0
20171218 18:20:56 0 0 0 0 0 0 0 99 1 1125 197 0 696 1 1.26 1.08 0.68 0 0
20171218 18:20:57 0 0 1 0 0 0 0 99 1 1157 188 0 696 1 1.26 1.08 0.68 0 0
