################################################################################
# Collectl:   V3.6.9-1  HiRes: 1  Options: -P -f results/2017-12-18-18-44/1numa_u80_c2048_15.dat -sc -c80 -oaz 
# Host:       server-0  DaemonOpts: 
# Booted:     1513689386.58 [20171219-06:16:26]
# Distro:     debian jessie/sid, Ubuntu 14.04.1 LTS  Platform: 
# Date:       20171219-070124  Secs: 1513692084 TZ: -0700
# SubSys:     c Options: az Interval: 1 NumCPUs: 64 [HYPER] CPUsDis: 1 NumBud: 0 Flags: iD
# Filters:    NfsFilt:  EnvFilt:  TcpFilt: ituc
# HZ:         100  Arch: x86_64-linux-gnu-thread-multi PageSize: 4096
# Cpu:        GenuineIntel Speed(MHz): 2200.109 Cores: 8  Siblings: 16 Nodes: 4
# Kernel:     3.13.0-100-generic  Memory: 131822812 kB  Swap: 3145724 kB
# NumDisks:   7 DiskNames: sdc sdb sdd sdf sde sdg sda
# NumNets:    9 NetNames: eth0:1000 eth1:?? eth2:?? eth3:?? eth4:10000 eth5:10000 eth6:10000 eth7:?? lo:??
# SCSI:       DA:0:00:00:00 DA:0:00:01:00 DA:0:00:02:00 DA:0:00:03:00 DA:0:00:04:00 DA:0:00:05:00 DA:0:00:06:00 ??:0:00:32:00
################################################################################
#Date Time [CPU]User% [CPU]Nice% [CPU]Sys% [CPU]Wait% [CPU]Irq% [CPU]Soft% [CPU]Steal% [CPU]Idle% [CPU]Totl% [CPU]Intrpt/sec [CPU]Ctx/sec [CPU]Proc/sec [CPU]ProcQue [CPU]ProcRun [CPU]L-Avg1 [CPU]L-Avg5 [CPU]L-Avg15 [CPU]RunTot [CPU]BlkTot
20171219 07:01:26 1 0 15 0 0 7 0 78 22 103696 94352 0 692 5 2.14 2.66 2.73 3 0
20171219 07:01:27 1 0 14 0 0 6 0 79 21 109992 109586 0 692 2 2.14 2.66 2.73 3 0
20171219 07:01:28 0 0 4 0 0 2 0 94 6 33369 33427 0 692 1 2.14 2.66 2.73 0 0
20171219 07:01:29 0 0 0 0 0 0 0 100 0 2098 211 0 692 2 2.14 2.66 2.73 2 0
20171219 07:01:30 0 0 4 0 0 2 0 94 6 42524 10340 0 692 2 1.97 2.61 2.72 3 0
20171219 07:01:31 1 0 9 0 0 4 0 86 14 91146 71360 0 692 5 1.97 2.61 2.72 6 0
20171219 07:01:32 1 0 21 0 0 10 0 67 33 50456 39239 0 692 8 1.97 2.61 2.72 7 0
20171219 07:01:33 1 0 22 0 0 11 0 67 33 49115 34974 0 692 7 1.97 2.61 2.72 8 0
20171219 07:01:34 1 0 21 0 0 10 0 68 32 45402 35709 0 692 6 1.97 2.61 2.72 6 0
20171219 07:01:35 0 0 8 0 0 3 0 89 11 20210 16748 0 692 1 1.89 2.58 2.71 0 0
20171219 07:01:36 0 0 9 0 0 5 0 86 14 77757 41888 0 692 8 1.89 2.58 2.71 6 0
20171219 07:01:37 1 0 19 0 0 10 0 70 30 106149 57974 0 692 7 1.89 2.58 2.71 6 0
20171219 07:01:38 1 0 20 0 0 11 0 67 32 100052 75988 0 692 8 1.89 2.58 2.71 6 0
20171219 07:01:39 2 0 20 0 0 10 0 69 31 55901 50512 0 692 4 1.89 2.58 2.71 6 0
