################################################################################
# Collectl:   V3.6.9-1  HiRes: 1  Options: -P -f results/2017-12-18-18-44/1numa_u80_c2048_2.dat -sc -c80 -oaz 
# Host:       server-0  DaemonOpts: 
# Booted:     1513689387.19 [20171219-06:16:27]
# Distro:     debian jessie/sid, Ubuntu 14.04.1 LTS  Platform: 
# Date:       20171219-063650  Secs: 1513690610 TZ: -0700
# SubSys:     c Options: az Interval: 1 NumCPUs: 64 [HYPER] CPUsDis: 1 NumBud: 0 Flags: iD
# Filters:    NfsFilt:  EnvFilt:  TcpFilt: ituc
# HZ:         100  Arch: x86_64-linux-gnu-thread-multi PageSize: 4096
# Cpu:        GenuineIntel Speed(MHz): 2200.109 Cores: 8  Siblings: 16 Nodes: 4
# Kernel:     3.13.0-100-generic  Memory: 131822812 kB  Swap: 3145724 kB
# NumDisks:   7 DiskNames: sdc sdb sdd sdf sde sdg sda
# NumNets:    9 NetNames: eth0:1000 eth1:?? eth2:?? eth3:?? eth4:?? eth5:?? eth6:10000 eth7:?? lo:??
# SCSI:       DA:0:00:00:00 DA:0:00:01:00 DA:0:00:02:00 DA:0:00:03:00 DA:0:00:04:00 DA:0:00:05:00 DA:0:00:06:00 ??:0:00:32:00
################################################################################
#Date Time [CPU]User% [CPU]Nice% [CPU]Sys% [CPU]Wait% [CPU]Irq% [CPU]Soft% [CPU]Steal% [CPU]Idle% [CPU]Totl% [CPU]Intrpt/sec [CPU]Ctx/sec [CPU]Proc/sec [CPU]ProcQue [CPU]ProcRun [CPU]L-Avg1 [CPU]L-Avg5 [CPU]L-Avg15 [CPU]RunTot [CPU]BlkTot
20171219 06:36:52 1 0 8 0 0 4 0 87 13 83228 51872 0 692 3 2.60 2.53 1.75 1 0
20171219 06:36:53 1 0 8 0 0 2 0 89 11 76728 70644 0 692 3 2.60 2.53 1.75 2 0
20171219 06:36:54 0 0 7 0 0 2 0 90 10 82881 75907 0 692 2 2.47 2.51 1.74 2 0
20171219 06:36:55 1 0 16 0 0 7 0 76 24 55696 64311 0 692 4 2.47 2.51 1.74 5 0
20171219 06:36:56 1 0 21 0 0 11 0 68 32 39026 37611 0 692 5 2.47 2.51 1.74 5 0
20171219 06:36:57 1 0 14 0 0 6 0 79 21 65419 62349 0 692 5 2.47 2.51 1.74 5 0
20171219 06:36:58 1 0 21 0 0 10 0 68 32 68704 41350 0 692 8 2.47 2.51 1.74 6 0
20171219 06:36:59 1 0 20 0 0 10 0 69 31 83975 44923 0 692 5 2.52 2.52 1.75 5 0
20171219 06:37:00 1 0 21 0 0 10 0 68 32 44761 204351 0 692 8 2.52 2.52 1.75 5 0
20171219 06:37:01 2 0 9 0 0 4 0 85 15 20283 14313 0 692 1 2.52 2.52 1.75 0 0
20171219 06:37:02 1 0 9 0 0 4 0 87 13 84982 145510 0 692 1 2.52 2.52 1.75 3 0
20171219 06:37:03 0 0 8 0 0 4 0 88 12 84772 196213 0 692 3 2.52 2.52 1.75 2 0
20171219 06:37:04 1 0 12 0 0 4 0 83 17 102767 190308 0 692 2 2.64 2.54 1.76 3 0
20171219 06:37:05 1 0 14 0 0 6 0 79 21 175944 207600 0 692 5 2.64 2.54 1.76 4 0
20171219 06:37:06 1 0 22 0 0 10 0 67 33 169553 127636 0 692 4 2.64 2.54 1.76 5 0
20171219 06:37:07 1 0 18 0 0 8 0 73 27 76107 70955 0 692 6 2.64 2.54 1.76 7 0
20171219 06:37:08 1 0 20 0 0 9 0 69 31 57018 66368 0 692 6 2.64 2.54 1.76 6 0
20171219 06:37:09 1 0 22 0 0 10 0 66 34 62510 78019 0 692 7 2.74 2.56 1.78 7 0
20171219 06:37:10 1 0 24 0 0 11 0 64 36 44506 36317 0 692 6 2.74 2.56 1.78 6 0
20171219 06:37:11 0 0 7 0 0 3 0 89 11 15002 13960 0 692 1 2.74 2.56 1.78 0 0
20171219 06:37:12 0 0 0 0 0 0 0 100 0 2377 248 0 692 1 2.74 2.56 1.78 0 0
20171219 06:37:13 0 0 4 0 0 2 0 93 7 31242 13086 0 692 7 2.74 2.56 1.78 7 0
20171219 06:37:14 1 0 17 0 0 8 0 74 26 192014 219329 0 692 6 3.09 2.64 1.80 6 0
20171219 06:37:15 1 0 16 0 0 8 0 75 25 288119 373781 0 692 6 3.09 2.64 1.80 4 0
20171219 06:37:16 1 0 16 0 0 8 0 76 24 249279 279172 0 692 5 3.09 2.64 1.80 4 0
20171219 06:37:17 1 0 15 0 0 8 0 75 25 296917 312653 0 692 7 3.09 2.64 1.80 6 0
20171219 06:37:18 1 0 20 0 0 11 0 69 31 200955 74791 0 692 6 3.09 2.64 1.80 5 0
20171219 06:37:19 1 0 20 0 0 11 0 67 33 225594 67563 0 692 6 3.32 2.69 1.83 5 0
20171219 06:37:20 1 0 21 0 0 12 0 67 33 227675 29457 0 692 6 3.32 2.69 1.83 7 0
20171219 06:37:21 1 0 16 0 0 8 0 76 24 260336 188755 0 692 1 3.32 2.69 1.83 5 0
20171219 06:37:22 0 0 4 0 0 2 0 94 6 75904 78222 0 692 1 3.32 2.69 1.83 0 0
20171219 06:37:23 0 0 0 0 0 0 0 100 0 1179 262 0 692 1 3.32 2.69 1.83 0 0
20171219 06:37:24 0 0 0 0 0 0 0 100 0 1201 198 0 692 1 3.05 2.65 1.82 0 0
20171219 06:37:25 0 0 1 0 0 0 0 99 1 6386 3864 0 692 5 3.05 2.65 1.82 5 0
20171219 06:37:26 1 0 17 0 0 8 0 74 26 69625 50326 0 692 5 3.05 2.65 1.82 4 0
20171219 06:37:27 1 0 17 0 0 9 0 73 27 53707 84560 0 692 8 3.05 2.65 1.82 5 0
20171219 06:37:28 1 0 21 0 0 10 0 67 33 52078 39140 0 692 7 3.05 2.65 1.82 5 0
20171219 06:37:29 1 0 22 0 0 11 0 67 33 48859 29945 0 692 5 3.29 2.70 1.84 6 0
20171219 06:37:30 1 0 22 0 0 11 0 66 34 83071 33755 0 692 6 3.29 2.70 1.84 7 0
20171219 06:37:31 1 0 22 0 0 10 0 67 33 67788 41548 0 692 8 3.29 2.70 1.84 7 0
20171219 06:37:32 1 0 11 0 0 6 0 83 17 39211 16828 0 692 8 3.29 2.70 1.84 8 0
20171219 06:37:33 0 0 1 0 0 0 0 99 1 5407 1280 0 692 2 3.29 2.70 1.84 0 0
20171219 06:37:34 0 0 0 0 0 0 0 100 0 1258 269 0 692 1 3.03 2.66 1.83 0 0
20171219 06:37:35 0 0 0 0 0 0 0 100 0 1141 190 0 692 1 3.03 2.66 1.83 0 0
20171219 06:37:36 0 0 0 0 0 0 0 100 0 8320 7469 0 692 1 3.03 2.66 1.83 0 0
20171219 06:37:37 0 0 4 0 0 1 0 94 6 54140 48416 0 692 4 3.03 2.66 1.83 3 0
20171219 06:37:38 1 0 20 0 0 10 0 68 32 76741 105163 0 692 6 3.03 2.66 1.83 6 0
20171219 06:37:39 1 0 23 0 0 11 0 65 35 83526 39391 0 692 6 3.26 2.72 1.85 6 0
20171219 06:37:40 1 0 21 0 0 11 0 67 33 221068 50439 0 692 6 3.26 2.72 1.85 7 0
20171219 06:37:41 1 0 20 0 0 12 0 67 33 226432 41059 0 692 5 3.26 2.72 1.85 6 0
20171219 06:37:42 1 0 20 0 0 11 0 68 32 225462 39142 0 692 5 3.26 2.72 1.85 5 0
20171219 06:37:43 1 0 20 0 0 11 0 68 32 225776 43007 0 692 5 3.26 2.72 1.85 4 0
20171219 06:37:44 1 0 19 0 0 11 0 69 31 97123 40056 0 692 8 3.48 2.77 1.87 6 0
20171219 06:37:45 1 0 21 0 0 11 0 68 32 35912 38327 0 692 7 3.48 2.77 1.87 5 0
20171219 06:37:46 0 0 7 0 0 3 0 90 10 11538 13444 0 692 1 3.48 2.77 1.87 0 0
20171219 06:37:47 0 0 0 0 0 0 0 100 0 1155 250 0 692 2 3.48 2.77 1.87 0 0
20171219 06:37:48 0 0 0 0 0 0 0 100 0 1145 126 0 692 2 3.48 2.77 1.87 0 0
20171219 06:37:49 0 0 2 0 0 1 0 97 3 25673 11988 0 692 3 3.28 2.74 1.87 1 0
20171219 06:37:50 1 0 9 0 0 5 0 86 14 50168 36665 0 692 9 3.28 2.74 1.87 8 0
20171219 06:37:51 1 0 20 0 0 11 0 68 32 53522 43683 0 692 6 3.28 2.74 1.87 6 0
20171219 06:37:52 1 0 21 0 0 10 0 68 32 43975 42511 0 692 6 3.28 2.74 1.87 6 0
20171219 06:37:53 1 0 21 0 0 11 0 67 33 91414 29686 0 692 6 3.28 2.74 1.87 6 0
20171219 06:37:54 1 0 21 0 0 11 0 68 32 149854 37065 0 692 5 3.34 2.76 1.88 6 0
20171219 06:37:55 1 0 22 0 0 11 0 66 34 111434 37342 0 692 8 3.34 2.76 1.88 8 0
20171219 06:37:56 1 0 18 0 0 8 0 73 27 62994 81110 0 692 5 3.34 2.76 1.88 4 0
20171219 06:37:57 1 0 20 0 0 9 0 69 31 78396 83938 0 692 5 3.34 2.76 1.88 5 0
20171219 06:37:58 1 0 19 0 0 8 0 72 28 93657 131139 0 692 4 3.34 2.76 1.88 6 0
20171219 06:37:59 1 0 20 0 0 8 0 71 29 109608 151860 0 692 7 3.55 2.82 1.90 6 0
20171219 06:38:00 1 0 19 0 0 8 0 72 28 132329 182767 0 692 7 3.55 2.82 1.90 9 0
20171219 06:38:01 2 0 11 0 0 5 0 82 18 39695 25527 0 692 6 3.55 2.82 1.90 5 0
20171219 06:38:02 1 0 23 0 0 11 0 65 35 91964 20781 0 692 6 3.55 2.82 1.90 6 0
20171219 06:38:03 1 0 22 0 0 11 0 65 35 62758 20714 0 692 6 3.55 2.82 1.90 7 0
20171219 06:38:04 1 0 21 0 0 11 0 67 33 63364 27062 0 692 8 3.83 2.89 1.93 6 0
20171219 06:38:05 1 0 20 0 0 11 0 68 32 60665 203067 0 692 5 3.83 2.89 1.93 5 0
