################################################################################
# Collectl:   V3.6.9-1  HiRes: 1  Options: -P -f results/2017-12-18-18-44/1numa_u80_c2048_29.dat -sc -c80 -oaz 
# Host:       server-0  DaemonOpts: 
# Booted:     1513689387.07 [20171219-06:16:27]
# Distro:     debian jessie/sid, Ubuntu 14.04.1 LTS  Platform: 
# Date:       20171219-072815  Secs: 1513693695 TZ: -0700
# SubSys:     c Options: az Interval: 1 NumCPUs: 64 [HYPER] CPUsDis: 1 NumBud: 0 Flags: iD
# Filters:    NfsFilt:  EnvFilt:  TcpFilt: ituc
# HZ:         100  Arch: x86_64-linux-gnu-thread-multi PageSize: 4096
# Cpu:        GenuineIntel Speed(MHz): 2200.109 Cores: 8  Siblings: 16 Nodes: 4
# Kernel:     3.13.0-100-generic  Memory: 131822812 kB  Swap: 3145724 kB
# NumDisks:   7 DiskNames: sdc sdb sdd sdf sde sdg sda
# NumNets:    9 NetNames: eth0:1000 eth1:?? eth2:?? eth3:?? eth4:?? eth5:10000 eth6:10000 eth7:?? lo:??
# SCSI:       DA:0:00:00:00 DA:0:00:01:00 DA:0:00:02:00 DA:0:00:03:00 DA:0:00:04:00 DA:0:00:05:00 DA:0:00:06:00 ??:0:00:32:00
################################################################################
#Date Time [CPU]User% [CPU]Nice% [CPU]Sys% [CPU]Wait% [CPU]Irq% [CPU]Soft% [CPU]Steal% [CPU]Idle% [CPU]Totl% [CPU]Intrpt/sec [CPU]Ctx/sec [CPU]Proc/sec [CPU]ProcQue [CPU]ProcRun [CPU]L-Avg1 [CPU]L-Avg5 [CPU]L-Avg15 [CPU]RunTot [CPU]BlkTot
20171219 07:28:17 1 0 17 0 0 9 0 74 26 41243 20396 0 692 7 2.49 2.91 3.00 4 0
20171219 07:28:18 1 0 16 0 0 8 0 74 26 26684 29500 0 692 5 2.49 2.91 3.00 4 0
20171219 07:28:19 1 0 16 0 0 9 0 75 25 32941 26165 0 692 6 2.49 2.91 3.00 6 0
20171219 07:28:20 1 0 17 0 0 8 0 74 26 68786 51801 0 692 7 2.49 2.91 3.00 6 0
20171219 07:28:21 1 0 22 0 0 11 0 66 34 220171 24354 0 692 7 2.77 2.96 3.01 5 0
20171219 07:28:22 1 0 21 0 0 11 0 67 33 215030 22345 0 692 5 2.77 2.96 3.01 5 0
20171219 07:28:23 1 0 22 0 0 11 0 67 33 217744 41507 0 692 5 2.77 2.96 3.01 5 0
20171219 07:28:24 1 0 21 0 0 11 0 67 33 219157 23267 0 692 6 2.77 2.96 3.01 5 0
20171219 07:28:25 1 0 21 0 0 11 0 67 33 217302 21710 0 692 5 2.77 2.96 3.01 6 0
20171219 07:28:26 1 0 22 0 0 10 0 68 32 95322 44593 0 692 5 3.11 3.03 3.03 6 0
20171219 07:28:27 1 0 10 0 0 5 0 85 15 29430 29789 0 692 1 3.11 3.03 3.03 0 0
20171219 07:28:28 0 0 0 0 0 0 0 100 0 1116 487 0 692 1 3.11 3.03 3.03 0 0
20171219 07:28:29 0 0 0 0 0 0 0 100 0 1240 211 0 692 2 3.11 3.03 3.03 0 0
20171219 07:28:30 0 0 0 0 0 0 0 100 0 1113 188 0 692 2 3.11 3.03 3.03 1 0
20171219 07:28:31 0 0 0 0 0 0 0 100 0 3319 2332 0 692 2 2.86 2.98 3.02 1 0
20171219 07:28:32 0 0 5 0 0 2 0 93 7 67506 53736 0 692 5 2.86 2.98 3.02 3 0
20171219 07:28:33 1 0 16 0 0 9 0 73 27 48982 30228 0 692 4 2.86 2.98 3.02 4 0
20171219 07:28:34 1 0 17 0 0 9 0 73 27 81295 31301 0 692 7 2.86 2.98 3.02 4 0
20171219 07:28:35 1 0 19 0 0 9 0 71 29 136566 28252 0 692 6 2.86 2.98 3.02 6 0
20171219 07:28:36 1 0 22 0 0 12 0 65 35 219067 18840 0 692 6 3.03 3.01 3.03 6 0
20171219 07:28:37 1 0 24 0 0 11 0 64 36 104931 21494 0 692 6 3.03 3.01 3.03 7 0
20171219 07:28:38 1 0 22 0 0 10 0 67 33 45693 25369 0 692 7 3.03 3.01 3.03 5 0
20171219 07:28:39 1 0 22 0 0 10 0 67 33 46558 22947 0 692 6 3.03 3.01 3.03 5 0
20171219 07:28:40 1 0 22 0 0 10 0 67 33 45241 21427 0 692 7 3.03 3.01 3.03 7 0
20171219 07:28:41 1 0 22 0 0 10 0 67 33 51912 27946 0 692 6 3.19 3.05 3.04 5 0
20171219 07:28:42 1 0 21 0 0 10 0 67 33 47429 22300 0 692 8 3.19 3.05 3.04 6 0
20171219 07:28:43 0 0 10 0 0 4 0 85 15 32215 16119 0 692 5 3.19 3.05 3.04 5 0
20171219 07:28:44 1 0 21 0 0 11 0 68 32 74771 24896 0 692 6 3.19 3.05 3.04 6 0
20171219 07:28:45 1 0 21 0 0 9 0 69 31 38111 34083 0 692 6 3.19 3.05 3.04 5 0
20171219 07:28:46 1 0 20 0 0 9 0 69 31 36595 31947 0 692 6 3.34 3.08 3.05 6 0
20171219 07:28:47 1 0 22 0 0 11 0 67 33 56881 29768 0 692 6 3.34 3.08 3.05 5 0
20171219 07:28:48 1 0 8 0 0 3 0 88 12 50981 41345 0 692 2 3.34 3.08 3.05 1 0
20171219 07:28:49 0 0 5 0 0 2 0 92 8 68459 29235 0 692 1 3.34 3.08 3.05 1 0
20171219 07:28:50 0 0 5 0 0 3 0 92 8 64597 51991 0 692 3 3.34 3.08 3.05 2 0
20171219 07:28:51 1 0 14 0 0 7 0 79 21 79840 89097 0 692 6 3.47 3.11 3.06 5 0
20171219 07:28:52 1 0 22 0 0 11 0 66 34 53942 33945 0 692 7 3.47 3.11 3.06 6 0
20171219 07:28:53 1 0 11 0 0 5 0 83 17 33150 17133 0 692 1 3.47 3.11 3.06 1 0
20171219 07:28:54 0 0 7 0 0 3 0 90 10 87287 88104 0 692 5 3.47 3.11 3.06 2 0
20171219 07:28:55 1 0 13 0 0 6 0 81 19 158154 151690 0 692 5 3.47 3.11 3.06 4 0
