################################################################################
# Collectl:   V3.6.9-1  HiRes: 1  Options: -P -f results/2017-12-18-18-44/1numa_u80_c2048_5.dat -sc -c80 -oaz 
# Host:       server-0  DaemonOpts: 
# Booted:     1513689386.81 [20171219-06:16:26]
# Distro:     debian jessie/sid, Ubuntu 14.04.1 LTS  Platform: 
# Date:       20171219-064221  Secs: 1513690941 TZ: -0700
# SubSys:     c Options: az Interval: 1 NumCPUs: 64 [HYPER] CPUsDis: 1 NumBud: 0 Flags: iD
# Filters:    NfsFilt:  EnvFilt:  TcpFilt: ituc
# HZ:         100  Arch: x86_64-linux-gnu-thread-multi PageSize: 4096
# Cpu:        GenuineIntel Speed(MHz): 2200.109 Cores: 8  Siblings: 16 Nodes: 4
# Kernel:     3.13.0-100-generic  Memory: 131822812 kB  Swap: 3145724 kB
# NumDisks:   7 DiskNames: sdc sdb sdd sdf sde sdg sda
# NumNets:    9 NetNames: eth0:1000 eth1:?? eth2:?? eth3:?? eth4:10000 eth5:?? eth6:10000 eth7:?? lo:??
# SCSI:       DA:0:00:00:00 DA:0:00:01:00 DA:0:00:02:00 DA:0:00:03:00 DA:0:00:04:00 DA:0:00:05:00 DA:0:00:06:00 ??:0:00:32:00
################################################################################
#Date Time [CPU]User% [CPU]Nice% [CPU]Sys% [CPU]Wait% [CPU]Irq% [CPU]Soft% [CPU]Steal% [CPU]Idle% [CPU]Totl% [CPU]Intrpt/sec [CPU]Ctx/sec [CPU]Proc/sec [CPU]ProcQue [CPU]ProcRun [CPU]L-Avg1 [CPU]L-Avg5 [CPU]L-Avg15 [CPU]RunTot [CPU]BlkTot
20171219 06:42:23 1 0 21 0 0 10 0 68 32 57637 53169 0 692 7 3.34 3.08 2.24 5 0
20171219 06:42:24 1 0 22 0 0 11 0 66 34 58531 35300 0 692 7 3.55 3.12 2.26 6 0
20171219 06:42:25 1 0 23 0 0 11 0 65 35 45795 31241 0 692 6 3.55 3.12 2.26 6 0
20171219 06:42:26 1 0 22 0 0 11 0 66 34 44163 28039 0 692 8 3.55 3.12 2.26 7 0
20171219 06:42:27 1 0 24 0 0 10 0 65 35 36922 31077 0 692 6 3.55 3.12 2.26 5 0
20171219 06:42:28 0 0 7 0 0 3 0 90 10 11184 9904 0 692 1 3.55 3.12 2.26 0 0
20171219 06:42:29 0 0 0 0 0 0 0 100 0 1179 163 0 692 1 3.27 3.07 2.25 0 0
20171219 06:42:30 0 0 0 0 0 0 0 100 0 1140 167 0 692 2 3.27 3.07 2.25 1 0
20171219 06:42:31 0 0 0 0 0 0 0 100 0 1053 224 0 692 1 3.27 3.07 2.25 0 0
20171219 06:42:32 0 0 1 0 0 0 0 98 2 12417 384 0 692 2 3.27 3.07 2.25 1 0
20171219 06:42:33 0 0 6 0 0 4 0 91 9 83936 49688 0 692 5 3.27 3.07 2.25 3 0
20171219 06:42:34 1 0 10 0 0 5 0 84 16 81685 56698 0 692 5 3.17 3.05 2.25 2 0
20171219 06:42:35 1 0 17 0 0 8 0 74 26 61910 276577 0 692 4 3.17 3.05 2.25 5 0
20171219 06:42:36 1 0 19 0 0 9 0 71 29 65284 61015 0 692 6 3.17 3.05 2.25 6 0
20171219 06:42:37 1 0 23 0 0 10 0 66 34 66220 53672 0 692 6 3.17 3.05 2.25 6 0
20171219 06:42:38 1 0 18 0 0 9 0 73 27 50073 170037 0 692 6 3.17 3.05 2.25 5 0
20171219 06:42:39 1 0 17 0 0 8 0 74 26 26477 298683 0 692 4 3.23 3.07 2.25 5 0
20171219 06:42:40 1 0 17 0 0 8 0 74 26 29887 90742 0 692 6 3.23 3.07 2.25 8 0
20171219 06:42:41 1 0 16 0 0 9 0 75 25 29496 37946 0 692 4 3.23 3.07 2.25 4 0
20171219 06:42:42 0 0 5 0 0 3 0 92 8 9319 10873 0 692 0 3.23 3.07 2.25 0 0
20171219 06:42:43 0 0 0 0 0 0 0 100 0 1264 270 0 692 2 3.23 3.07 2.25 0 0
20171219 06:42:44 1 0 7 0 0 4 0 89 11 70369 16070 0 692 6 3.14 3.05 2.25 7 0
