################################################################################
# Collectl:   V3.6.9-1  HiRes: 1  Options: -P -f results/2017-12-20-16-44/32cores_pin_u80_c2048_8.dat -sc -c80 -oaz 
# Host:       server-0  DaemonOpts: 
# Booted:     1514085371.15 [20171223-20:16:11]
# Distro:     debian jessie/sid, Ubuntu 14.04.1 LTS  Platform: 
# Date:       20171223-214839  Secs: 1514090919 TZ: -0700
# SubSys:     c Options: az Interval: 1 NumCPUs: 64  CPUsDis: 1 NumBud: 0 Flags: iD
# Filters:    NfsFilt:  EnvFilt:  TcpFilt: ituc
# HZ:         100  Arch: x86_64-linux-gnu-thread-multi PageSize: 4096
# Cpu:        GenuineIntel Speed(MHz): 2199.894 Cores: 8  Siblings: 8 Nodes: 4
# Kernel:     3.13.0-100-generic  Memory: 131822812 kB  Swap: 3145724 kB
# NumDisks:   7 DiskNames: sdc sdd sdb sde sdf sdg sda
# NumNets:    9 NetNames: eth0:1000 eth1:?? eth2:?? eth3:?? eth4:10000 eth5:10000 eth6:10000 eth7:?? lo:??
# SCSI:       DA:0:00:00:00 DA:0:00:01:00 DA:0:00:02:00 DA:0:00:03:00 DA:0:00:04:00 DA:0:00:05:00 DA:0:00:06:00 ??:0:00:32:00
################################################################################
#Date Time [CPU]User% [CPU]Nice% [CPU]Sys% [CPU]Wait% [CPU]Irq% [CPU]Soft% [CPU]Steal% [CPU]Idle% [CPU]Totl% [CPU]Intrpt/sec [CPU]Ctx/sec [CPU]Proc/sec [CPU]ProcQue [CPU]ProcRun [CPU]L-Avg1 [CPU]L-Avg5 [CPU]L-Avg15 [CPU]RunTot [CPU]BlkTot
20171223 21:48:41 3 0 49 0 0 37 0 10 90 3532067 1074491 0 688 31 23.75 20.06 20.25 29 0
20171223 21:48:42 3 0 50 0 0 37 0 10 90 3542183 1069534 0 688 29 23.85 20.14 20.27 27 0
20171223 21:48:43 3 0 50 0 0 37 0 10 90 3542268 1042505 0 688 33 23.85 20.14 20.27 27 0
20171223 21:48:44 3 0 50 0 0 37 0 10 90 3542694 1056618 0 688 31 23.85 20.14 20.27 30 0
20171223 21:48:45 3 0 49 0 0 38 0 10 90 3539692 1083556 0 688 28 23.85 20.14 20.27 30 0
20171223 21:48:46 3 0 49 0 0 37 0 10 90 3536660 1073995 0 688 31 23.85 20.14 20.27 28 0
20171223 21:48:47 3 0 49 0 0 38 0 10 90 3539621 1063182 0 688 27 24.42 20.32 20.33 26 0
20171223 21:48:48 3 0 50 0 0 37 0 10 90 3537962 1069644 0 688 28 24.42 20.32 20.33 23 0
20171223 21:48:49 3 0 49 0 0 38 0 10 90 3539724 1064285 0 688 31 24.42 20.32 20.33 26 0
20171223 21:48:50 3 0 50 0 0 37 0 10 90 3536209 1053865 0 688 30 24.42 20.32 20.33 31 0
20171223 21:48:51 3 0 49 0 0 38 0 10 90 3522003 1082171 0 688 32 24.42 20.32 20.33 31 0
20171223 21:48:52 3 0 50 0 0 37 0 10 90 3532177 1073476 0 688 31 24.95 20.50 20.39 29 0
20171223 21:48:53 3 0 50 0 0 37 0 10 90 3537315 1058149 0 688 29 24.95 20.50 20.39 30 0
20171223 21:48:54 3 0 49 0 0 38 0 10 90 3534747 1062011 0 688 31 24.95 20.50 20.39 29 0
20171223 21:48:55 3 0 49 0 0 38 0 10 90 3540319 1043799 0 688 28 24.95 20.50 20.39 29 0
20171223 21:48:56 3 0 49 0 0 38 0 10 90 3534531 1060582 0 688 29 24.95 20.50 20.39 29 0
20171223 21:48:57 3 0 50 0 0 37 0 10 90 3542068 1039351 0 688 30 24.95 20.58 20.41 27 0
20171223 21:48:58 3 0 49 0 0 38 0 10 90 3546832 1036353 0 688 26 24.95 20.58 20.41 30 0
20171223 21:48:59 3 0 49 0 0 39 0 10 90 3541457 1019070 0 688 30 24.95 20.58 20.41 27 0
20171223 21:49:00 3 0 50 0 0 37 0 10 90 3531766 1064092 0 688 29 24.95 20.58 20.41 28 0
20171223 21:49:01 3 0 49 0 0 38 0 10 90 3504244 1028140 0 688 31 24.95 20.58 20.41 29 0
20171223 21:49:02 3 0 49 0 0 39 0 10 90 3539574 1018032 0 688 27 25.36 20.73 20.46 25 0
20171223 21:49:03 3 0 50 0 0 37 0 10 90 3543615 1039371 0 688 30 25.36 20.73 20.46 30 0
20171223 21:49:04 3 0 50 0 0 37 0 10 90 3530588 1053382 0 688 32 25.36 20.73 20.46 31 0
20171223 21:49:05 3 0 50 0 0 38 0 9 91 3546410 1013286 0 688 28 25.36 20.73 20.46 22 0
20171223 21:49:06 3 0 49 0 0 39 0 10 90 3545923 1040026 0 688 27 25.36 20.73 20.46 29 0
20171223 21:49:07 3 0 50 0 0 37 0 10 90 3541715 1026708 0 688 25 25.33 20.80 20.49 29 0
20171223 21:49:08 3 0 49 0 0 38 0 10 90 3531459 1068503 0 688 31 25.33 20.80 20.49 29 0
20171223 21:49:09 3 0 50 0 0 37 0 10 90 3531354 1052116 0 688 26 25.33 20.80 20.49 32 0
20171223 21:49:10 3 0 49 0 0 38 0 10 90 3538129 1047486 0 688 35 25.33 20.80 20.49 31 0
20171223 21:49:11 3 0 51 0 0 37 0 10 90 3527151 1058057 0 688 29 25.33 20.80 20.49 31 0
20171223 21:49:12 3 0 49 0 0 38 0 10 90 3541308 1034853 0 688 33 25.62 20.94 20.53 29 0
20171223 21:49:13 3 0 50 0 0 38 0 10 90 3542204 1047739 0 688 29 25.62 20.94 20.53 30 0
20171223 21:49:14 3 0 50 0 0 38 0 10 90 3548968 1039020 0 688 29 25.62 20.94 20.53 30 0
20171223 21:49:15 3 0 51 0 0 37 0 10 90 3551222 1043612 0 688 29 25.62 20.94 20.53 30 0
