################################################################################
# Collectl:   V3.6.9-1  HiRes: 1  Options: -P -f results/2017-12-20-16-44/64cores_nopin_u80_c2048_0.dat -sc -c80 -oaz 
# Host:       server-0  DaemonOpts: 
# Booted:     1513813160.75 [20171220-16:39:20]
# Distro:     debian jessie/sid, Ubuntu 14.04.1 LTS  Platform: 
# Date:       20171220-164701  Secs: 1513813621 TZ: -0700
# SubSys:     c Options: az Interval: 1 NumCPUs: 64 [HYPER] NumBud: 0 Flags: i
# Filters:    NfsFilt:  EnvFilt:  TcpFilt: ituc
# HZ:         100  Arch: x86_64-linux-gnu-thread-multi PageSize: 4096
# Cpu:        GenuineIntel Speed(MHz): 2200.097 Cores: 8  Siblings: 16 Nodes: 4
# Kernel:     3.13.0-100-generic  Memory: 131822812 kB  Swap: 3145724 kB
# NumDisks:   7 DiskNames: sde sdc sdb sdf sdd sdg sda
# NumNets:    9 NetNames: eth0:1000 eth1:?? eth2:?? eth3:?? eth4:10000 eth5:10000 eth6:10000 eth7:?? lo:??
# SCSI:       DA:0:00:00:00 DA:0:00:01:00 DA:0:00:02:00 DA:0:00:03:00 DA:0:00:04:00 DA:0:00:05:00 DA:0:00:06:00 ??:0:00:32:00
################################################################################
#Date Time [CPU]User% [CPU]Nice% [CPU]Sys% [CPU]Wait% [CPU]Irq% [CPU]Soft% [CPU]Steal% [CPU]Idle% [CPU]Totl% [CPU]Intrpt/sec [CPU]Ctx/sec [CPU]Proc/sec [CPU]ProcQue [CPU]ProcRun [CPU]L-Avg1 [CPU]L-Avg5 [CPU]L-Avg15 [CPU]RunTot [CPU]BlkTot
20171220 16:47:03 2 0 47 0 0 37 0 15 85 3449046 388512 0 684 56 11.20 2.56 0.87 59 0
20171220 16:47:04 2 0 49 0 0 41 0 8 92 3670395 240169 0 684 64 11.20 2.56 0.87 64 0
20171220 16:47:05 2 0 50 0 0 47 0 2 98 3862876 36880 0 684 64 11.20 2.56 0.87 64 0
20171220 16:47:06 2 0 51 0 0 47 0 0 100 3984214 16698 0 684 70 11.20 2.56 0.87 64 0
20171220 16:47:07 2 0 51 0 0 47 0 0 100 4009404 16026 0 684 64 15.43 3.58 1.21 64 0
20171220 16:47:08 2 0 51 0 0 48 0 0 100 4020692 16254 0 684 64 15.43 3.58 1.21 64 0
20171220 16:47:09 2 0 51 0 0 47 0 0 100 4028015 15935 0 684 78 15.43 3.58 1.21 64 0
20171220 16:47:10 2 0 51 0 0 48 0 0 100 4022074 16990 2 687 66 15.43 3.58 1.21 69 0
20171220 16:47:11 2 0 51 0 0 47 0 0 100 3974797 16613 28 687 64 15.43 3.58 1.21 64 0
20171220 16:47:12 2 0 51 0 0 47 0 0 100 4030409 16295 0 684 64 19.32 4.58 1.55 68 0
20171220 16:47:13 2 0 51 0 0 47 0 0 100 4040646 18401 0 684 64 19.32 4.58 1.55 64 0
20171220 16:47:14 2 0 50 0 0 48 0 0 100 4035558 16229 0 684 64 19.32 4.58 1.55 64 0
20171220 16:47:15 2 0 50 0 0 48 0 0 100 4038456 17303 0 684 64 19.32 4.58 1.55 64 0
20171220 16:47:16 2 0 51 0 0 48 0 0 100 4029278 16131 0 684 67 19.32 4.58 1.55 64 0
20171220 16:47:17 2 0 50 0 0 48 0 0 100 4028561 16321 0 684 64 22.90 5.57 1.88 64 0
20171220 16:47:18 1 0 51 0 0 48 0 0 100 4029743 16025 0 684 64 22.90 5.57 1.88 64 0
20171220 16:47:19 2 0 50 0 0 48 0 0 100 4031406 16205 0 684 64 22.90 5.57 1.88 64 0
20171220 16:47:20 2 0 50 0 0 48 0 0 100 4046159 16454 0 684 65 22.90 5.57 1.88 65 0
20171220 16:47:21 2 0 50 0 0 48 0 0 100 4036163 15689 0 684 64 22.90 5.57 1.88 64 0
20171220 16:47:22 2 0 51 0 0 47 0 0 100 4039716 16034 0 684 64 26.19 6.54 2.21 64 0
20171220 16:47:23 2 0 50 0 0 48 0 0 100 4039259 16053 0 684 64 26.19 6.54 2.21 64 0
20171220 16:47:24 2 0 51 0 0 47 0 0 100 4029289 15670 0 684 64 26.19 6.54 2.21 64 0
20171220 16:47:25 2 0 51 0 0 48 0 0 100 4023712 15875 0 684 64 26.19 6.54 2.21 64 0
20171220 16:47:26 2 0 51 0 0 47 0 0 100 4025637 15704 0 684 65 26.19 6.54 2.21 64 0
20171220 16:47:27 2 0 51 0 0 47 0 0 100 4022573 15844 0 684 63 29.22 7.50 2.55 64 0
20171220 16:47:28 2 0 44 0 0 31 0 22 78 2964504 772391 0 684 68 29.22 7.50 2.55 41 0
20171220 16:47:29 2 0 39 0 0 24 0 35 65 2592227 890611 0 684 55 29.22 7.50 2.55 59 0
20171220 16:47:30 2 0 43 0 0 29 0 26 74 2750994 768690 0 684 52 29.22 7.50 2.55 33 0
20171220 16:47:31 2 0 42 0 0 26 0 30 70 2660309 814152 0 684 47 29.22 7.50 2.55 58 0
20171220 16:47:32 2 0 40 0 0 27 0 31 69 2620642 809536 0 684 8 27.28 7.45 2.56 47 0
20171220 16:47:33 2 0 39 0 0 26 0 33 67 2441121 761687 0 684 50 27.28 7.45 2.56 7 0
20171220 16:47:34 2 0 42 0 0 28 0 27 73 2510121 692761 0 684 49 27.28 7.45 2.56 48 0
20171220 16:47:35 2 0 41 0 0 29 0 28 72 2470801 680839 0 684 54 27.28 7.45 2.56 55 0
20171220 16:47:36 2 0 41 0 0 28 0 29 71 2465437 678071 0 684 53 27.28 7.45 2.56 56 0
20171220 16:47:37 2 0 43 0 0 28 0 27 73 2499611 670723 0 684 51 27.28 7.45 2.56 38 0
20171220 16:47:38 2 0 42 0 0 29 0 27 73 2526479 657224 0 684 59 29.58 8.26 2.85 48 0
20171220 16:47:39 2 0 40 0 0 28 0 30 70 2451121 665828 0 684 47 29.58 8.26 2.85 7 0
20171220 16:47:40 2 0 41 0 0 29 0 28 72 2439278 626137 0 684 54 29.58 8.26 2.85 49 0
20171220 16:47:41 2 0 42 0 0 29 0 27 73 2461676 580952 0 684 52 29.58 8.26 2.85 61 0
20171220 16:47:42 2 0 42 0 0 29 0 27 73 2443052 599244 0 684 55 29.58 8.26 2.85 61 0
20171220 16:47:43 2 0 42 0 0 29 0 27 73 2454335 609843 0 684 40 31.85 9.09 3.14 48 0
