################################################################################
# Collectl:   V3.6.9-1  HiRes: 1  Options: -P -f results/2018-01-18-10-48/16cores_nopin_u40_c2048_15.dat -sc -c40 -oaz 
# Host:       server-0  DaemonOpts: 
# Booted:     1516306209.89 [20180118-13:10:09]
# Distro:     debian jessie/sid, Ubuntu 14.04.1 LTS  Platform: 
# Date:       20180118-152832  Secs: 1516314512 TZ: -0700
# SubSys:     c Options: az Interval: 1 NumCPUs: 64  CPUsDis: 1 NumBud: 0 Flags: iD
# Filters:    NfsFilt:  EnvFilt:  TcpFilt: ituc
# HZ:         100  Arch: x86_64-linux-gnu-thread-multi PageSize: 4096
# Cpu:        GenuineIntel Speed(MHz): 2200.063 Cores: 4  Siblings: 4 Nodes: 4
# Kernel:     3.13.0-100-generic  Memory: 131822812 kB  Swap: 3145724 kB
# NumDisks:   7 DiskNames: sdb sdc sdd sdf sde sdg sda
# NumNets:    9 NetNames: eth0:1000 eth1:?? eth2:?? eth3:?? eth4:10000 eth5:10000 eth6:10000 eth7:?? lo:??
# SCSI:       DA:0:00:00:00 DA:0:00:01:00 DA:0:00:02:00 DA:0:00:03:00 DA:0:00:04:00 DA:0:00:05:00 DA:0:00:06:00 ??:0:00:32:00
################################################################################
#Date Time [CPU]User% [CPU]Nice% [CPU]Sys% [CPU]Wait% [CPU]Irq% [CPU]Soft% [CPU]Steal% [CPU]Idle% [CPU]Totl% [CPU]Intrpt/sec [CPU]Ctx/sec [CPU]Proc/sec [CPU]ProcQue [CPU]ProcRun [CPU]L-Avg1 [CPU]L-Avg5 [CPU]L-Avg15 [CPU]RunTot [CPU]BlkTot
20180118 15:28:34 3 0 42 0 0 20 0 36 64 1300725 668930 0 688 15 10.43 10.63 7.26 11 0
20180118 15:28:35 2 0 43 0 0 20 0 35 65 1290154 674516 0 688 7 10.43 10.63 7.26 9 0
20180118 15:28:36 3 0 42 0 0 20 0 34 66 1313138 678692 0 688 13 10.43 10.63 7.26 11 0
20180118 15:28:37 3 0 42 0 0 19 0 37 63 1311913 713137 0 688 6 10.43 10.63 7.26 8 0
20180118 15:28:38 2 0 41 0 0 18 0 38 62 1289427 711503 0 688 14 10.32 10.61 7.27 8 0
20180118 15:28:39 3 0 43 0 0 19 0 35 65 1312247 693692 0 688 10 10.32 10.61 7.27 10 0
20180118 15:28:40 3 0 41 0 0 21 0 35 65 1329192 711560 0 688 12 10.32 10.61 7.27 9 0
20180118 15:28:41 3 0 41 0 0 17 0 39 61 1300279 735193 0 688 6 10.32 10.61 7.27 5 0
20180118 15:28:42 3 0 40 0 0 16 0 41 59 1291842 750042 0 688 9 10.32 10.61 7.27 6 0
20180118 15:28:43 3 0 41 0 0 17 0 39 61 1292407 731848 0 688 7 10.53 10.65 7.30 11 0
20180118 15:28:44 3 0 41 0 0 17 0 39 61 1280482 726811 0 688 11 10.53 10.65 7.30 9 0
20180118 15:28:45 3 0 40 0 0 17 0 40 60 1276125 735354 0 688 13 10.53 10.65 7.30 10 0
20180118 15:28:46 3 0 41 0 0 19 0 37 63 1318034 721590 0 688 10 10.53 10.65 7.30 12 0
20180118 15:28:47 2 0 45 0 0 18 0 35 65 1389524 779450 0 688 10 10.53 10.65 7.30 14 0
20180118 15:28:48 3 0 50 0 0 25 0 22 78 1429182 675795 0 688 16 10.09 10.55 7.29 15 0
20180118 15:28:49 3 0 49 0 0 27 0 20 80 1426487 610348 0 688 13 10.09 10.55 7.29 15 0
20180118 15:28:50 3 0 51 0 0 28 0 18 82 1422261 559301 0 688 18 10.09 10.55 7.29 15 0
20180118 15:28:51 2 0 52 0 0 29 0 17 83 1400065 517975 0 688 14 10.09 10.55 7.29 13 0
20180118 15:28:52 3 0 52 0 0 30 0 15 85 1402485 483753 0 688 18 10.09 10.55 7.29 16 0
20180118 15:28:53 3 0 52 0 0 29 0 17 83 1388780 515521 0 688 14 9.92 10.51 7.30 13 0
20180118 15:28:54 2 0 51 0 0 30 0 17 83 1388410 519899 0 688 16 9.92 10.51 7.30 12 0
20180118 15:28:55 3 0 51 0 0 29 0 17 83 1392985 518455 0 688 14 9.92 10.51 7.30 14 0
20180118 15:28:56 3 0 52 0 0 30 0 15 85 1412442 490046 0 688 16 9.92 10.51 7.30 15 0
20180118 15:28:57 3 0 51 0 0 32 0 14 86 1404920 440245 0 688 14 9.92 10.51 7.30 16 0
20180118 15:28:58 3 0 49 0 0 32 0 15 85 1392657 460654 0 688 7 10.25 10.57 7.33 16 0
20180118 15:28:59 3 0 50 0 0 31 0 16 84 1387065 462767 0 688 16 10.25 10.57 7.33 12 0
20180118 15:29:00 3 0 51 0 0 30 0 17 83 1403535 476405 0 688 19 10.25 10.57 7.33 18 0
20180118 15:29:01 5 0 49 0 0 30 0 16 84 1387988 457354 0 688 16 10.25 10.57 7.33 13 0
20180118 15:29:02 3 0 51 0 0 28 0 18 82 1423876 522965 0 688 17 10.25 10.57 7.33 16 0
20180118 15:29:03 3 0 49 0 0 29 0 19 81 1408790 521092 0 688 8 10.07 10.53 7.34 7 0
20180118 15:29:04 3 0 48 0 0 30 0 19 81 1396761 517890 0 688 16 10.07 10.53 7.34 15 0
20180118 15:29:05 3 0 49 0 0 28 0 20 80 1401622 517825 0 688 13 10.07 10.53 7.34 14 0
20180118 15:29:06 2 0 54 0 0 37 0 7 93 1578220 229617 1 688 16 10.07 10.53 7.34 15 0
20180118 15:29:07 3 0 54 0 0 39 0 4 96 1563222 127187 0 688 16 10.07 10.53 7.34 16 0
20180118 15:29:08 3 0 56 0 0 40 0 1 99 1692157 25935 0 688 17 10.54 10.62 7.38 16 0
20180118 15:29:09 2 0 57 0 0 41 0 0 100 1778926 3413 0 688 16 10.54 10.62 7.38 16 0
20180118 15:29:10 2 0 59 0 0 39 0 0 100 1780433 3302 0 688 17 10.54 10.62 7.38 17 0
