################################################################################
# Collectl:   V3.6.9-1  HiRes: 1  Options: -P -f results/2018-01-18-10-48/32cores_nopin_32cpp_u40_c1024_0.dat -sc -c40 -oaz 
# Host:       server-0  DaemonOpts: 
# Booted:     1516398371 [20180119-14:46:11]
# Distro:     debian jessie/sid, Ubuntu 14.04.1 LTS  Platform: 
# Date:       20180119-150307  Secs: 1516399387 TZ: -0700
# SubSys:     c Options: az Interval: 1 NumCPUs: 64  CPUsDis: 1 NumBud: 0 Flags: iD
# Filters:    NfsFilt:  EnvFilt:  TcpFilt: ituc
# HZ:         100  Arch: x86_64-linux-gnu-thread-multi PageSize: 4096
# Cpu:        GenuineIntel Speed(MHz): 2199.967 Cores: 8  Siblings: 8 Nodes: 4
# Kernel:     3.13.0-100-generic  Memory: 131822812 kB  Swap: 3145724 kB
# NumDisks:   7 DiskNames: sdd sdb sdc sdf sde sdg sda
# NumNets:    9 NetNames: eth0:1000 eth1:?? eth2:?? eth3:?? eth4:10000 eth5:10000 eth6:10000 eth7:?? lo:??
# SCSI:       DA:0:00:00:00 DA:0:00:01:00 DA:0:00:02:00 DA:0:00:03:00 DA:0:00:04:00 DA:0:00:05:00 DA:0:00:06:00 ??:0:00:32:00
################################################################################
#Date Time [CPU]User% [CPU]Nice% [CPU]Sys% [CPU]Wait% [CPU]Irq% [CPU]Soft% [CPU]Steal% [CPU]Idle% [CPU]Totl% [CPU]Intrpt/sec [CPU]Ctx/sec [CPU]Proc/sec [CPU]ProcQue [CPU]ProcRun [CPU]L-Avg1 [CPU]L-Avg5 [CPU]L-Avg15 [CPU]RunTot [CPU]BlkTot
20180119 15:03:09 3 0 50 0 0 30 0 16 84 3264457 1196223 3 690 25 3.70 0.82 0.31 25 0
20180119 15:03:10 3 0 51 0 0 30 0 16 84 3256614 1212035 0 690 31 3.70 0.82 0.31 29 0
20180119 15:03:11 3 0 50 0 0 31 0 16 84 3256807 1191631 3 690 28 3.70 0.82 0.31 24 0
20180119 15:03:12 3 0 51 0 0 31 0 15 85 3274836 1171751 0 690 21 3.70 0.82 0.31 25 0
20180119 15:03:13 3 0 50 0 0 31 0 15 85 3274095 1169255 3 690 22 5.17 1.17 0.42 28 0
20180119 15:03:14 3 0 51 0 0 31 0 16 84 3263013 1186813 0 690 32 5.17 1.17 0.42 29 0
20180119 15:03:15 3 0 50 0 0 31 0 15 85 3277283 1175006 3 690 26 5.17 1.17 0.42 27 0
20180119 15:03:16 3 0 50 0 0 31 0 16 84 3267298 1175772 0 690 27 5.17 1.17 0.42 27 0
20180119 15:03:17 3 0 50 0 0 30 0 17 83 3246366 1233632 3 690 20 5.17 1.17 0.42 22 0
20180119 15:03:18 3 0 49 0 0 28 0 19 81 3199373 1295529 0 690 34 6.43 1.50 0.53 27 0
20180119 15:03:19 3 0 48 0 0 27 0 22 78 3150412 1382034 3 690 27 6.43 1.50 0.53 31 0
20180119 15:03:20 3 0 50 0 0 32 0 15 85 3258940 1147318 0 690 34 6.43 1.50 0.53 30 0
20180119 15:03:21 3 0 51 0 0 34 0 12 88 3309772 1005601 3 690 26 6.43 1.50 0.53 28 0
20180119 15:03:22 3 0 51 0 0 32 0 14 86 3275908 1078145 0 690 24 6.43 1.50 0.53 21 0
20180119 15:03:23 3 0 52 0 0 32 0 13 87 3291919 1060007 3 690 27 7.68 1.84 0.65 27 0
20180119 15:03:24 3 0 51 0 0 34 0 11 89 3321084 980090 0 690 26 7.68 1.84 0.65 30 0
20180119 15:03:25 2 0 50 0 0 33 0 14 86 3282615 1125813 3 690 25 7.68 1.84 0.65 27 0
20180119 15:03:26 4 0 50 0 0 32 0 14 86 3277194 1086199 0 690 30 7.68 1.84 0.65 28 0
20180119 15:03:27 3 0 51 0 0 34 0 12 88 3319370 998675 3 690 29 7.68 1.84 0.65 30 0
20180119 15:03:28 3 0 51 0 0 33 0 13 87 3292896 1056367 0 690 31 9.07 2.22 0.78 30 0
20180119 15:03:29 3 0 50 0 0 33 0 13 87 3278280 1077714 3 690 26 9.07 2.22 0.78 31 0
20180119 15:03:30 3 0 51 0 0 33 0 14 86 3265990 1099146 0 690 28 9.07 2.22 0.78 26 0
20180119 15:03:31 3 0 50 0 0 32 0 14 86 3256021 1111433 3 690 26 9.07 2.22 0.78 24 0
20180119 15:03:32 3 0 50 0 0 34 0 14 86 3270640 1078212 0 690 34 9.07 2.22 0.78 26 0
20180119 15:03:33 3 0 52 0 0 33 0 12 88 3342338 1016747 3 690 28 10.42 2.62 0.91 26 0
20180119 15:03:34 3 0 50 0 0 31 0 15 85 3319718 1175786 2 692 29 10.42 2.62 0.91 25 0
20180119 15:03:35 3 0 51 0 0 30 0 16 84 3241822 1177455 3 692 25 10.42 2.62 0.91 28 0
20180119 15:03:36 3 0 50 0 0 31 0 16 84 3258454 1182699 0 692 30 10.42 2.62 0.91 23 0
20180119 15:03:37 3 0 50 0 0 30 0 17 83 3237972 1203063 3 692 25 10.42 2.62 0.91 24 0
20180119 15:03:38 3 0 40 0 0 17 0 40 60 2148657 1455033 0 692 21 10.63 2.79 0.98 19 0
20180119 15:03:39 3 0 40 0 0 18 0 39 61 2134161 1283740 3 690 16 10.63 2.79 0.98 22 0
20180119 15:03:40 3 0 40 0 0 18 0 40 60 2113706 1277177 0 690 17 10.63 2.79 0.98 20 0
20180119 15:03:41 3 0 44 0 0 23 0 30 70 2207519 1181292 3 690 16 10.63 2.79 0.98 25 0
20180119 15:03:42 3 0 44 0 0 23 0 29 71 2270354 1278115 0 690 23 10.63 2.79 0.98 21 0
20180119 15:03:43 3 0 43 0 0 19 0 34 66 2284911 1458512 3 690 22 11.30 3.06 1.08 17 0
20180119 15:03:44 3 0 42 0 0 19 0 36 64 2280727 1503349 1 691 25 11.30 3.06 1.08 22 0
20180119 15:03:45 3 0 41 0 0 20 0 36 64 2281359 1503426 3 691 23 11.30 3.06 1.08 16 0
20180119 15:03:46 3 0 42 0 0 19 0 36 64 2282070 1501128 0 691 15 11.30 3.06 1.08 21 0
20180119 15:03:47 3 0 41 0 0 19 0 37 63 2272135 1497451 3 691 16 11.30 3.06 1.08 20 0
20180119 15:03:48 3 0 43 0 0 19 0 35 65 2323653 1492935 0 691 21 11.36 3.21 1.14 21 0
