################################################################################
# Collectl:   V3.6.9-1  HiRes: 1  Options: -P -f results/2018-01-18-10-48/32cores_nopin_32cpp_u40_c1024_16.dat -sc -c40 -oaz 
# Host:       server-0  DaemonOpts: 
# Booted:     1516398370.76 [20180119-14:46:10]
# Distro:     debian jessie/sid, Ubuntu 14.04.1 LTS  Platform: 
# Date:       20180119-151858  Secs: 1516400338 TZ: -0700
# SubSys:     c Options: az Interval: 1 NumCPUs: 64  CPUsDis: 1 NumBud: 0 Flags: iD
# Filters:    NfsFilt:  EnvFilt:  TcpFilt: ituc
# HZ:         100  Arch: x86_64-linux-gnu-thread-multi PageSize: 4096
# Cpu:        GenuineIntel Speed(MHz): 2199.967 Cores: 8  Siblings: 8 Nodes: 4
# Kernel:     3.13.0-100-generic  Memory: 131822812 kB  Swap: 3145724 kB
# NumDisks:   7 DiskNames: sdd sdb sdc sdf sde sdg sda
# NumNets:    9 NetNames: eth0:1000 eth1:?? eth2:?? eth3:?? eth4:10000 eth5:10000 eth6:10000 eth7:?? lo:??
# SCSI:       DA:0:00:00:00 DA:0:00:01:00 DA:0:00:02:00 DA:0:00:03:00 DA:0:00:04:00 DA:0:00:05:00 DA:0:00:06:00 ??:0:00:32:00
################################################################################
#Date Time [CPU]User% [CPU]Nice% [CPU]Sys% [CPU]Wait% [CPU]Irq% [CPU]Soft% [CPU]Steal% [CPU]Idle% [CPU]Totl% [CPU]Intrpt/sec [CPU]Ctx/sec [CPU]Proc/sec [CPU]ProcQue [CPU]ProcRun [CPU]L-Avg1 [CPU]L-Avg5 [CPU]L-Avg15 [CPU]RunTot [CPU]BlkTot
20180119 15:19:00 2 0 35 0 0 14 0 48 52 1477536 834680 0 692 14 13.69 14.22 9.67 13 0
20180119 15:19:01 3 0 35 0 0 14 0 47 53 1477765 828225 3 692 16 13.69 14.22 9.67 13 0
20180119 15:19:02 2 0 36 0 0 15 0 47 53 1512827 833973 0 692 15 13.69 14.22 9.67 11 0
20180119 15:19:03 2 0 37 0 0 15 0 46 54 1513213 833215 3 692 14 13.69 14.22 9.67 12 0
20180119 15:19:04 3 0 36 0 0 15 0 46 54 1512446 828462 0 692 18 13.48 14.17 9.68 15 0
20180119 15:19:05 3 0 37 0 0 14 0 46 54 1518446 834415 3 692 12 13.48 14.17 9.68 17 0
20180119 15:19:06 3 0 35 0 0 15 0 46 54 1518405 833114 0 692 18 13.48 14.17 9.68 10 0
20180119 15:19:07 3 0 36 0 0 14 0 47 53 1504976 831705 3 692 19 13.48 14.17 9.68 14 0
20180119 15:19:08 3 0 36 0 0 14 0 47 53 1502473 836567 0 692 18 13.48 14.17 9.68 16 0
20180119 15:19:09 3 0 36 0 0 14 0 47 53 1505547 838457 3 692 11 13.04 14.06 9.67 16 0
20180119 15:19:10 3 0 36 0 0 14 0 47 53 1508279 837666 0 692 19 13.04 14.06 9.67 20 0
20180119 15:19:11 3 0 35 0 0 15 0 47 53 1508757 834722 5 694 14 13.04 14.06 9.67 18 0
20180119 15:19:12 3 0 37 0 0 15 0 45 55 1549692 836544 0 694 16 13.04 14.06 9.67 20 0
20180119 15:19:13 2 0 37 0 0 16 0 45 55 1550055 841707 3 694 18 13.04 14.06 9.67 18 0
20180119 15:19:14 2 0 36 0 0 15 0 46 54 1535117 839313 0 694 16 13.12 14.06 9.70 23 0
20180119 15:19:15 3 0 36 0 0 15 0 46 54 1526740 837387 3 694 19 13.12 14.06 9.70 20 0
20180119 15:19:16 3 0 36 0 0 15 0 46 54 1543578 847701 0 694 22 13.12 14.06 9.70 17 0
20180119 15:19:17 3 0 36 0 0 15 0 46 54 1596169 841613 3 694 16 13.12 14.06 9.70 22 0
20180119 15:19:18 3 0 37 0 0 16 0 44 56 1670970 840207 0 694 25 13.12 14.06 9.70 18 0
20180119 15:19:19 3 0 37 0 0 15 0 44 56 1645648 838275 3 694 23 13.51 14.13 9.74 21 0
20180119 15:19:20 3 0 37 0 0 15 0 45 55 1565397 840822 0 694 16 13.51 14.13 9.74 20 0
20180119 15:19:21 3 0 37 0 0 15 0 45 55 1559511 838339 3 694 14 13.51 14.13 9.74 23 0
20180119 15:19:22 2 0 38 0 0 15 0 44 56 1590752 832720 0 694 22 13.51 14.13 9.74 23 0
20180119 15:19:23 3 0 38 0 0 15 0 43 57 1579795 836223 3 694 19 13.51 14.13 9.74 15 0
