################################################################################
# Collectl:   V3.6.9-1  HiRes: 1  Options: -P -f results/2018-01-18-10-48/32cores_nopin_u40_c2048_6.dat -sc -c40 -oaz 
# Host:       server-0  DaemonOpts: 
# Booted:     1516295674.8 [20180118-10:14:34]
# Distro:     debian jessie/sid, Ubuntu 14.04.1 LTS  Platform: 
# Date:       20180118-114145  Secs: 1516300905 TZ: -0700
# SubSys:     c Options: az Interval: 1 NumCPUs: 64  CPUsDis: 1 NumBud: 0 Flags: iD
# Filters:    NfsFilt:  EnvFilt:  TcpFilt: ituc
# HZ:         100  Arch: x86_64-linux-gnu-thread-multi PageSize: 4096
# Cpu:        GenuineIntel Speed(MHz): 2200.138 Cores: 8  Siblings: 8 Nodes: 4
# Kernel:     3.13.0-100-generic  Memory: 131822812 kB  Swap: 3145724 kB
# NumDisks:   7 DiskNames: sdc sdb sdd sde sdf sdg sda
# NumNets:    9 NetNames: eth0:1000 eth1:?? eth2:?? eth3:?? eth4:10000 eth5:10000 eth6:10000 eth7:?? lo:??
# SCSI:       DA:0:00:00:00 DA:0:00:01:00 DA:0:00:02:00 DA:0:00:03:00 DA:0:00:04:00 DA:0:00:05:00 DA:0:00:06:00 ??:0:00:32:00
################################################################################
#Date Time [CPU]User% [CPU]Nice% [CPU]Sys% [CPU]Wait% [CPU]Irq% [CPU]Soft% [CPU]Steal% [CPU]Idle% [CPU]Totl% [CPU]Intrpt/sec [CPU]Ctx/sec [CPU]Proc/sec [CPU]ProcQue [CPU]ProcRun [CPU]L-Avg1 [CPU]L-Avg5 [CPU]L-Avg15 [CPU]RunTot [CPU]BlkTot
20180118 11:41:47 3 0 45 0 0 23 0 29 71 2510303 1299440 0 691 25 17.99 12.73 8.32 21 0
20180118 11:41:48 3 0 46 0 0 22 0 29 71 2504133 1290629 0 691 33 17.99 12.73 8.32 17 0
20180118 11:41:49 3 0 45 0 0 23 0 29 71 2514315 1299115 0 691 26 17.99 12.73 8.32 18 0
20180118 11:41:50 3 0 44 0 0 23 0 30 70 2493717 1341169 0 691 28 17.83 12.79 8.36 29 0
20180118 11:41:51 3 0 45 0 0 22 0 29 71 2512125 1333790 0 691 30 17.83 12.79 8.36 24 0
20180118 11:41:52 3 0 45 0 0 23 0 30 70 2520382 1339417 0 691 23 17.83 12.79 8.36 21 0
20180118 11:41:53 3 0 45 0 0 22 0 30 70 2508540 1335168 0 691 28 17.83 12.79 8.36 16 0
20180118 11:41:54 3 0 44 0 0 23 0 30 70 2499367 1341359 0 691 28 17.83 12.79 8.36 28 0
20180118 11:41:55 3 0 44 0 0 23 0 30 70 2500309 1345758 0 691 26 17.44 12.79 8.39 22 0
20180118 11:41:56 3 0 45 0 0 22 0 30 70 2511776 1375309 0 691 28 17.44 12.79 8.39 25 0
20180118 11:41:57 3 0 45 0 0 23 0 29 71 2589064 1433203 0 691 26 17.44 12.79 8.39 23 0
20180118 11:41:58 3 0 45 0 0 23 0 29 71 2585983 1390529 0 691 23 17.44 12.79 8.39 22 0
20180118 11:41:59 3 0 46 0 0 22 0 29 71 2579840 1355472 0 691 26 17.44 12.79 8.39 27 0
20180118 11:42:00 3 0 46 0 0 23 0 28 72 2589843 1373583 0 691 27 17.65 12.91 8.45 28 0
20180118 11:42:01 4 0 44 0 0 24 0 28 72 2529566 1351206 0 691 27 17.65 12.91 8.45 24 0
20180118 11:42:02 3 0 45 0 0 23 0 29 71 2576323 1375721 0 691 26 17.65 12.91 8.45 23 0
20180118 11:42:03 3 0 46 0 0 22 0 29 71 2552682 1396384 0 691 20 17.65 12.91 8.45 23 0
20180118 11:42:04 3 0 46 0 0 22 0 29 71 2587685 1390427 0 691 25 17.65 12.91 8.45 22 0
20180118 11:42:05 3 0 45 0 0 23 0 29 71 2664152 1401517 0 691 26 17.76 13.01 8.51 19 0
20180118 11:42:06 3 0 47 0 0 27 0 22 78 2930372 1245748 0 691 25 17.76 13.01 8.51 26 0
20180118 11:42:07 3 0 48 0 0 27 0 22 78 2957556 1258903 0 691 30 17.76 13.01 8.51 28 0
20180118 11:42:08 3 0 49 0 0 29 0 19 81 2954120 1129419 0 691 30 17.76 13.01 8.51 18 0
20180118 11:42:09 3 0 51 0 0 31 0 16 84 3059643 999245 0 691 29 17.76 13.01 8.51 31 0
20180118 11:42:10 2 0 50 0 0 32 0 15 85 3092742 979855 0 691 33 18.58 13.26 8.61 30 0
20180118 11:42:11 3 0 50 0 0 30 0 17 83 2997199 974503 0 691 31 18.58 13.26 8.61 23 0
20180118 11:42:12 3 0 49 0 0 28 0 20 80 2850842 1076183 0 691 30 18.58 13.26 8.61 9 0
20180118 11:42:13 3 0 48 0 0 26 0 22 78 2790473 1159946 0 691 13 18.58 13.26 8.61 30 0
20180118 11:42:14 3 0 48 0 0 28 0 20 80 2871205 1139878 0 691 22 18.58 13.26 8.61 22 0
20180118 11:42:15 3 0 47 0 0 28 0 22 78 2835195 1167938 0 691 26 18.69 13.37 8.67 16 0
20180118 11:42:16 3 0 45 0 0 26 0 26 74 2665901 1261390 0 691 25 18.69 13.37 8.67 17 0
20180118 11:42:17 3 0 45 0 0 25 0 27 73 2642384 1288008 0 691 22 18.69 13.37 8.67 22 0
20180118 11:42:18 3 0 46 0 0 25 0 25 75 2650405 1219042 0 691 28 18.69 13.37 8.67 23 0
20180118 11:42:19 3 0 46 0 0 25 0 26 74 2641166 1253223 0 691 34 18.69 13.37 8.67 19 0
20180118 11:42:20 3 0 46 0 0 24 0 27 73 2638630 1264175 0 691 22 18.88 13.50 8.74 25 0
20180118 11:42:21 3 0 45 0 0 26 0 26 74 2652380 1266769 0 691 27 18.88 13.50 8.74 22 0
20180118 11:42:22 3 0 45 0 0 24 0 27 73 2628674 1288637 0 691 22 18.88 13.50 8.74 25 0
20180118 11:42:23 3 0 46 0 0 25 0 26 74 2663993 1261415 0 691 29 18.88 13.50 8.74 20 0
20180118 11:42:24 3 0 47 0 0 24 0 27 73 2633811 1307128 0 691 13 18.88 13.50 8.74 24 0
20180118 11:42:25 3 0 46 0 0 26 0 25 75 2669898 1232476 0 691 23 19.21 13.65 8.82 19 0
20180118 11:42:26 3 0 47 0 0 28 0 22 78 2809621 1132334 0 691 29 19.21 13.65 8.82 25 0
