################################################################################
# Collectl:   V3.6.9-1  HiRes: 1  Options: -P -f results/2018-01-18-10-48/64cores_nopin_u40_c2048_27.dat -sc -c40 -oaz 
# Host:       server-0  DaemonOpts: 
# Booted:     1516400984.97 [20180119-15:29:44]
# Distro:     debian jessie/sid, Ubuntu 14.04.1 LTS  Platform: 
# Date:       20180119-154056  Secs: 1516401656 TZ: -0700
# SubSys:     c Options: az Interval: 1 NumCPUs: 64 [HYPER] NumBud: 0 Flags: i
# Filters:    NfsFilt:  EnvFilt:  TcpFilt: ituc
# HZ:         100  Arch: x86_64-linux-gnu-thread-multi PageSize: 4096
# Cpu:        GenuineIntel Speed(MHz): 2199.969 Cores: 8  Siblings: 16 Nodes: 4
# Kernel:     3.13.0-100-generic  Memory: 131822812 kB  Swap: 3145724 kB
# NumDisks:   7 DiskNames: sdb sdc sdd sde sdf sdg sda
# NumNets:    9 NetNames: eth0:1000 eth1:?? eth2:?? eth3:?? eth4:10000 eth5:10000 eth6:10000 eth7:?? lo:??
# SCSI:       DA:0:00:00:00 DA:0:00:01:00 DA:0:00:02:00 DA:0:00:03:00 DA:0:00:04:00 DA:0:00:05:00 DA:0:00:06:00 ??:0:00:32:00
################################################################################
#Date Time [CPU]User% [CPU]Nice% [CPU]Sys% [CPU]Wait% [CPU]Irq% [CPU]Soft% [CPU]Steal% [CPU]Idle% [CPU]Totl% [CPU]Intrpt/sec [CPU]Ctx/sec [CPU]Proc/sec [CPU]ProcQue [CPU]ProcRun [CPU]L-Avg1 [CPU]L-Avg5 [CPU]L-Avg15 [CPU]RunTot [CPU]BlkTot
20180119 15:40:58 2 0 39 0 0 23 0 35 65 1885267 725733 0 694 41 25.93 16.25 8.25 44 0
20180119 15:40:59 2 0 38 0 0 24 0 35 65 1892646 760413 3 694 47 25.93 16.25 8.25 56 0
20180119 15:41:00 2 0 39 0 0 23 0 36 64 1889977 759525 0 694 35 25.93 16.25 8.25 46 0
20180119 15:41:01 3 0 39 0 0 24 0 34 66 1886296 740436 3 694 36 25.93 16.25 8.25 47 0
20180119 15:41:02 3 0 39 0 0 24 0 34 66 1893096 721932 0 694 53 26.82 16.59 8.41 16 0
20180119 15:41:03 2 0 38 0 0 25 0 35 65 1802086 538902 3 694 10 26.82 16.59 8.41 63 0
20180119 15:41:04 2 0 38 0 0 26 0 34 66 1826132 471131 0 694 34 26.82 16.59 8.41 12 0
20180119 15:41:05 2 0 38 0 0 25 0 35 65 1804138 507232 3 694 14 26.82 16.59 8.41 29 0
20180119 15:41:06 2 0 38 0 0 26 0 34 66 1830742 502485 0 694 14 26.82 16.59 8.41 57 0
20180119 15:41:07 2 0 38 0 0 26 0 33 67 1810082 455971 3 694 37 27.07 16.81 8.52 62 0
20180119 15:41:08 2 0 41 0 0 28 0 29 71 1923022 410446 0 694 18 27.07 16.81 8.52 49 0
20180119 15:41:09 2 0 37 0 0 24 0 37 63 1755152 491043 3 694 31 27.07 16.81 8.52 58 0
20180119 15:41:10 2 0 36 0 0 21 0 40 60 1728464 693968 0 692 42 27.07 16.81 8.52 36 0
20180119 15:41:11 2 0 38 0 0 24 0 36 64 1851871 702532 3 692 37 27.07 16.81 8.52 52 0
20180119 15:41:12 2 0 42 0 0 27 0 29 71 2009446 620549 0 692 50 27.07 16.98 8.62 32 0
20180119 15:41:13 2 0 42 0 0 26 0 30 70 2027278 615167 3 692 42 27.07 16.98 8.62 21 0
20180119 15:41:14 2 0 41 0 0 26 0 31 69 1998912 620952 0 692 28 27.07 16.98 8.62 43 0
20180119 15:41:15 2 0 41 0 0 27 0 29 71 2035513 642036 3 692 54 27.07 16.98 8.62 47 0
20180119 15:41:16 2 0 40 0 0 26 0 31 69 1994362 633042 0 692 49 27.07 16.98 8.62 32 0
20180119 15:41:17 2 0 41 0 0 27 0 30 70 2000415 646143 3 692 48 28.58 17.46 8.82 52 0
20180119 15:41:18 2 0 48 0 0 40 0 9 91 2453103 200427 0 692 62 28.58 17.46 8.82 65 0
20180119 15:41:19 2 0 48 0 0 38 0 12 88 2801763 260564 3 692 62 28.58 17.46 8.82 62 0
20180119 15:41:20 2 0 45 0 0 36 0 17 83 3025097 422466 0 692 63 28.58 17.46 8.82 57 0
20180119 15:41:21 2 0 46 0 0 35 0 18 82 3066759 483232 3 692 58 28.58 17.46 8.82 60 0
20180119 15:41:22 2 0 48 0 0 41 0 10 90 3316929 205797 0 692 59 31.26 18.20 9.11 64 0
20180119 15:41:23 2 0 45 0 0 35 0 18 82 3183188 516662 3 692 58 31.26 18.20 9.11 53 0
20180119 15:41:24 2 0 42 0 0 26 0 30 70 3020497 1009260 0 692 45 31.26 18.20 9.11 38 0
20180119 15:41:25 2 0 39 0 0 22 0 36 64 2743342 1089878 3 692 46 31.26 18.20 9.11 55 0
20180119 15:41:26 2 0 41 0 0 26 0 30 70 2781530 927141 0 692 33 31.26 18.20 9.11 33 0
20180119 15:41:27 2 0 41 0 0 25 0 32 68 2656083 939798 3 692 50 31.72 18.52 9.26 32 0
20180119 15:41:28 2 0 42 0 0 26 0 30 70 2699041 856270 0 692 29 31.72 18.52 9.26 46 0
20180119 15:41:29 2 0 42 0 0 28 0 28 72 2721731 745812 3 692 49 31.72 18.52 9.26 58 0
20180119 15:41:30 2 0 45 0 0 34 0 20 80 2962750 500764 0 692 64 31.72 18.52 9.26 63 0
20180119 15:41:31 2 0 46 0 0 37 0 15 85 3146497 328773 3 692 67 31.72 18.52 9.26 47 0
20180119 15:41:32 2 0 48 0 0 40 0 11 89 3289411 223922 0 692 65 34.22 19.25 9.55 63 0
20180119 15:41:33 2 0 51 0 0 43 0 4 96 3454993 84989 3 692 65 34.22 19.25 9.55 64 0
20180119 15:41:34 2 0 52 0 0 45 0 2 98 3530116 33939 0 692 64 34.22 19.25 9.55 65 0
20180119 15:41:35 2 0 51 0 0 45 0 1 99 3561741 32926 3 692 64 34.22 19.25 9.55 64 0
20180119 15:41:36 2 0 52 0 0 45 0 1 99 3565975 19117 0 692 66 34.22 19.25 9.55 65 0
20180119 15:41:37 2 0 52 0 0 46 0 0 100 3566116 24348 3 692 65 36.69 20.01 9.85 64 0
