################################################################################
# Collectl:   V3.6.9-1  HiRes: 1  Options: -P -f results/2017-12-07-11-36/64cores_nopin_u40_c2048_7.dat -sc -c40 -oaz 
# Host:       server-0  DaemonOpts: 
# Booted:     1516295674.24 [20180118-10:14:34]
# Distro:     debian jessie/sid, Ubuntu 14.04.1 LTS  Platform: 
# Date:       20180118-110001  Secs: 1516298401 TZ: -0700
# SubSys:     c Options: az Interval: 1 NumCPUs: 64 [HYPER] NumBud: 0 Flags: i
# Filters:    NfsFilt:  EnvFilt:  TcpFilt: ituc
# HZ:         100  Arch: x86_64-linux-gnu-thread-multi PageSize: 4096
# Cpu:        GenuineIntel Speed(MHz): 2200.138 Cores: 8  Siblings: 16 Nodes: 4
# Kernel:     3.13.0-100-generic  Memory: 131822812 kB  Swap: 3145724 kB
# NumDisks:   7 DiskNames: sdc sdb sdd sde sdf sdg sda
# NumNets:    9 NetNames: eth0:1000 eth1:?? eth2:?? eth3:?? eth4:10000 eth5:10000 eth6:10000 eth7:?? lo:??
# SCSI:       DA:0:00:00:00 DA:0:00:01:00 DA:0:00:02:00 DA:0:00:03:00 DA:0:00:04:00 DA:0:00:05:00 DA:0:00:06:00 ??:0:00:32:00
################################################################################
#Date Time [CPU]User% [CPU]Nice% [CPU]Sys% [CPU]Wait% [CPU]Irq% [CPU]Soft% [CPU]Steal% [CPU]Idle% [CPU]Totl% [CPU]Intrpt/sec [CPU]Ctx/sec [CPU]Proc/sec [CPU]ProcQue [CPU]ProcRun [CPU]L-Avg1 [CPU]L-Avg5 [CPU]L-Avg15 [CPU]RunTot [CPU]BlkTot
20180118 11:00:03 1 0 20 0 0 7 0 72 28 1277943 653236 0 690 14 14.95 21.41 12.44 14 0
20180118 11:00:04 1 0 17 0 0 5 0 77 23 1293653 776809 0 690 16 14.95 21.41 12.44 8 0
20180118 11:00:05 1 0 16 0 0 5 0 78 22 895825 636627 0 690 15 14.95 21.41 12.44 10 0
20180118 11:00:06 1 0 16 0 0 5 0 78 22 833000 565537 0 690 15 14.95 21.41 12.44 7 0
20180118 11:00:07 1 0 13 0 0 4 0 82 18 816812 619780 0 690 17 14.95 21.41 12.44 10 0
20180118 11:00:08 1 0 13 0 0 4 0 82 18 732161 592998 0 690 11 14.47 21.20 12.42 6 0
20180118 11:00:09 1 0 13 0 0 5 0 81 19 774267 585700 0 690 9 14.47 21.20 12.42 12 0
20180118 11:00:10 1 0 12 0 0 4 0 83 17 687954 599904 0 690 7 14.47 21.20 12.42 8 0
20180118 11:00:11 1 0 12 0 0 4 0 84 16 648363 573653 0 690 5 14.47 21.20 12.42 5 0
20180118 11:00:12 1 0 12 0 0 4 0 83 17 648380 563541 0 690 12 14.47 21.20 12.42 12 0
20180118 11:00:13 1 0 12 0 0 4 0 83 17 675942 580603 0 690 12 13.72 20.93 12.38 9 0
20180118 11:00:14 1 0 13 0 0 4 0 82 18 707335 572115 0 690 7 13.72 20.93 12.38 10 0
20180118 11:00:15 1 0 13 0 0 5 0 81 19 752180 640792 0 690 18 13.72 20.93 12.38 11 0
20180118 11:00:16 1 0 13 0 0 4 0 81 19 730159 614914 0 690 14 13.72 20.93 12.38 23 0
20180118 11:00:17 1 0 13 0 0 4 0 82 18 747043 622480 0 690 9 13.72 20.93 12.38 23 0
20180118 11:00:18 1 0 13 0 0 4 0 82 18 712847 616595 0 690 7 13.42 20.75 12.37 6 0
20180118 11:00:19 1 0 13 0 0 4 0 82 18 723185 618567 0 690 5 13.42 20.75 12.37 2 0
20180118 11:00:20 1 0 13 0 0 5 0 82 18 682849 585744 0 690 13 13.42 20.75 12.37 9 0
