################################################################################
# Collectl:   V3.6.9-1  HiRes: 1  Options: -P -f results/2018-01-18-10-48/8cores_nopin_ht_u40_c2048_3.dat -sc -c40 -oaz 
# Host:       server-0  DaemonOpts: 
# Booted:     1516316842.44 [20180118-16:07:22]
# Distro:     debian jessie/sid, Ubuntu 14.04.1 LTS  Platform: 
# Date:       20180118-161509  Secs: 1516317309 TZ: -0700
# SubSys:     c Options: az Interval: 1 NumCPUs: 64  CPUsDis: 1 NumBud: 0 Flags: iD
# Filters:    NfsFilt:  EnvFilt:  TcpFilt: ituc
# HZ:         100  Arch: x86_64-linux-gnu-thread-multi PageSize: 4096
# Cpu:        GenuineIntel Speed(MHz): 2199.982 Cores: 2  Siblings: 2 Nodes: 4
# Kernel:     3.13.0-100-generic  Memory: 131822812 kB  Swap: 3145724 kB
# NumDisks:   7 DiskNames: sdb sdc sdd sde sdf sdg sda
# NumNets:    9 NetNames: eth0:1000 eth1:?? eth2:?? eth3:?? eth4:10000 eth5:10000 eth6:10000 eth7:?? lo:??
# SCSI:       DA:0:00:00:00 DA:0:00:01:00 DA:0:00:02:00 DA:0:00:03:00 DA:0:00:04:00 DA:0:00:05:00 DA:0:00:06:00 ??:0:00:32:00
################################################################################
#Date Time [CPU]User% [CPU]Nice% [CPU]Sys% [CPU]Wait% [CPU]Irq% [CPU]Soft% [CPU]Steal% [CPU]Idle% [CPU]Totl% [CPU]Intrpt/sec [CPU]Ctx/sec [CPU]Proc/sec [CPU]ProcQue [CPU]ProcRun [CPU]L-Avg1 [CPU]L-Avg5 [CPU]L-Avg15 [CPU]RunTot [CPU]BlkTot
20180118 16:15:11 3 0 59 0 0 38 0 0 100 895719 1595 0 685 9 7.64 3.82 1.53 8 0
20180118 16:15:12 2 0 59 0 0 38 0 0 100 896335 1634 0 685 8 7.64 3.82 1.53 8 0
20180118 16:15:13 2 0 58 0 0 39 0 0 100 895057 1649 0 685 10 7.64 3.82 1.53 8 0
20180118 16:15:14 2 0 59 0 0 39 0 0 100 893214 1666 0 685 8 7.67 3.89 1.56 8 0
20180118 16:15:15 3 0 58 0 0 40 0 0 100 894722 1658 0 685 8 7.67 3.89 1.56 8 0
20180118 16:15:16 2 0 58 0 0 39 0 0 100 894768 1647 0 685 9 7.67 3.89 1.56 8 0
20180118 16:15:17 2 0 59 0 0 38 0 0 100 893440 1616 0 685 8 7.67 3.89 1.56 8 0
20180118 16:15:18 3 0 59 0 0 39 0 0 100 895241 1640 0 685 8 7.67 3.89 1.56 8 0
20180118 16:15:19 2 0 60 0 0 38 0 0 100 893859 1620 0 685 8 7.70 3.96 1.60 8 0
20180118 16:15:20 2 0 61 0 0 37 0 0 100 904899 1590 0 685 8 7.70 3.96 1.60 8 0
20180118 16:15:21 3 0 58 0 0 39 0 0 100 884332 1622 0 685 8 7.70 3.96 1.60 8 0
20180118 16:15:22 2 0 58 0 0 40 0 0 100 895602 1643 0 685 8 7.70 3.96 1.60 8 0
20180118 16:15:23 2 0 59 0 0 38 0 0 100 896205 1619 0 685 8 7.70 3.96 1.60 8 0
20180118 16:15:24 2 0 60 0 0 38 0 0 100 894226 1620 0 685 8 7.72 4.02 1.63 8 0
20180118 16:15:25 2 0 60 0 0 39 0 0 100 894310 1621 0 685 8 7.72 4.02 1.63 8 0
20180118 16:15:26 2 0 60 0 0 38 0 0 100 895883 1594 0 685 8 7.72 4.02 1.63 8 0
20180118 16:15:27 3 0 58 0 0 40 0 0 100 895443 1676 0 685 8 7.72 4.02 1.63 8 0
20180118 16:15:28 3 0 60 0 0 37 0 0 100 893955 1606 0 685 9 7.72 4.02 1.63 8 0
20180118 16:15:29 2 0 57 0 0 41 0 0 100 894505 1709 0 685 8 7.74 4.09 1.67 8 0
20180118 16:15:30 2 0 60 0 0 38 0 0 100 904599 1618 0 685 8 7.74 4.09 1.67 8 0
20180118 16:15:31 2 0 59 0 0 39 0 0 100 885822 1610 0 685 9 7.74 4.09 1.67 8 0
20180118 16:15:32 2 0 59 0 0 38 0 0 100 895414 1635 0 685 8 7.74 4.09 1.67 8 0
20180118 16:15:33 2 0 61 0 0 37 0 0 100 894230 1596 0 685 9 7.74 4.09 1.67 8 0
20180118 16:15:34 2 0 58 0 0 40 0 0 100 897671 1688 0 685 8 7.76 4.15 1.70 8 0
20180118 16:15:35 2 0 59 0 0 39 0 0 100 895326 1638 0 685 8 7.76 4.15 1.70 8 0
20180118 16:15:36 2 0 57 0 0 41 0 0 100 894781 1755 0 685 8 7.76 4.15 1.70 8 0
20180118 16:15:37 3 0 58 0 0 40 0 0 100 895900 1652 0 685 8 7.76 4.15 1.70 8 0
20180118 16:15:38 2 0 58 0 0 40 0 0 100 897089 1676 0 685 8 7.76 4.15 1.70 8 0
20180118 16:15:39 3 0 59 0 0 39 0 0 100 897133 1625 0 685 8 7.78 4.22 1.74 8 0
20180118 16:15:40 2 0 60 0 0 38 0 0 100 904801 1644 0 685 8 7.78 4.22 1.74 8 0
20180118 16:15:41 2 0 57 0 0 41 0 0 100 883297 1671 0 685 8 7.78 4.22 1.74 8 0
20180118 16:15:42 2 0 58 0 0 40 0 0 100 894262 1719 0 684 8 7.78 4.22 1.74 8 0
20180118 16:15:43 3 0 58 0 0 39 0 0 100 893215 1668 0 683 10 7.78 4.22 1.74 8 0
20180118 16:15:44 2 0 58 0 0 40 0 0 100 894973 1680 0 683 8 7.80 4.28 1.77 8 0
20180118 16:15:45 3 0 57 0 0 40 0 0 100 894424 1700 0 683 8 7.80 4.28 1.77 8 0
