################################################################################
# Collectl:   V3.6.9-1  HiRes: 1  Options: -P -f results/2018-01-22-08-32/32cores_nopin_u40_c512_64.dat -sc -c40 -oaz 
# Host:       server-0  DaemonOpts: 
# Booted:     1516627976 [20180122-06:32:56]
# Distro:     debian jessie/sid, Ubuntu 14.04.1 LTS  Platform: 
# Date:       20180122-123403  Secs: 1516649643 TZ: -0700
# SubSys:     c Options: az Interval: 1 NumCPUs: 64  CPUsDis: 1 NumBud: 0 Flags: iD
# Filters:    NfsFilt:  EnvFilt:  TcpFilt: ituc
# HZ:         100  Arch: x86_64-linux-gnu-thread-multi PageSize: 4096
# Cpu:        GenuineIntel Speed(MHz): 2199.965 Cores: 8  Siblings: 8 Nodes: 4
# Kernel:     3.13.0-100-generic  Memory: 131822812 kB  Swap: 3145724 kB
# NumDisks:   7 DiskNames: sdb sdd sdc sde sdf sdg sda
# NumNets:    9 NetNames: eth0:1000 eth1:?? eth2:?? eth3:?? eth4:10000 eth5:10000 eth6:10000 eth7:?? lo:??
# SCSI:       DA:0:00:00:00 DA:0:00:01:00 DA:0:00:02:00 DA:0:00:03:00 DA:0:00:04:00 DA:0:00:05:00 DA:0:00:06:00 ??:0:00:32:00
################################################################################
#Date Time [CPU]User% [CPU]Nice% [CPU]Sys% [CPU]Wait% [CPU]Irq% [CPU]Soft% [CPU]Steal% [CPU]Idle% [CPU]Totl% [CPU]Intrpt/sec [CPU]Ctx/sec [CPU]Proc/sec [CPU]ProcQue [CPU]ProcRun [CPU]L-Avg1 [CPU]L-Avg5 [CPU]L-Avg15 [CPU]RunTot [CPU]BlkTot
20180122 12:34:05 3 0 45 0 0 21 0 31 69 2254023 1230321 4 691 21 3.43 0.78 0.29 18 0
20180122 12:34:06 3 0 37 0 0 14 0 45 55 2066486 1254212 0 691 23 3.43 0.78 0.29 26 0
20180122 12:34:07 3 0 39 0 0 19 0 39 61 1842720 869787 4 691 20 3.43 0.78 0.29 19 0
20180122 12:34:08 3 0 42 0 0 20 0 34 66 1890019 895864 0 691 18 3.43 0.78 0.29 21 0
20180122 12:34:09 3 0 39 0 0 16 0 42 58 1746894 925516 4 691 20 5.00 1.14 0.41 26 0
20180122 12:34:10 3 0 41 0 0 18 0 38 62 1823940 916166 0 691 21 5.00 1.14 0.41 21 0
20180122 12:34:11 3 0 44 0 0 21 0 31 69 2015445 940863 4 691 16 5.00 1.14 0.41 18 0
20180122 12:34:12 3 0 42 0 0 20 0 35 65 1981193 986722 1 691 24 5.00 1.14 0.41 27 0
20180122 12:34:13 3 0 42 0 0 18 0 37 63 2058010 1120870 15 691 22 5.00 1.14 0.41 16 0
20180122 12:34:14 3 0 38 0 0 16 0 43 57 1895246 1095655 0 691 23 5.24 1.26 0.45 22 0
20180122 12:34:15 3 0 47 0 0 27 0 22 78 2131550 815873 5 691 21 5.24 1.26 0.45 14 0
20180122 12:34:16 3 0 42 0 0 17 0 38 62 2029671 1105410 0 691 21 5.24 1.26 0.45 11 0
20180122 12:34:17 3 0 44 0 0 22 0 31 69 1988006 897235 4 691 26 5.24 1.26 0.45 22 0
20180122 12:34:18 3 0 44 0 0 21 0 32 68 2144332 1082719 0 691 21 5.24 1.26 0.45 19 0
20180122 12:34:19 3 0 38 0 0 17 0 42 58 1958603 1124962 4 691 21 5.54 1.39 0.50 20 0
20180122 12:34:20 3 0 50 0 0 30 0 17 83 2267377 754129 0 691 33 5.54 1.39 0.50 24 0
20180122 12:34:21 3 0 44 0 0 18 0 34 66 2214551 1199474 4 691 21 5.54 1.39 0.50 26 0
20180122 12:34:22 3 0 39 0 0 16 0 42 58 2150102 1296590 0 691 22 5.54 1.39 0.50 20 0
20180122 12:34:23 3 0 41 0 0 18 0 37 63 2135441 1205837 4 691 21 5.54 1.39 0.50 19 0
20180122 12:34:24 3 0 42 0 0 19 0 36 64 2188649 1209591 0 691 23 6.14 1.58 0.56 16 0
20180122 12:34:25 3 0 42 0 0 18 0 38 62 2170817 1249992 4 691 19 6.14 1.58 0.56 16 0
20180122 12:34:26 3 0 40 0 0 17 0 40 60 2156358 1268530 0 691 15 6.14 1.58 0.56 17 0
