################################################################################
# Collectl:   V3.6.9-1  HiRes: 1  Options: -P -f results/2018-01-22-08-32/32cores_pin_u40_c1024_92.dat -sc -c40 -oaz 
# Host:       server-0  DaemonOpts: 
# Booted:     1516650434.32 [20180122-12:47:14]
# Distro:     debian jessie/sid, Ubuntu 14.04.1 LTS  Platform: 
# Date:       20180122-145359  Secs: 1516658039 TZ: -0700
# SubSys:     c Options: az Interval: 1 NumCPUs: 64  CPUsDis: 1 NumBud: 0 Flags: iD
# Filters:    NfsFilt:  EnvFilt:  TcpFilt: ituc
# HZ:         100  Arch: x86_64-linux-gnu-thread-multi PageSize: 4096
# Cpu:        GenuineIntel Speed(MHz): 2199.839 Cores: 8  Siblings: 8 Nodes: 4
# Kernel:     3.13.0-100-generic  Memory: 131822812 kB  Swap: 3145724 kB
# NumDisks:   7 DiskNames: sdb sdc sde sdd sdf sdg sda
# NumNets:    9 NetNames: eth0:1000 eth1:?? eth2:?? eth3:?? eth4:10000 eth5:10000 eth6:10000 eth7:?? lo:??
# SCSI:       DA:0:00:00:00 DA:0:00:01:00 DA:0:00:02:00 DA:0:00:03:00 DA:0:00:04:00 DA:0:00:05:00 DA:0:00:06:00 ??:0:00:32:00
################################################################################
#Date Time [CPU]User% [CPU]Nice% [CPU]Sys% [CPU]Wait% [CPU]Irq% [CPU]Soft% [CPU]Steal% [CPU]Idle% [CPU]Totl% [CPU]Intrpt/sec [CPU]Ctx/sec [CPU]Proc/sec [CPU]ProcQue [CPU]ProcRun [CPU]L-Avg1 [CPU]L-Avg5 [CPU]L-Avg15 [CPU]RunTot [CPU]BlkTot
20180122 14:54:01 4 0 48 0 0 22 0 26 74 3093478 1551185 4 691 24 14.69 14.44 14.10 17 0
20180122 14:54:02 3 0 48 0 0 22 0 27 73 3114151 1615573 0 691 23 15.35 14.58 14.15 23 0
20180122 14:54:03 3 0 48 0 0 22 0 26 74 3110368 1604408 4 691 23 15.35 14.58 14.15 23 0
20180122 14:54:04 3 0 48 0 0 22 0 27 73 3116937 1622551 0 691 25 15.35 14.58 14.15 20 0
20180122 14:54:05 3 0 48 0 0 22 0 27 73 3096098 1613430 4 691 26 15.35 14.58 14.15 22 0
20180122 14:54:06 3 0 48 0 0 22 0 26 74 3117918 1613361 0 691 20 15.35 14.58 14.15 19 0
20180122 14:54:07 3 0 49 0 0 22 0 26 74 3123918 1591181 4 691 24 15.73 14.67 14.18 25 0
20180122 14:54:08 3 0 49 0 0 22 0 26 74 3115113 1604984 0 691 23 15.73 14.67 14.18 26 0
20180122 14:54:09 3 0 48 0 0 22 0 27 73 3102029 1613034 4 691 16 15.73 14.67 14.18 21 0
20180122 14:54:10 3 0 47 0 0 21 0 29 71 3046000 1654625 0 691 24 15.73 14.67 14.18 30 0
20180122 14:54:11 3 0 47 0 0 22 0 28 72 3052984 1634901 4 691 21 15.73 14.67 14.18 25 0
20180122 14:54:12 3 0 47 0 0 21 0 29 71 3064242 1640257 0 691 24 15.75 14.69 14.19 25 0
20180122 14:54:13 3 0 47 0 0 21 0 28 72 3062461 1634179 4 691 24 15.75 14.69 14.19 18 0
20180122 14:54:14 3 0 47 0 0 21 0 28 72 3072254 1636140 0 691 22 15.75 14.69 14.19 22 0
