################################################################################
# Collectl:   V3.6.9-1  HiRes: 1  Options: -P -f results/2018-01-22-08-32/32cores_pin_u40_c64_154.dat -sc -c40 -oaz 
# Host:       server-0  DaemonOpts: 
# Booted:     1516650434 [20180122-12:47:14]
# Distro:     debian jessie/sid, Ubuntu 14.04.1 LTS  Platform: 
# Date:       20180122-160759  Secs: 1516662479 TZ: -0700
# SubSys:     c Options: az Interval: 1 NumCPUs: 64  CPUsDis: 1 NumBud: 0 Flags: iD
# Filters:    NfsFilt:  EnvFilt:  TcpFilt: ituc
# HZ:         100  Arch: x86_64-linux-gnu-thread-multi PageSize: 4096
# Cpu:        GenuineIntel Speed(MHz): 2199.839 Cores: 8  Siblings: 8 Nodes: 4
# Kernel:     3.13.0-100-generic  Memory: 131822812 kB  Swap: 3145724 kB
# NumDisks:   7 DiskNames: sdb sdc sde sdd sdf sdg sda
# NumNets:    9 NetNames: eth0:1000 eth1:?? eth2:?? eth3:?? eth4:10000 eth5:10000 eth6:10000 eth7:?? lo:??
# SCSI:       DA:0:00:00:00 DA:0:00:01:00 DA:0:00:02:00 DA:0:00:03:00 DA:0:00:04:00 DA:0:00:05:00 DA:0:00:06:00 ??:0:00:32:00
################################################################################
#Date Time [CPU]User% [CPU]Nice% [CPU]Sys% [CPU]Wait% [CPU]Irq% [CPU]Soft% [CPU]Steal% [CPU]Idle% [CPU]Totl% [CPU]Intrpt/sec [CPU]Ctx/sec [CPU]Proc/sec [CPU]ProcQue [CPU]ProcRun [CPU]L-Avg1 [CPU]L-Avg5 [CPU]L-Avg15 [CPU]RunTot [CPU]BlkTot
20180122 16:08:01 5 0 32 0 0 6 0 57 43 1505238 1167440 4 695 12 11.47 9.89 9.77 11 0
20180122 16:08:02 3 0 32 0 0 6 0 58 42 1531976 1194178 4 695 18 11.47 9.89 9.77 17 0
20180122 16:08:03 2 0 34 0 0 6 0 58 42 1533058 1194013 4 695 16 11.47 9.89 9.77 13 0
20180122 16:08:04 3 0 33 0 0 6 0 58 42 1536768 1197062 4 695 16 11.47 9.89 9.77 17 0
20180122 16:08:05 2 0 33 0 0 6 0 59 41 1533026 1194104 4 695 17 11.35 9.89 9.77 18 0
20180122 16:08:06 2 0 33 0 0 6 0 59 41 1538913 1196455 4 695 12 11.35 9.89 9.77 13 0
20180122 16:08:07 2 0 33 0 0 6 0 58 42 1536789 1194343 4 695 15 11.35 9.89 9.77 11 0
20180122 16:08:08 2 0 32 0 0 6 0 59 41 1554768 1191606 4 695 12 11.35 9.89 9.77 15 0
20180122 16:08:09 2 0 33 0 0 6 0 59 41 1658568 1188490 4 695 19 11.35 9.89 9.77 15 0
20180122 16:08:10 3 0 32 0 0 6 0 59 41 1568158 1203392 4 695 15 11.00 9.85 9.75 15 0
20180122 16:08:11 3 0 32 0 0 6 0 59 41 1533166 1187039 4 695 13 11.00 9.85 9.75 16 0
20180122 16:08:12 3 0 32 0 0 6 0 59 41 1537852 1197733 4 695 16 11.00 9.85 9.75 13 0
20180122 16:08:13 3 0 32 0 0 6 0 59 41 1532436 1198562 4 695 13 11.00 9.85 9.75 16 0
20180122 16:08:14 2 0 32 0 0 6 0 60 40 1529731 1191135 4 695 15 11.00 9.85 9.75 17 0
