################################################################################
# Collectl:   V3.6.9-1  HiRes: 1  Options: -P -f results/2018-01-23-14-03/32cores_exp_nopin_u40_c1024_10.dat -sc -c40 -oaz 
# Host:       server-0  DaemonOpts: 
# Booted:     1516731248.31 [20180123-11:14:08]
# Distro:     debian jessie/sid, Ubuntu 14.04.1 LTS  Platform: 
# Date:       20180123-152032  Secs: 1516746032 TZ: -0700
# SubSys:     c Options: az Interval: 1 NumCPUs: 64  CPUsDis: 1 NumBud: 0 Flags: iD
# Filters:    NfsFilt:  EnvFilt:  TcpFilt: ituc
# HZ:         100  Arch: x86_64-linux-gnu-thread-multi PageSize: 4096
# Cpu:        GenuineIntel Speed(MHz): 2199.993 Cores: 8  Siblings: 8 Nodes: 4
# Kernel:     3.13.0-100-generic  Memory: 131822812 kB  Swap: 3145724 kB
# NumDisks:   7 DiskNames: sdb sdc sdd sde sdg sdf sda
# NumNets:    9 NetNames: eth0:1000 eth1:?? eth2:?? eth3:?? eth4:10000 eth5:10000 eth6:10000 eth7:?? lo:??
# SCSI:       DA:0:00:00:00 DA:0:00:01:00 DA:0:00:02:00 DA:0:00:03:00 DA:0:00:04:00 DA:0:00:05:00 DA:0:00:06:00 ??:0:00:32:00
################################################################################
#Date Time [CPU]User% [CPU]Nice% [CPU]Sys% [CPU]Wait% [CPU]Irq% [CPU]Soft% [CPU]Steal% [CPU]Idle% [CPU]Totl% [CPU]Intrpt/sec [CPU]Ctx/sec [CPU]Proc/sec [CPU]ProcQue [CPU]ProcRun [CPU]L-Avg1 [CPU]L-Avg5 [CPU]L-Avg15 [CPU]RunTot [CPU]BlkTot
20180123 15:20:34 3 0 40 0 0 17 0 39 61 1571434 1091613 0 686 20 16.49 13.29 11.04 23 0
20180123 15:20:35 3 0 43 0 0 19 0 35 65 1589103 1037934 0 686 19 16.49 13.29 11.04 21 0
20180123 15:20:36 3 0 42 0 0 20 0 36 64 1580277 1022431 0 686 19 16.29 13.30 11.06 22 0
20180123 15:20:37 3 0 42 0 0 20 0 35 65 1582416 1015459 0 686 26 16.29 13.30 11.06 19 0
20180123 15:20:38 3 0 44 0 0 19 0 34 66 1576441 998349 0 686 18 16.29 13.30 11.06 23 0
20180123 15:20:39 3 0 42 0 0 19 0 36 64 1569174 1011530 0 686 18 16.29 13.30 11.06 21 0
20180123 15:20:40 3 0 42 0 0 19 0 35 65 1574099 1011645 0 686 24 16.29 13.30 11.06 21 0
20180123 15:20:41 3 0 43 0 0 19 0 35 65 1561943 975010 0 686 18 16.50 13.39 11.10 19 0
20180123 15:20:42 3 0 43 0 0 20 0 34 66 1571854 981155 0 686 24 16.50 13.39 11.10 8 0
20180123 15:20:43 3 0 43 0 0 20 0 34 66 1560917 965501 0 686 27 16.50 13.39 11.10 26 0
20180123 15:20:44 3 0 42 0 0 21 0 34 66 1570616 985049 0 686 21 16.50 13.39 11.10 21 0
20180123 15:20:45 3 0 43 0 0 20 0 33 67 1571047 972877 0 686 20 16.50 13.39 11.10 25 0
20180123 15:20:46 3 0 43 0 0 19 0 35 65 1569386 975253 0 686 24 16.22 13.39 11.11 26 0
20180123 15:20:47 3 0 44 0 0 19 0 34 66 1577754 988920 0 686 21 16.22 13.39 11.11 17 0
20180123 15:20:48 3 0 43 0 0 20 0 34 66 1573699 993246 0 686 22 16.22 13.39 11.11 9 0
20180123 15:20:49 3 0 42 0 0 19 0 36 64 1572901 1027798 0 686 27 16.22 13.39 11.11 23 0
20180123 15:20:50 3 0 42 0 0 19 0 36 64 1582933 1057461 0 686 22 16.22 13.39 11.11 25 0
20180123 15:20:51 3 0 42 0 0 19 0 35 65 1571136 1007136 0 686 21 16.69 13.53 11.17 20 0
20180123 15:20:52 3 0 43 0 0 19 0 35 65 1574197 1011716 0 686 25 16.69 13.53 11.17 25 0
20180123 15:20:53 3 0 43 0 0 18 0 35 65 1583723 1044630 0 686 18 16.69 13.53 11.17 21 0
