################################################################################
# Collectl:   V3.6.9-1  HiRes: 1  Options: -P -f results/2018-01-24-08-31/32cores_nopin_u40_c8192_182.dat -sc -c40 -oaz 
# Host:       server-0  DaemonOpts: 
# Booted:     1516806860.91 [20180124-08:14:20]
# Distro:     debian jessie/sid, Ubuntu 14.04.1 LTS  Platform: 
# Date:       20180124-132952  Secs: 1516825792 TZ: -0700
# SubSys:     c Options: az Interval: 1 NumCPUs: 64  CPUsDis: 1 NumBud: 0 Flags: iD
# Filters:    NfsFilt:  EnvFilt:  TcpFilt: ituc
# HZ:         100  Arch: x86_64-linux-gnu-thread-multi PageSize: 4096
# Cpu:        GenuineIntel Speed(MHz): 2200.084 Cores: 8  Siblings: 8 Nodes: 4
# Kernel:     3.13.0-100-generic  Memory: 131822812 kB  Swap: 3145724 kB
# NumDisks:   7 DiskNames: sdb sdc sdd sde sdf sdg sda
# NumNets:    9 NetNames: eth0:1000 eth1:?? eth2:?? eth3:?? eth4:10000 eth5:10000 eth6:10000 eth7:?? lo:??
# SCSI:       DA:0:00:00:00 DA:0:00:01:00 DA:0:00:02:00 DA:0:00:03:00 DA:0:00:04:00 DA:0:00:05:00 DA:0:00:06:00 ??:0:00:32:00
################################################################################
#Date Time [CPU]User% [CPU]Nice% [CPU]Sys% [CPU]Wait% [CPU]Irq% [CPU]Soft% [CPU]Steal% [CPU]Idle% [CPU]Totl% [CPU]Intrpt/sec [CPU]Ctx/sec [CPU]Proc/sec [CPU]ProcQue [CPU]ProcRun [CPU]L-Avg1 [CPU]L-Avg5 [CPU]L-Avg15 [CPU]RunTot [CPU]BlkTot
20180124 13:29:54 2 0 53 0 0 40 0 5 95 3422167 452368 0 687 32 29.12 28.22 27.38 31 0
20180124 13:29:55 3 0 53 0 0 40 0 5 95 3415780 464562 0 687 31 29.12 28.22 27.38 32 0
20180124 13:29:56 3 0 53 0 0 39 0 5 95 3412751 468235 0 687 31 29.12 28.22 27.38 32 0
20180124 13:29:57 3 0 53 0 0 39 0 5 95 3403443 480677 0 687 29 28.95 28.20 27.38 31 0
20180124 13:29:58 3 0 53 0 0 39 0 5 95 3403473 501277 0 687 30 28.95 28.20 27.38 32 0
20180124 13:29:59 2 0 53 0 0 39 0 5 95 3399822 485411 0 687 30 28.95 28.20 27.38 32 0
20180124 13:30:00 2 0 53 0 0 40 0 5 95 3399339 502887 0 687 32 28.95 28.20 27.38 33 0
20180124 13:30:01 4 0 53 0 0 38 0 6 94 3357087 451744 0 687 29 28.95 28.20 27.38 30 0
20180124 13:30:02 2 0 52 0 0 38 0 7 93 3376326 496297 0 687 29 28.64 28.15 27.36 30 0
20180124 13:30:03 2 0 53 0 0 37 0 7 93 3373730 477229 0 687 32 28.64 28.15 27.36 30 0
20180124 13:30:04 2 0 53 0 0 38 0 6 94 3399124 392053 0 687 31 28.64 28.15 27.36 31 0
20180124 13:30:05 3 0 52 0 0 40 0 6 94 3406015 369520 0 687 31 28.64 28.15 27.36 31 0
20180124 13:30:06 3 0 53 0 0 40 0 4 96 3444201 321698 0 687 31 28.64 28.15 27.36 31 0
20180124 13:30:07 2 0 54 0 0 40 0 4 96 3439231 359979 0 687 31 28.67 28.16 27.37 31 0
20180124 13:30:08 2 0 53 0 0 41 0 4 96 3435998 388306 0 687 32 28.67 28.16 27.37 32 0
20180124 13:30:09 2 0 53 0 0 40 0 4 96 3434264 391027 0 687 31 28.67 28.16 27.37 31 0
20180124 13:30:10 2 0 53 0 0 40 0 4 96 3431896 399343 0 687 32 28.67 28.16 27.37 32 0
20180124 13:30:11 3 0 53 0 0 40 0 4 96 3429760 379762 0 687 32 28.67 28.16 27.37 32 0
20180124 13:30:12 2 0 54 0 0 40 0 4 96 3432483 388966 0 687 31 28.77 28.19 27.39 31 0
20180124 13:30:13 3 0 53 0 0 41 0 4 96 3429144 396269 0 687 29 28.77 28.19 27.39 32 0
20180124 13:30:14 3 0 52 0 0 41 0 4 96 3430803 397979 0 687 31 28.77 28.19 27.39 32 0
20180124 13:30:15 3 0 52 0 0 40 0 5 95 3415506 383050 0 687 30 28.77 28.19 27.39 32 0
20180124 13:30:16 2 0 53 0 0 40 0 5 95 3426284 395854 0 687 30 28.77 28.19 27.39 31 0
20180124 13:30:17 2 0 53 0 0 40 0 4 96 3430415 381630 0 687 31 28.71 28.19 27.39 32 0
20180124 13:30:18 3 0 53 0 0 39 0 5 95 3442122 307254 1 687 30 28.71 28.19 27.39 31 0
20180124 13:30:19 2 0 54 0 0 39 0 5 95 3434912 321934 0 687 31 28.71 28.19 27.39 31 0
20180124 13:30:20 2 0 53 0 0 40 0 5 95 3435222 419339 0 687 33 28.71 28.19 27.39 34 0
20180124 13:30:21 2 0 53 0 0 40 0 5 95 3424160 429217 0 687 30 28.71 28.19 27.39 31 0
20180124 13:30:22 2 0 53 0 0 39 0 5 95 3410734 460401 0 687 30 28.73 28.20 27.40 32 0
20180124 13:30:23 3 0 52 0 0 41 0 5 95 3407049 467521 0 687 33 28.73 28.20 27.40 32 0
20180124 13:30:24 2 0 52 0 0 41 0 5 95 3406517 486699 0 687 31 28.73 28.20 27.40 32 0
20180124 13:30:25 3 0 53 0 0 40 0 5 95 3409496 470562 0 687 28 28.73 28.20 27.40 29 0
20180124 13:30:26 3 0 52 0 0 40 0 5 95 3406667 491761 0 687 30 28.73 28.20 27.40 32 0
20180124 13:30:27 3 0 53 0 0 39 0 5 95 3411394 436660 0 687 31 28.76 28.22 27.41 30 0
20180124 13:30:28 3 0 53 0 0 40 0 5 95 3418622 482023 0 687 30 28.76 28.22 27.41 31 0
20180124 13:30:29 3 0 53 0 0 40 0 5 95 3418046 491663 0 687 31 28.76 28.22 27.41 32 0
20180124 13:30:30 3 0 52 0 0 40 0 5 95 3412619 460495 0 687 35 28.76 28.22 27.41 35 0
20180124 13:30:31 3 0 53 0 0 39 0 5 95 3422997 429931 0 687 31 28.76 28.22 27.41 31 0
20180124 13:30:32 2 0 52 0 0 42 0 3 97 3456058 351496 0 687 30 28.77 28.23 27.42 31 0
20180124 13:30:33 2 0 53 0 0 41 0 3 97 3446074 332541 0 687 30 28.77 28.23 27.42 32 0
