################################################################################
# Collectl:   V3.6.9-1  HiRes: 1  Options: -P -f results/2018-01-24-15-09/32cores_nopin_u40_c258_9.dat -sc -c40 -oaz 
# Host:       server-0  DaemonOpts: 
# Booted:     1516830787.5 [20180124-14:53:07]
# Distro:     debian jessie/sid, Ubuntu 14.04.1 LTS  Platform: 
# Date:       20180124-152038  Secs: 1516832438 TZ: -0700
# SubSys:     c Options: az Interval: 1 NumCPUs: 64  CPUsDis: 1 NumBud: 0 Flags: iD
# Filters:    NfsFilt:  EnvFilt:  TcpFilt: ituc
# HZ:         100  Arch: x86_64-linux-gnu-thread-multi PageSize: 4096
# Cpu:        GenuineIntel Speed(MHz): 2199.945 Cores: 8  Siblings: 8 Nodes: 4
# Kernel:     3.13.0-100-generic  Memory: 131822812 kB  Swap: 3145724 kB
# NumDisks:   7 DiskNames: sdb sdc sdd sdf sde sdg sda
# NumNets:    9 NetNames: eth0:1000 eth1:?? eth2:?? eth3:?? eth4:10000 eth5:10000 eth6:10000 eth7:10000 lo:??
# SCSI:       DA:0:00:00:00 DA:0:00:01:00 DA:0:00:02:00 DA:0:00:03:00 DA:0:00:04:00 DA:0:00:05:00 DA:0:00:06:00 ??:0:00:32:00
################################################################################
#Date Time [CPU]User% [CPU]Nice% [CPU]Sys% [CPU]Wait% [CPU]Irq% [CPU]Soft% [CPU]Steal% [CPU]Idle% [CPU]Totl% [CPU]Intrpt/sec [CPU]Ctx/sec [CPU]Proc/sec [CPU]ProcQue [CPU]ProcRun [CPU]L-Avg1 [CPU]L-Avg5 [CPU]L-Avg15 [CPU]RunTot [CPU]BlkTot
20180124 15:20:40 3 0 38 0 0 15 0 44 56 1642330 915976 0 685 20 14.20 10.43 5.19 22 0
20180124 15:20:41 3 0 38 0 0 15 0 43 57 1654303 912084 0 685 20 14.20 10.43 5.19 13 0
20180124 15:20:42 2 0 39 0 0 15 0 44 56 1657033 916655 0 685 22 14.20 10.43 5.19 21 0
20180124 15:20:43 3 0 39 0 0 15 0 43 57 1660244 915545 0 685 24 14.20 10.43 5.19 23 0
20180124 15:20:44 2 0 40 0 0 16 0 42 58 1714167 936111 0 685 18 14.20 10.43 5.19 22 0
20180124 15:20:45 3 0 41 0 0 16 0 40 60 1767344 937350 0 685 16 14.27 10.51 5.24 19 0
20180124 15:20:46 3 0 39 0 0 15 0 43 57 1789925 938422 0 685 17 14.27 10.51 5.24 23 0
20180124 15:20:47 3 0 37 0 0 15 0 45 55 1740611 935637 0 685 21 14.27 10.51 5.24 18 0
20180124 15:20:48 3 0 39 0 0 16 0 41 59 1721301 937128 0 685 16 14.27 10.51 5.24 19 0
20180124 15:20:49 2 0 38 0 0 14 0 45 55 1645487 937425 0 685 19 14.27 10.51 5.24 19 0
20180124 15:20:50 3 0 37 0 0 14 0 45 55 1620231 924649 0 685 21 14.65 10.65 5.32 21 0
20180124 15:20:51 5 0 37 0 0 16 0 41 59 1723396 963447 0 685 15 14.65 10.65 5.32 24 0
20180124 15:20:52 3 0 39 0 0 15 0 43 57 1689677 952867 0 685 20 14.65 10.65 5.32 26 0
20180124 15:20:53 3 0 38 0 0 15 0 44 56 1665575 943063 0 685 15 14.65 10.65 5.32 21 0
20180124 15:20:54 3 0 38 0 0 15 0 44 56 1659489 939695 0 685 10 14.65 10.65 5.32 18 0
20180124 15:20:55 3 0 38 0 0 15 0 44 56 1640186 921911 0 685 22 14.43 10.67 5.35 21 0
20180124 15:20:56 3 0 41 0 0 16 0 40 60 1713455 919300 0 685 15 14.43 10.67 5.35 17 0
20180124 15:20:57 3 0 40 0 0 16 0 41 59 1738816 934985 0 685 17 14.43 10.67 5.35 21 0
20180124 15:20:58 3 0 39 0 0 16 0 42 58 1697061 940914 0 685 18 14.43 10.67 5.35 23 0
20180124 15:20:59 3 0 37 0 0 15 0 45 55 1648958 935470 0 685 17 14.43 10.67 5.35 21 0
20180124 15:21:00 3 0 39 0 0 15 0 43 57 1688477 939811 0 685 26 14.16 10.68 5.38 19 0
20180124 15:21:01 3 0 40 0 0 14 0 42 58 1688818 935401 0 685 20 14.16 10.68 5.38 22 0
20180124 15:21:02 3 0 37 0 0 14 0 46 54 1625365 925087 0 685 19 14.16 10.68 5.38 21 0
20180124 15:21:03 2 0 39 0 0 15 0 44 56 1636455 904751 0 685 18 14.16 10.68 5.38 21 0
20180124 15:21:04 3 0 40 0 0 15 0 41 59 1707128 923299 0 685 18 14.16 10.68 5.38 15 0
20180124 15:21:05 2 0 37 0 0 16 0 44 56 1694319 949142 0 685 19 13.91 10.68 5.41 17 0
20180124 15:21:06 3 0 40 0 0 16 0 41 59 1747674 940261 0 685 18 13.91 10.68 5.41 9 0
20180124 15:21:07 3 0 38 0 0 14 0 45 55 1630234 928106 0 685 23 13.91 10.68 5.41 17 0
20180124 15:21:08 3 0 38 0 0 16 0 43 57 1678473 920245 0 685 22 13.91 10.68 5.41 13 0
20180124 15:21:09 2 0 40 0 0 16 0 42 58 1707654 937008 0 685 20 13.91 10.68 5.41 16 0
20180124 15:21:10 3 0 36 0 0 15 0 46 54 1625233 949308 0 685 22 14.07 10.77 5.47 16 0
20180124 15:21:11 3 0 36 0 0 15 0 46 54 1603549 901256 0 685 17 14.07 10.77 5.47 20 0
20180124 15:21:12 3 0 38 0 0 15 0 43 57 1678711 924550 0 685 14 14.07 10.77 5.47 20 0
20180124 15:21:13 3 0 39 0 0 15 0 42 58 1711238 921056 0 685 17 14.07 10.77 5.47 13 0
20180124 15:21:14 3 0 38 0 0 16 0 43 57 1700754 937853 0 685 16 14.07 10.77 5.47 11 0
20180124 15:21:15 2 0 38 0 0 15 0 44 56 1674141 933047 0 685 13 14.07 10.82 5.52 17 0
20180124 15:21:16 3 0 39 0 0 17 0 41 59 1717974 913681 0 685 16 14.07 10.82 5.52 14 0
20180124 15:21:17 2 0 37 0 0 15 0 45 55 1640403 933840 0 685 18 14.07 10.82 5.52 17 0
20180124 15:21:18 3 0 38 0 0 16 0 43 57 1700470 942921 0 685 12 14.07 10.82 5.52 18 0
20180124 15:21:19 3 0 37 0 0 15 0 45 55 1647126 937772 0 685 22 14.07 10.82 5.52 19 0
