################################################################################
# Collectl:   V3.6.9-1  HiRes: 1  Options: -P -f results/2018-01-25-10-08/32cores_c1_nopin_u40_c96_4.dat -sc -c40 -oaz 
# Host:       server-0  DaemonOpts: 
# Booted:     1516899665.53 [20180125-10:01:05]
# Distro:     debian jessie/sid, Ubuntu 14.04.1 LTS  Platform: 
# Date:       20180125-111636  Secs: 1516904196 TZ: -0700
# SubSys:     c Options: az Interval: 1 NumCPUs: 64  CPUsDis: 1 NumBud: 0 Flags: iD
# Filters:    NfsFilt:  EnvFilt:  TcpFilt: ituc
# HZ:         100  Arch: x86_64-linux-gnu-thread-multi PageSize: 4096
# Cpu:        GenuineIntel Speed(MHz): 2200.168 Cores: 8  Siblings: 8 Nodes: 4
# Kernel:     3.13.0-100-generic  Memory: 131822812 kB  Swap: 3145724 kB
# NumDisks:   7 DiskNames: sdb sdc sde sdd sdf sdg sda
# NumNets:    9 NetNames: eth0:1000 eth1:?? eth2:?? eth3:?? eth4:10000 eth5:10000 eth6:10000 eth7:10000 lo:??
# SCSI:       DA:0:00:00:00 DA:0:00:01:00 DA:0:00:02:00 DA:0:00:03:00 DA:0:00:04:00 DA:0:00:05:00 DA:0:00:06:00 ??:0:00:32:00
################################################################################
#Date Time [CPU]User% [CPU]Nice% [CPU]Sys% [CPU]Wait% [CPU]Irq% [CPU]Soft% [CPU]Steal% [CPU]Idle% [CPU]Totl% [CPU]Intrpt/sec [CPU]Ctx/sec [CPU]Proc/sec [CPU]ProcQue [CPU]ProcRun [CPU]L-Avg1 [CPU]L-Avg5 [CPU]L-Avg15 [CPU]RunTot [CPU]BlkTot
20180125 11:16:38 3 0 41 0 0 13 0 43 57 1585374 1071994 0 685 20 14.54 12.31 8.60 15 0
20180125 11:16:39 3 0 42 0 0 13 0 42 58 1574953 1055508 0 685 21 14.54 12.31 8.60 18 0
20180125 11:16:40 3 0 41 0 0 14 0 41 59 1573202 1052737 0 685 14 14.74 12.38 8.65 19 0
20180125 11:16:41 3 0 41 0 0 13 0 43 57 1586655 1079063 0 685 19 14.74 12.38 8.65 20 0
20180125 11:16:42 3 0 42 0 0 12 0 43 57 1591571 1091406 0 685 20 14.74 12.38 8.65 20 0
20180125 11:16:43 3 0 42 0 0 13 0 43 57 1583119 1082058 0 685 20 14.74 12.38 8.65 22 0
20180125 11:16:44 3 0 41 0 0 13 0 43 57 1588394 1089199 0 685 19 14.74 12.38 8.65 15 0
20180125 11:16:45 3 0 42 0 1 13 0 41 59 1570890 1063191 0 685 21 15.00 12.48 8.70 12 0
20180125 11:16:46 3 0 41 0 0 12 0 44 56 1596770 1100192 0 685 15 15.00 12.48 8.70 12 0
20180125 11:16:47 3 0 42 0 0 12 0 43 57 1578772 1075660 0 685 16 15.00 12.48 8.70 19 0
20180125 11:16:48 3 0 42 0 0 13 0 41 59 1569336 1061860 0 685 20 15.00 12.48 8.70 20 0
20180125 11:16:49 3 0 41 0 0 12 0 43 57 1598820 1101232 0 685 16 15.00 12.48 8.70 18 0
20180125 11:16:50 3 0 41 0 0 12 0 43 57 1587346 1085236 0 685 14 14.76 12.47 8.72 20 0
20180125 11:16:51 3 0 42 0 0 14 0 41 59 1570689 1063180 0 685 18 14.76 12.47 8.72 22 0
20180125 11:16:52 3 0 40 0 0 13 0 43 57 1590922 1087772 0 685 22 14.76 12.47 8.72 23 0
20180125 11:16:53 2 0 42 0 0 13 0 43 57 1587886 1086100 0 685 17 14.76 12.47 8.72 18 0
20180125 11:16:54 3 0 42 0 0 13 0 41 59 1565136 1057002 0 685 19 14.76 12.47 8.72 18 0
20180125 11:16:55 3 0 42 0 0 11 0 43 57 1647705 1087466 0 685 10 15.10 12.58 8.77 21 0
20180125 11:16:56 3 0 41 0 0 12 0 43 57 1721843 1094052 0 685 17 15.10 12.58 8.77 15 0
20180125 11:16:57 3 0 42 0 0 12 0 43 57 1714951 1084976 0 685 17 15.10 12.58 8.77 19 0
20180125 11:16:58 3 0 42 0 0 13 0 42 58 1701439 1068923 0 685 15 15.10 12.58 8.77 22 0
20180125 11:16:59 3 0 42 0 0 12 0 43 57 1610260 1100442 0 685 14 15.10 12.58 8.77 11 0
20180125 11:17:00 2 0 42 0 0 12 0 43 57 1594198 1094778 0 685 9 14.77 12.55 8.78 20 0
20180125 11:17:01 3 0 41 0 0 12 0 43 57 1590057 1087513 0 685 19 14.77 12.55 8.78 19 0
20180125 11:17:02 3 0 42 0 0 13 0 41 59 1573473 1069337 3 685 21 14.77 12.55 8.78 21 0
20180125 11:17:03 3 0 42 0 0 13 0 42 58 1576860 1075032 0 685 19 14.77 12.55 8.78 17 0
20180125 11:17:04 3 0 42 0 0 12 0 42 58 1585720 1083153 0 685 18 14.77 12.55 8.78 16 0
20180125 11:17:05 3 0 41 0 0 12 0 43 57 1591015 1093776 0 685 20 14.23 12.47 8.78 22 0
20180125 11:17:06 3 0 41 0 0 13 0 43 57 1593020 1096129 0 685 17 14.23 12.47 8.78 16 0
