################################################################################
# Collectl:   V3.6.9-1  HiRes: 1  Options: -P -f results/2018-01-25-10-08/32cores_nopin_timer_u40_c864_62.dat -sc -c40 -oaz 
# Host:       server-0  DaemonOpts: 
# Booted:     1516899665.56 [20180125-10:01:05]
# Distro:     debian jessie/sid, Ubuntu 14.04.1 LTS  Platform: 
# Date:       20180125-174647  Secs: 1516927607 TZ: -0700
# SubSys:     c Options: az Interval: 1 NumCPUs: 64  CPUsDis: 1 NumBud: 0 Flags: iD
# Filters:    NfsFilt:  EnvFilt:  TcpFilt: ituc
# HZ:         100  Arch: x86_64-linux-gnu-thread-multi PageSize: 4096
# Cpu:        GenuineIntel Speed(MHz): 2200.168 Cores: 8  Siblings: 8 Nodes: 4
# Kernel:     3.13.0-100-generic  Memory: 131822812 kB  Swap: 3145724 kB
# NumDisks:   7 DiskNames: sdb sdc sde sdd sdf sdg sda
# NumNets:    9 NetNames: eth0:1000 eth1:?? eth2:?? eth3:?? eth4:10000 eth5:10000 eth6:10000 eth7:10000 lo:??
# SCSI:       DA:0:00:00:00 DA:0:00:01:00 DA:0:00:02:00 DA:0:00:03:00 DA:0:00:04:00 DA:0:00:05:00 DA:0:00:06:00 ??:0:00:32:00
################################################################################
#Date Time [CPU]User% [CPU]Nice% [CPU]Sys% [CPU]Wait% [CPU]Irq% [CPU]Soft% [CPU]Steal% [CPU]Idle% [CPU]Totl% [CPU]Intrpt/sec [CPU]Ctx/sec [CPU]Proc/sec [CPU]ProcQue [CPU]ProcRun [CPU]L-Avg1 [CPU]L-Avg5 [CPU]L-Avg15 [CPU]RunTot [CPU]BlkTot
20180125 17:46:50 2 0 56 0 0 42 0 0 100 5082901 7708 0 687 34 30.84 29.48 26.12 32 0
20180125 17:46:51 2 0 55 0 0 43 0 0 100 5095045 7981 0 687 32 30.84 29.48 26.12 32 0
20180125 17:46:52 2 0 55 0 0 43 0 0 100 5112912 7933 0 687 34 30.84 29.48 26.12 32 0
20180125 17:46:53 2 0 56 0 0 42 0 0 100 5102846 7695 0 687 34 30.93 29.53 26.15 32 0
20180125 17:46:54 2 0 55 0 0 42 0 0 100 5086692 7807 0 687 35 30.93 29.53 26.15 32 0
20180125 17:46:55 2 0 57 0 0 41 0 0 100 5087573 7688 0 687 34 30.93 29.53 26.15 32 0
20180125 17:46:56 2 0 56 0 0 42 0 0 100 5100472 7818 0 687 34 30.93 29.53 26.15 32 0
20180125 17:46:57 2 0 56 0 0 42 0 0 100 5085525 7684 0 687 34 30.93 29.53 26.15 32 0
20180125 17:46:58 2 0 55 0 0 42 0 0 100 5069763 7850 0 687 36 31.02 29.57 26.18 32 0
20180125 17:46:59 2 0 56 0 0 42 0 0 100 5071664 7749 0 687 34 31.02 29.57 26.18 32 0
20180125 17:47:00 2 0 55 0 0 43 0 0 100 5085319 7856 0 687 34 31.02 29.57 26.18 32 0
20180125 17:47:01 2 0 55 0 0 43 0 0 100 5095808 7886 0 687 33 31.02 29.57 26.18 32 0
20180125 17:47:02 2 0 56 0 0 42 0 0 100 5098232 7698 0 687 34 31.02 29.57 26.18 32 0
20180125 17:47:03 2 0 56 0 0 42 0 0 100 5088146 7899 0 687 34 31.09 29.61 26.21 32 0
