################################################################################
# Collectl:   V3.6.9-1  HiRes: 1  Options: -P -f results/2018-01-25-10-08/32cores_nopin_u40_c288_3.dat -sc -c40 -oaz 
# Host:       server-0  DaemonOpts: 
# Booted:     1516899664.74 [20180125-10:01:04]
# Distro:     debian jessie/sid, Ubuntu 14.04.1 LTS  Platform: 
# Date:       20180125-101228  Secs: 1516900348 TZ: -0700
# SubSys:     c Options: az Interval: 1 NumCPUs: 64  CPUsDis: 1 NumBud: 0 Flags: iD
# Filters:    NfsFilt:  EnvFilt:  TcpFilt: ituc
# HZ:         100  Arch: x86_64-linux-gnu-thread-multi PageSize: 4096
# Cpu:        GenuineIntel Speed(MHz): 2200.168 Cores: 8  Siblings: 8 Nodes: 4
# Kernel:     3.13.0-100-generic  Memory: 131822812 kB  Swap: 3145724 kB
# NumDisks:   7 DiskNames: sdb sdc sde sdd sdf sdg sda
# NumNets:    9 NetNames: eth0:1000 eth1:?? eth2:?? eth3:?? eth4:10000 eth5:10000 eth6:10000 eth7:10000 lo:??
# SCSI:       DA:0:00:00:00 DA:0:00:01:00 DA:0:00:02:00 DA:0:00:03:00 DA:0:00:04:00 DA:0:00:05:00 DA:0:00:06:00 ??:0:00:32:00
################################################################################
#Date Time [CPU]User% [CPU]Nice% [CPU]Sys% [CPU]Wait% [CPU]Irq% [CPU]Soft% [CPU]Steal% [CPU]Idle% [CPU]Totl% [CPU]Intrpt/sec [CPU]Ctx/sec [CPU]Proc/sec [CPU]ProcQue [CPU]ProcRun [CPU]L-Avg1 [CPU]L-Avg5 [CPU]L-Avg15 [CPU]RunTot [CPU]BlkTot
20180125 10:12:30 3 0 45 0 0 23 0 28 72 3025159 1567910 0 683 20 13.60 6.51 2.57 22 0
20180125 10:12:31 3 0 45 0 0 23 0 28 72 3064156 1566528 0 683 18 13.60 6.51 2.57 23 0
20180125 10:12:32 3 0 46 0 0 22 0 28 72 3108116 1563879 0 683 21 14.11 6.74 2.67 27 0
20180125 10:12:33 3 0 46 0 0 22 0 29 71 3071822 1568481 0 683 23 14.11 6.74 2.67 21 0
20180125 10:12:34 3 0 46 0 0 23 0 28 72 3024769 1567324 0 683 19 14.11 6.74 2.67 23 0
20180125 10:12:35 3 0 46 0 0 23 0 28 72 3020140 1565687 0 683 19 14.11 6.74 2.67 24 0
20180125 10:12:36 3 0 45 0 0 24 0 28 72 3020871 1564816 0 683 22 14.11 6.74 2.67 27 0
20180125 10:12:37 3 0 45 0 0 23 0 28 72 3017548 1566837 0 683 23 15.07 7.06 2.79 23 0
20180125 10:12:38 3 0 47 0 0 22 0 28 72 3024263 1566299 0 683 24 15.07 7.06 2.79 25 0
20180125 10:12:39 3 0 46 0 0 22 0 29 71 3030344 1563689 0 683 18 15.07 7.06 2.79 17 0
20180125 10:12:40 3 0 46 0 0 22 0 28 72 3019981 1570420 0 683 20 15.07 7.06 2.79 23 0
20180125 10:12:41 3 0 46 0 0 23 0 28 72 3027416 1567597 0 683 25 15.07 7.06 2.79 17 0
20180125 10:12:42 3 0 45 0 0 23 0 29 71 3012738 1565391 0 683 22 14.98 7.17 2.85 22 0
20180125 10:12:43 3 0 46 0 0 22 0 29 71 3006359 1574832 0 683 25 14.98 7.17 2.85 22 0
20180125 10:12:44 3 0 46 0 0 22 0 29 71 3018715 1576135 0 683 22 14.98 7.17 2.85 26 0
20180125 10:12:45 3 0 46 0 0 23 0 28 72 3017002 1571832 0 683 29 14.98 7.17 2.85 26 0
20180125 10:12:46 3 0 46 0 0 23 0 28 72 3027780 1571567 0 683 22 14.98 7.17 2.85 20 0
20180125 10:12:47 3 0 47 0 0 22 0 28 72 3020497 1571618 0 683 25 15.06 7.32 2.92 26 0
20180125 10:12:48 3 0 46 0 0 23 0 28 72 3005836 1573372 0 683 21 15.06 7.32 2.92 21 0
20180125 10:12:49 3 0 45 0 0 23 0 28 72 3013056 1572223 0 683 13 15.06 7.32 2.92 22 0
20180125 10:12:50 3 0 46 0 0 22 0 29 71 3002452 1573939 0 683 17 15.06 7.32 2.92 31 0
20180125 10:12:51 3 0 46 0 0 22 0 29 71 3010923 1572456 0 683 25 15.06 7.32 2.92 25 0
20180125 10:12:52 3 0 46 0 0 23 0 28 72 3021161 1567629 0 683 31 15.30 7.50 3.00 21 0
20180125 10:12:53 3 0 47 0 0 22 0 28 72 3022054 1571876 0 683 26 15.30 7.50 3.00 24 0
20180125 10:12:54 3 0 46 0 0 22 0 28 72 3027198 1572221 0 683 25 15.30 7.50 3.00 22 0
20180125 10:12:55 3 0 46 0 0 23 0 29 71 3018693 1571929 0 683 19 15.30 7.50 3.00 22 0
20180125 10:12:56 3 0 46 0 0 21 0 30 70 3033286 1605568 0 683 21 15.30 7.50 3.00 23 0
20180125 10:12:57 3 0 46 0 0 20 0 31 69 3038559 1666624 0 683 21 15.75 7.72 3.10 18 0
20180125 10:12:58 3 0 45 0 0 21 0 31 69 3040337 1665710 0 683 26 15.75 7.72 3.10 19 0
20180125 10:12:59 3 0 46 0 0 21 0 31 69 3043424 1661125 0 683 20 15.75 7.72 3.10 24 0
20180125 10:13:00 3 0 45 0 0 20 0 31 69 3033832 1666347 0 683 17 15.75 7.72 3.10 19 0
20180125 10:13:01 3 0 45 0 0 20 0 32 68 3032597 1668622 0 683 24 15.75 7.72 3.10 22 0
20180125 10:13:02 3 0 45 0 0 20 0 32 68 3032641 1674032 0 683 22 15.45 7.79 3.15 18 0
20180125 10:13:03 3 0 45 0 0 21 0 31 69 3038270 1663629 0 683 26 15.45 7.79 3.15 23 0
20180125 10:13:04 3 0 45 0 0 21 0 31 69 3043457 1665246 0 683 21 15.45 7.79 3.15 20 0
20180125 10:13:05 3 0 45 0 0 21 0 31 69 3028240 1661648 0 683 27 15.45 7.79 3.15 18 0
20180125 10:13:06 3 0 45 0 0 21 0 31 69 3037848 1669255 0 683 24 15.45 7.79 3.15 19 0
20180125 10:13:07 3 0 44 0 0 21 0 32 68 3014356 1671924 0 683 26 15.34 7.89 3.21 26 0
20180125 10:13:08 3 0 44 0 0 20 0 32 68 3027725 1670528 0 683 23 15.34 7.89 3.21 30 0
20180125 10:13:09 3 0 45 0 0 20 0 31 69 3021388 1671281 0 683 24 15.34 7.89 3.21 24 0
