################################################################################
# Collectl:   V3.6.9-1  HiRes: 1  Options: -P -f results/2018-01-29-14-58/clock_1event_u40_c8193_14.dat -sc -c40 -oaz 
# Host:       server-0  DaemonOpts: 
# Booted:     1517260307.2 [20180129-14:11:47]
# Distro:     debian jessie/sid, Ubuntu 14.04.1 LTS  Platform: 
# Date:       20180129-153415  Secs: 1517265255 TZ: -0700
# SubSys:     c Options: az Interval: 1 NumCPUs: 64  CPUsDis: 1 NumBud: 0 Flags: iD
# Filters:    NfsFilt:  EnvFilt:  TcpFilt: ituc
# HZ:         100  Arch: x86_64-linux-gnu-thread-multi PageSize: 4096
# Cpu:        GenuineIntel Speed(MHz): 2200.021 Cores: 8  Siblings: 8 Nodes: 4
# Kernel:     3.13.0-100-generic  Memory: 131822812 kB  Swap: 3145724 kB
# NumDisks:   7 DiskNames: sdb sdd sdc sde sdf sdg sda
# NumNets:    9 NetNames: eth0:1000 eth1:?? eth2:?? eth3:?? eth4:10000 eth5:10000 eth6:10000 eth7:10000 lo:??
# SCSI:       DA:0:00:00:00 DA:0:00:01:00 DA:0:00:02:00 DA:0:00:03:00 DA:0:00:04:00 DA:0:00:05:00 DA:0:00:06:00 ??:0:00:32:00
################################################################################
#Date Time [CPU]User% [CPU]Nice% [CPU]Sys% [CPU]Wait% [CPU]Irq% [CPU]Soft% [CPU]Steal% [CPU]Idle% [CPU]Totl% [CPU]Intrpt/sec [CPU]Ctx/sec [CPU]Proc/sec [CPU]ProcQue [CPU]ProcRun [CPU]L-Avg1 [CPU]L-Avg5 [CPU]L-Avg15 [CPU]RunTot [CPU]BlkTot
20180129 15:34:18 3 0 57 0 0 40 0 0 100 4996661 6656 0 687 32 30.61 28.86 20.60 32 0
20180129 15:34:19 3 0 56 0 0 41 0 0 100 5005639 6628 0 687 32 30.61 28.86 20.60 32 0
20180129 15:34:20 3 0 57 0 0 40 0 0 100 5004265 6647 0 687 32 30.61 28.86 20.60 32 0
20180129 15:34:21 3 0 57 0 0 40 0 0 100 5007126 6555 0 687 32 30.61 28.86 20.60 32 0
20180129 15:34:22 3 0 56 0 0 41 0 0 100 5010116 6788 0 687 32 30.80 28.93 20.67 32 0
20180129 15:34:23 3 0 57 0 0 40 0 0 100 5006948 6599 0 687 32 30.80 28.93 20.67 32 0
20180129 15:34:24 3 0 56 0 0 41 0 0 100 5020700 6695 0 687 32 30.80 28.93 20.67 32 0
20180129 15:34:25 3 0 57 0 0 40 0 0 100 5009445 6579 0 687 42 30.80 28.93 20.67 32 0
20180129 15:34:26 3 0 56 0 0 41 0 0 100 5005800 6658 0 687 32 30.80 28.93 20.67 32 0
20180129 15:34:27 3 0 56 0 0 41 0 0 100 5018629 6656 0 687 32 30.90 28.98 20.73 32 0
20180129 15:34:28 3 0 56 0 0 41 0 0 100 5008674 6795 0 687 32 30.90 28.98 20.73 32 0
20180129 15:34:29 3 0 57 0 0 40 0 0 100 5013582 6653 0 687 32 30.90 28.98 20.73 32 0
20180129 15:34:30 3 0 56 0 0 41 0 0 100 5018606 6637 0 687 32 30.90 28.98 20.73 32 0
20180129 15:34:31 3 0 56 0 0 41 0 0 100 5009614 6767 0 687 32 30.90 28.98 20.73 32 0
