################################################################################
# Collectl:   V3.6.9-1  HiRes: 1  Options: -P -f results/2018-01-29-14-58/timer_4096events_u40_c8193_5.dat -sc -c40 -oaz 
# Host:       server-0  DaemonOpts: 
# Booted:     1517260307.2 [20180129-14:11:47]
# Distro:     debian jessie/sid, Ubuntu 14.04.1 LTS  Platform: 
# Date:       20180129-155944  Secs: 1517266784 TZ: -0700
# SubSys:     c Options: az Interval: 1 NumCPUs: 64  CPUsDis: 1 NumBud: 0 Flags: iD
# Filters:    NfsFilt:  EnvFilt:  TcpFilt: ituc
# HZ:         100  Arch: x86_64-linux-gnu-thread-multi PageSize: 4096
# Cpu:        GenuineIntel Speed(MHz): 2200.021 Cores: 8  Siblings: 8 Nodes: 4
# Kernel:     3.13.0-100-generic  Memory: 131822812 kB  Swap: 3145724 kB
# NumDisks:   7 DiskNames: sdb sdd sdc sde sdf sdg sda
# NumNets:    9 NetNames: eth0:1000 eth1:?? eth2:?? eth3:?? eth4:10000 eth5:10000 eth6:10000 eth7:10000 lo:??
# SCSI:       DA:0:00:00:00 DA:0:00:01:00 DA:0:00:02:00 DA:0:00:03:00 DA:0:00:04:00 DA:0:00:05:00 DA:0:00:06:00 ??:0:00:32:00
################################################################################
#Date Time [CPU]User% [CPU]Nice% [CPU]Sys% [CPU]Wait% [CPU]Irq% [CPU]Soft% [CPU]Steal% [CPU]Idle% [CPU]Totl% [CPU]Intrpt/sec [CPU]Ctx/sec [CPU]Proc/sec [CPU]ProcQue [CPU]ProcRun [CPU]L-Avg1 [CPU]L-Avg5 [CPU]L-Avg15 [CPU]RunTot [CPU]BlkTot
20180129 15:59:47 2 0 59 0 0 39 0 0 100 4255265 6474 0 687 32 30.40 27.08 25.03 32 0
20180129 15:59:48 2 0 59 0 0 39 0 0 100 4247179 6464 0 687 32 30.53 27.16 25.07 32 0
20180129 15:59:49 2 0 60 0 0 38 0 0 100 4255441 6294 0 687 32 30.53 27.16 25.07 32 0
20180129 15:59:50 2 0 59 0 0 38 0 0 100 4251010 6380 0 687 32 30.53 27.16 25.07 32 0
20180129 15:59:51 2 0 59 0 0 39 0 0 100 4223025 6479 0 687 33 30.53 27.16 25.07 33 0
20180129 15:59:52 2 0 59 0 0 39 0 0 100 4216741 6447 0 687 32 30.53 27.16 25.07 32 0
20180129 15:59:53 2 0 59 0 0 38 0 0 100 4203634 6417 0 687 32 30.65 27.25 25.11 32 0
20180129 15:59:54 2 0 59 0 0 39 0 0 100 4180168 6440 0 687 32 30.65 27.25 25.11 32 0
20180129 15:59:55 2 0 59 0 0 39 0 0 100 4158821 6363 0 687 32 30.65 27.25 25.11 32 0
20180129 15:59:56 2 0 59 0 0 39 0 0 100 4162353 6494 0 687 32 30.65 27.25 25.11 32 0
20180129 15:59:57 2 0 60 0 0 38 0 0 100 4180658 6253 0 687 32 30.65 27.25 25.11 32 0
20180129 15:59:58 2 0 59 0 0 39 0 0 100 4151550 6455 0 687 32 30.76 27.32 25.15 32 0
20180129 15:59:59 2 0 59 0 0 39 0 0 100 4170966 6357 0 687 33 30.76 27.32 25.15 32 0
20180129 16:00:00 2 0 58 0 0 39 0 0 100 4162442 6502 0 687 32 30.76 27.32 25.15 32 0
20180129 16:00:01 3 0 58 0 0 39 0 0 100 4162657 6539 0 687 32 30.76 27.32 25.15 32 0
20180129 16:00:02 2 0 59 0 0 39 0 0 100 4183064 6455 0 687 32 30.76 27.32 25.15 32 0
20180129 16:00:03 2 0 60 0 0 38 0 0 100 4158510 6232 0 687 32 30.86 27.40 25.18 32 0
20180129 16:00:04 2 0 59 0 0 39 0 0 100 4190480 6504 0 687 32 30.86 27.40 25.18 32 0
20180129 16:00:05 2 0 59 0 0 39 0 0 100 4177303 6427 0 687 32 30.86 27.40 25.18 32 0
20180129 16:00:06 2 0 60 0 0 38 0 0 100 4166656 6272 0 687 32 30.86 27.40 25.18 32 0
20180129 16:00:07 2 0 59 0 0 39 0 0 100 4164383 6370 0 687 32 30.86 27.40 25.18 32 0
20180129 16:00:08 2 0 59 0 0 38 0 0 100 4151619 6360 0 687 32 30.95 27.48 25.22 32 0
20180129 16:00:09 2 0 59 0 0 39 0 0 100 4181522 6369 0 687 32 30.95 27.48 25.22 32 0
20180129 16:00:10 2 0 59 0 0 39 0 0 100 4162177 6399 0 687 32 30.95 27.48 25.22 32 0
20180129 16:00:11 2 0 60 0 0 38 0 0 100 4167075 6324 0 687 32 30.95 27.48 25.22 32 0
20180129 16:00:12 2 0 59 0 0 39 0 0 100 4153819 6436 0 687 32 30.95 27.48 25.22 32 0
20180129 16:00:13 2 0 59 0 0 39 0 0 100 4137106 6423 0 687 32 31.03 27.55 25.26 32 0
20180129 16:00:14 2 0 59 0 0 39 0 0 100 4175288 6450 0 687 32 31.03 27.55 25.26 32 0
20180129 16:00:15 2 0 60 0 0 37 0 0 100 4165117 6124 0 687 32 31.03 27.55 25.26 32 0
20180129 16:00:16 2 0 58 0 0 39 0 0 100 4162164 6560 0 687 34 31.03 27.55 25.26 32 0
20180129 16:00:17 2 0 59 0 0 39 0 0 100 4136968 6476 0 687 33 31.03 27.55 25.26 33 0
20180129 16:00:18 2 0 59 0 0 39 0 0 100 4174712 6422 0 687 32 31.11 27.63 25.29 32 0
20180129 16:00:19 2 0 60 0 0 38 0 0 100 4153093 6314 0 687 32 31.11 27.63 25.29 32 0
