################################################################################
# Collectl:   V3.6.9-1  HiRes: 1  Options: -P -f results/2018-01-30-10-08/pinned_allifaces_u40_c891_34.dat -sc -c40 -oaz 
# Host:       server-0  DaemonOpts: 
# Booted:     1517322574.84 [20180130-07:29:34]
# Distro:     debian jessie/sid, Ubuntu 14.04.1 LTS  Platform: 
# Date:       20180130-122633  Secs: 1517340393 TZ: -0700
# SubSys:     c Options: az Interval: 1 NumCPUs: 64  CPUsDis: 1 NumBud: 0 Flags: iD
# Filters:    NfsFilt:  EnvFilt:  TcpFilt: ituc
# HZ:         100  Arch: x86_64-linux-gnu-thread-multi PageSize: 4096
# Cpu:        GenuineIntel Speed(MHz): 2199.987 Cores: 8  Siblings: 8 Nodes: 4
# Kernel:     3.13.0-100-generic  Memory: 131822812 kB  Swap: 3145724 kB
# NumDisks:   7 DiskNames: sdb sdc sde sdd sdf sdg sda
# NumNets:    9 NetNames: eth0:1000 eth1:?? eth2:?? eth3:?? eth4:10000 eth5:10000 eth6:10000 eth7:10000 lo:??
# SCSI:       DA:0:00:00:00 DA:0:00:01:00 DA:0:00:02:00 DA:0:00:03:00 DA:0:00:04:00 DA:0:00:05:00 DA:0:00:06:00 ??:0:00:32:00
################################################################################
#Date Time [CPU]User% [CPU]Nice% [CPU]Sys% [CPU]Wait% [CPU]Irq% [CPU]Soft% [CPU]Steal% [CPU]Idle% [CPU]Totl% [CPU]Intrpt/sec [CPU]Ctx/sec [CPU]Proc/sec [CPU]ProcQue [CPU]ProcRun [CPU]L-Avg1 [CPU]L-Avg5 [CPU]L-Avg15 [CPU]RunTot [CPU]BlkTot
20180130 12:26:36 2 0 52 0 0 46 0 0 100 5376175 8304 0 687 34 31.34 27.82 21.75 32 0
20180130 12:26:37 2 0 53 0 0 45 0 0 100 5376048 8128 0 687 32 31.34 27.82 21.75 32 0
20180130 12:26:38 2 0 51 0 0 46 0 0 100 5359161 8491 0 687 34 31.34 27.82 21.75 32 0
20180130 12:26:39 2 0 52 0 0 46 0 0 100 5374136 8193 0 687 33 31.39 27.89 21.81 32 0
20180130 12:26:40 2 0 52 0 0 46 0 0 100 5375134 8297 0 687 34 31.39 27.89 21.81 32 0
20180130 12:26:41 3 0 52 0 0 46 0 0 100 5363767 8423 0 687 34 31.39 27.89 21.81 32 0
20180130 12:26:42 2 0 52 0 0 46 0 0 100 5373303 8183 0 687 33 31.39 27.89 21.81 32 0
20180130 12:26:43 2 0 52 0 0 46 0 0 100 5364284 8258 0 687 35 31.39 27.89 21.81 32 0
20180130 12:26:44 2 0 51 0 0 47 0 0 100 5358202 8341 0 687 32 31.44 27.96 21.86 32 0
20180130 12:26:45 2 0 51 0 0 46 0 0 100 5365177 8348 0 687 34 31.44 27.96 21.86 32 0
20180130 12:26:46 2 0 52 0 0 46 0 0 100 5370428 8378 0 687 34 31.44 27.96 21.86 32 0
20180130 12:26:47 3 0 52 0 0 46 0 0 100 5357763 8300 0 687 34 31.44 27.96 21.86 32 0
20180130 12:26:48 3 0 51 0 0 46 0 0 100 5360125 8397 0 687 35 31.44 27.96 21.86 32 0
20180130 12:26:49 2 0 52 0 0 46 0 0 100 5371193 8307 0 687 33 31.49 28.03 21.92 32 0
20180130 12:26:50 2 0 52 0 0 46 0 0 100 5368405 8332 0 687 33 31.49 28.03 21.92 32 0
20180130 12:26:51 2 0 52 0 0 46 0 0 100 5367415 8301 0 687 34 31.49 28.03 21.92 32 0
20180130 12:26:52 2 0 52 0 0 46 0 0 100 5367120 8196 0 687 33 31.49 28.03 21.92 32 0
20180130 12:26:53 2 0 53 0 0 45 0 0 100 5365371 8119 0 687 32 31.49 28.03 21.92 32 0
20180130 12:26:54 3 0 51 0 0 46 0 0 100 5372635 8271 0 687 33 31.53 28.09 21.97 32 0
20180130 12:26:55 3 0 51 0 0 46 0 0 100 5382022 8312 0 687 34 31.53 28.09 21.97 32 0
20180130 12:26:56 3 0 52 0 0 46 0 0 100 5367500 8347 0 687 33 31.53 28.09 21.97 33 0
20180130 12:26:57 2 0 52 0 0 46 0 0 100 5362324 8191 0 687 33 31.53 28.09 21.97 32 0
20180130 12:26:58 3 0 51 0 0 46 0 0 100 5362019 8241 0 687 33 31.53 28.09 21.97 32 0
