################################################################################
# Collectl:   V3.6.9-1  HiRes: 1  Options: -P -f results/2018-01-30-10-08/pinned_u40_c33_2.dat -sc -c40 -oaz 
# Host:       server-0  DaemonOpts: 
# Booted:     1517322575 [20180130-07:29:35]
# Distro:     debian jessie/sid, Ubuntu 14.04.1 LTS  Platform: 
# Date:       20180130-101314  Secs: 1517332394 TZ: -0700
# SubSys:     c Options: az Interval: 1 NumCPUs: 64  CPUsDis: 1 NumBud: 0 Flags: iD
# Filters:    NfsFilt:  EnvFilt:  TcpFilt: ituc
# HZ:         100  Arch: x86_64-linux-gnu-thread-multi PageSize: 4096
# Cpu:        GenuineIntel Speed(MHz): 2199.987 Cores: 8  Siblings: 8 Nodes: 4
# Kernel:     3.13.0-100-generic  Memory: 131822812 kB  Swap: 3145724 kB
# NumDisks:   7 DiskNames: sdb sdc sde sdd sdf sdg sda
# NumNets:    9 NetNames: eth0:1000 eth1:?? eth2:?? eth3:?? eth4:10000 eth5:10000 eth6:10000 eth7:10000 lo:??
# SCSI:       DA:0:00:00:00 DA:0:00:01:00 DA:0:00:02:00 DA:0:00:03:00 DA:0:00:04:00 DA:0:00:05:00 DA:0:00:06:00 ??:0:00:32:00
################################################################################
#Date Time [CPU]User% [CPU]Nice% [CPU]Sys% [CPU]Wait% [CPU]Irq% [CPU]Soft% [CPU]Steal% [CPU]Idle% [CPU]Totl% [CPU]Intrpt/sec [CPU]Ctx/sec [CPU]Proc/sec [CPU]ProcQue [CPU]ProcRun [CPU]L-Avg1 [CPU]L-Avg5 [CPU]L-Avg15 [CPU]RunTot [CPU]BlkTot
20180130 10:13:17 2 0 23 0 0 1 0 74 26 1089485 1116854 0 690 10 9.13 3.78 1.45 9 0
20180130 10:13:18 2 0 24 0 0 2 0 73 27 1096015 1104518 0 690 10 8.88 3.82 1.47 7 0
20180130 10:13:19 1 0 23 0 0 1 0 74 26 1111236 1112666 0 690 5 8.88 3.82 1.47 7 0
20180130 10:13:20 1 0 23 0 0 1 0 75 25 1102162 1133352 0 690 9 8.88 3.82 1.47 14 0
20180130 10:13:21 1 0 22 0 0 1 0 75 25 1109780 1124591 0 690 19 8.88 3.82 1.47 8 0
20180130 10:13:22 1 0 23 0 0 1 0 75 25 1106379 1136281 0 690 5 8.88 3.82 1.47 13 0
20180130 10:13:23 1 0 22 0 0 1 0 76 24 1097806 1154267 0 690 12 8.49 3.82 1.49 8 0
20180130 10:13:24 1 0 22 0 0 1 0 76 24 1090877 1168878 0 690 7 8.49 3.82 1.49 9 0
20180130 10:13:25 1 0 22 0 0 1 0 76 24 1100500 1168372 0 690 5 8.49 3.82 1.49 11 0
20180130 10:13:26 1 0 21 0 0 1 0 77 23 1090030 1167844 0 690 13 8.49 3.82 1.49 5 0
20180130 10:13:27 1 0 22 0 0 1 0 76 24 1102613 1159300 0 690 10 8.49 3.82 1.49 5 0
20180130 10:13:28 1 0 22 0 0 1 0 76 24 1155192 1170178 0 690 10 8.53 3.91 1.53 9 0
20180130 10:13:29 1 0 22 0 0 1 0 76 24 1218873 1169382 0 690 13 8.53 3.91 1.53 9 0
20180130 10:13:30 1 0 23 0 0 1 0 75 25 1224813 1155806 0 690 12 8.53 3.91 1.53 1 0
20180130 10:13:31 1 0 23 0 0 1 0 74 26 1223318 1167555 0 690 8 8.53 3.91 1.53 7 0
20180130 10:13:32 1 0 23 0 0 0 0 75 25 1115291 1147519 0 690 10 8.53 3.91 1.53 12 0
20180130 10:13:33 1 0 22 0 0 1 0 76 24 1100489 1152661 0 690 5 8.25 3.92 1.55 11 0
20180130 10:13:34 1 0 22 0 0 1 0 76 24 1095637 1169944 0 690 10 8.25 3.92 1.55 1 0
20180130 10:13:35 1 0 22 0 0 1 0 76 24 1107583 1158347 0 690 6 8.25 3.92 1.55 8 0
20180130 10:13:36 1 0 21 0 0 1 0 77 23 1092264 1169148 0 690 7 8.25 3.92 1.55 10 0
20180130 10:13:37 1 0 22 0 0 1 0 76 24 1103405 1167971 0 690 7 8.25 3.92 1.55 11 0
20180130 10:13:38 1 0 21 0 0 1 0 77 23 1102564 1156772 0 690 10 7.99 3.94 1.57 5 0
20180130 10:13:39 1 0 22 0 0 1 0 76 24 1098824 1156812 0 690 10 7.99 3.94 1.57 12 0
20180130 10:13:40 1 0 21 0 0 1 0 77 23 1097475 1166844 0 690 11 7.99 3.94 1.57 9 0
20180130 10:13:41 1 0 22 0 0 1 0 76 24 1103372 1152944 0 690 14 7.99 3.94 1.57 12 0
20180130 10:13:42 1 0 22 0 0 1 0 76 24 1107076 1141962 0 690 12 7.99 3.94 1.57 5 0
20180130 10:13:43 1 0 21 0 0 1 0 78 22 1104578 1145732 0 690 8 7.75 3.96 1.58 8 0
20180130 10:13:44 1 0 23 0 0 1 0 75 25 1091286 1155015 0 690 14 7.75 3.96 1.58 8 0
20180130 10:13:45 1 0 22 0 0 1 0 77 23 1097064 1164244 0 690 10 7.75 3.96 1.58 7 0
20180130 10:13:46 1 0 22 0 0 1 0 77 23 1096252 1166495 0 690 7 7.75 3.96 1.58 12 0
20180130 10:13:47 1 0 22 0 0 1 0 76 24 1103147 1146664 0 690 4 7.75 3.96 1.58 8 0
20180130 10:13:48 1 0 23 0 0 1 0 76 24 1094963 1165458 0 690 11 7.45 3.96 1.60 14 0
20180130 10:13:49 1 0 21 0 0 1 0 77 23 1097776 1183508 0 690 12 7.45 3.96 1.60 9 0
20180130 10:13:50 1 0 22 0 0 1 0 77 23 1101493 1170516 0 690 8 7.45 3.96 1.60 7 0
20180130 10:13:51 1 0 22 0 0 0 0 76 24 1092195 1168823 0 690 9 7.45 3.96 1.60 7 0
20180130 10:13:52 1 0 21 0 0 0 0 77 23 1100759 1162681 0 690 13 7.45 3.96 1.60 9 0
