################################################################################
# Collectl:   V3.6.9-1  HiRes: 1  Options: -P -f results/2018-01-30-10-08/tcp_pincli_u40_c33_2.dat -sc -c40 -oaz 
# Host:       server-0  DaemonOpts: 
# Booted:     1517410719.49 [20180131-07:58:39]
# Distro:     debian jessie/sid, Ubuntu 14.04.1 LTS  Platform: 
# Date:       20180131-120154  Secs: 1517425314 TZ: -0700
# SubSys:     c Options: az Interval: 1 NumCPUs: 64  CPUsDis: 1 NumBud: 0 Flags: iD
# Filters:    NfsFilt:  EnvFilt:  TcpFilt: ituc
# HZ:         100  Arch: x86_64-linux-gnu-thread-multi PageSize: 4096
# Cpu:        GenuineIntel Speed(MHz): 2199.972 Cores: 8  Siblings: 8 Nodes: 4
# Kernel:     3.13.0-100-generic  Memory: 131822812 kB  Swap: 3145724 kB
# NumDisks:   7 DiskNames: sdc sdb sdd sde sdf sdg sda
# NumNets:    9 NetNames: eth0:1000 eth1:?? eth2:?? eth3:?? eth4:10000 eth5:10000 eth6:10000 eth7:10000 lo:??
# SCSI:       DA:0:00:00:00 DA:0:00:01:00 DA:0:00:02:00 DA:0:00:03:00 DA:0:00:04:00 DA:0:00:05:00 DA:0:00:06:00 ??:0:00:32:00
################################################################################
#Date Time [CPU]User% [CPU]Nice% [CPU]Sys% [CPU]Wait% [CPU]Irq% [CPU]Soft% [CPU]Steal% [CPU]Idle% [CPU]Totl% [CPU]Intrpt/sec [CPU]Ctx/sec [CPU]Proc/sec [CPU]ProcQue [CPU]ProcRun [CPU]L-Avg1 [CPU]L-Avg5 [CPU]L-Avg15 [CPU]RunTot [CPU]BlkTot
20180131 12:01:57 1 0 24 0 0 0 0 74 26 891020 1298445 0 687 8 10.28 12.17 17.87 7 0
20180131 12:01:58 1 0 24 0 0 1 0 74 26 888769 1296356 0 687 3 10.28 12.17 17.87 10 0
20180131 12:01:59 1 0 23 0 0 0 0 75 25 889353 1296798 0 687 15 10.28 12.17 17.87 8 0
20180131 12:02:00 1 0 22 0 0 0 0 76 24 890399 1297790 0 687 10 10.28 12.17 17.87 17 0
20180131 12:02:01 1 0 24 0 0 0 0 74 26 889501 1296793 0 687 18 10.18 12.12 17.83 12 0
20180131 12:02:02 1 0 25 0 0 0 0 73 27 889257 1296488 0 687 9 10.18 12.12 17.83 5 0
20180131 12:02:03 1 0 25 0 0 0 0 74 26 890459 1297980 0 687 5 10.18 12.12 17.83 9 0
20180131 12:02:04 1 0 24 0 0 1 0 74 26 889756 1296961 0 687 1 10.18 12.12 17.83 12 0
20180131 12:02:05 1 0 25 0 0 1 0 73 27 890065 1298111 0 687 4 10.18 12.12 17.83 12 0
20180131 12:02:06 1 0 24 0 0 0 0 74 26 889262 1296505 0 687 4 9.76 12.00 17.76 3 0
20180131 12:02:07 1 0 23 0 0 1 0 75 25 887656 1295154 0 687 4 9.76 12.00 17.76 8 0
20180131 12:02:08 1 0 24 0 0 0 0 74 26 888928 1296244 0 687 17 9.76 12.00 17.76 13 0
20180131 12:02:09 1 0 24 0 0 0 0 75 25 890279 1297703 0 687 9 9.76 12.00 17.76 6 0
20180131 12:02:10 1 0 23 0 0 1 0 75 25 889786 1297337 0 687 11 9.76 12.00 17.76 7 0
20180131 12:02:11 1 0 24 0 0 0 0 74 26 889701 1296754 0 687 13 9.38 11.88 17.69 14 0
20180131 12:02:12 1 0 24 0 0 0 0 74 26 891120 1299182 0 687 3 9.38 11.88 17.69 16 0
20180131 12:02:13 1 0 24 0 0 0 0 74 26 889453 1297317 0 687 8 9.38 11.88 17.69 7 0
20180131 12:02:14 1 0 24 0 0 0 0 74 26 889585 1296497 0 687 8 9.38 11.88 17.69 11 0
20180131 12:02:15 1 0 25 0 0 0 0 73 27 890243 1297140 0 687 8 9.38 11.88 17.69 12 0
20180131 12:02:16 1 0 24 0 0 0 0 74 26 889734 1296852 0 687 13 9.43 11.85 17.65 9 0
20180131 12:02:17 1 0 25 0 0 1 0 73 27 891296 1299824 0 687 10 9.43 11.85 17.65 18 0
20180131 12:02:18 1 0 25 0 0 1 0 73 27 890262 1297944 0 687 13 9.43 11.85 17.65 9 0
20180131 12:02:19 1 0 24 0 0 0 0 74 26 888443 1295010 0 687 18 9.43 11.85 17.65 9 0
20180131 12:02:20 1 0 25 0 0 1 0 73 27 891287 1298808 0 687 13 9.43 11.85 17.65 6 0
20180131 12:02:21 1 0 24 0 0 0 0 74 26 889957 1297031 0 687 8 9.16 11.75 17.58 9 0
20180131 12:02:22 1 0 24 0 0 1 0 74 26 888932 1295264 0 687 9 9.16 11.75 17.58 9 0
20180131 12:02:23 1 0 24 0 0 0 0 75 25 889336 1296522 0 687 9 9.16 11.75 17.58 4 0
20180131 12:02:24 1 0 24 0 0 0 0 74 26 889677 1296866 0 687 4 9.16 11.75 17.58 9 0
