################################################################################
# Collectl:   V3.6.9-1  HiRes: 1  Options: -P -f results/2018-01-30-10-08/udp_mmsg2_u40_c2673_2.dat -sc -c40 -oaz 
# Host:       server-0  DaemonOpts: 
# Booted:     1517410718.91 [20180131-07:58:38]
# Distro:     debian jessie/sid, Ubuntu 14.04.1 LTS  Platform: 
# Date:       20180131-102043  Secs: 1517419243 TZ: -0700
# SubSys:     c Options: az Interval: 1 NumCPUs: 64  CPUsDis: 1 NumBud: 0 Flags: iD
# Filters:    NfsFilt:  EnvFilt:  TcpFilt: ituc
# HZ:         100  Arch: x86_64-linux-gnu-thread-multi PageSize: 4096
# Cpu:        GenuineIntel Speed(MHz): 2199.972 Cores: 8  Siblings: 8 Nodes: 4
# Kernel:     3.13.0-100-generic  Memory: 131822812 kB  Swap: 3145724 kB
# NumDisks:   7 DiskNames: sdc sdb sdd sde sdf sdg sda
# NumNets:    9 NetNames: eth0:1000 eth1:?? eth2:?? eth3:?? eth4:10000 eth5:10000 eth6:10000 eth7:10000 lo:??
# SCSI:       DA:0:00:00:00 DA:0:00:01:00 DA:0:00:02:00 DA:0:00:03:00 DA:0:00:04:00 DA:0:00:05:00 DA:0:00:06:00 ??:0:00:32:00
################################################################################
#Date Time [CPU]User% [CPU]Nice% [CPU]Sys% [CPU]Wait% [CPU]Irq% [CPU]Soft% [CPU]Steal% [CPU]Idle% [CPU]Totl% [CPU]Intrpt/sec [CPU]Ctx/sec [CPU]Proc/sec [CPU]ProcQue [CPU]ProcRun [CPU]L-Avg1 [CPU]L-Avg5 [CPU]L-Avg15 [CPU]RunTot [CPU]BlkTot
20180131 10:20:46 1 0 61 0 0 38 0 1 99 1596303 29220 0 691 35 22.48 7.97 6.76 34 0
20180131 10:20:48 0 0 61 0 0 38 0 1 99 1597324 34826 0 691 35 22.48 7.97 6.76 37 0
20180131 10:20:49 0 0 61 0 0 38 0 1 99 1597173 38023 0 691 35 22.48 7.97 6.76 34 0
20180131 10:20:50 1 0 61 0 0 38 0 1 99 1598040 27577 0 691 35 22.48 7.97 6.76 34 0
20180131 10:20:51 0 0 62 0 0 37 0 1 99 1595495 30262 0 691 33 22.48 7.97 6.76 35 0
20180131 10:20:52 0 0 61 0 0 38 0 1 99 1600172 29528 0 691 35 23.41 8.40 6.90 34 0
20180131 10:20:53 0 0 61 0 0 38 0 0 100 1596631 24970 0 691 35 23.41 8.40 6.90 34 0
20180131 10:20:54 0 0 61 0 0 38 0 1 99 1596379 27501 0 691 35 23.41 8.40 6.90 34 0
20180131 10:20:55 0 0 60 0 0 39 0 1 99 1594779 32813 0 691 35 23.41 8.40 6.90 34 0
20180131 10:20:56 1 0 61 0 0 38 0 0 100 1597401 24671 0 691 35 23.41 8.40 6.90 34 0
20180131 10:20:57 1 0 61 0 0 38 0 1 99 1596838 29298 0 691 35 24.33 8.85 7.06 34 0
20180131 10:20:58 0 0 61 0 0 38 0 0 100 1597740 23394 0 691 33 24.33 8.85 7.06 34 0
20180131 10:20:59 1 0 61 0 0 38 0 1 99 1597577 26964 0 691 35 24.33 8.85 7.06 34 0
20180131 10:21:00 0 0 61 0 0 38 0 1 99 1594782 32398 0 691 35 24.33 8.85 7.06 35 0
20180131 10:21:01 0 0 61 0 0 38 0 0 100 1596748 23190 0 691 35 24.33 8.85 7.06 34 0
20180131 10:21:02 0 0 61 0 0 38 0 1 99 1596830 33843 0 691 35 25.19 9.28 7.20 34 0
20180131 10:21:03 1 0 61 0 0 38 0 1 99 1597771 29705 0 691 35 25.19 9.28 7.20 34 0
20180131 10:21:04 0 0 61 0 0 38 0 0 100 1597302 25424 0 691 35 25.19 9.28 7.20 34 0
20180131 10:21:05 1 0 60 0 0 39 0 1 99 1595615 28689 0 691 35 25.19 9.28 7.20 34 0
20180131 10:21:06 0 0 62 0 0 37 0 1 99 1597147 32722 0 691 35 25.19 9.28 7.20 34 0
20180131 10:21:07 1 0 61 0 0 38 0 0 100 1596923 23188 0 691 35 25.81 9.67 7.34 34 0
20180131 10:21:08 1 0 60 0 0 39 0 1 99 1596803 28988 0 691 35 25.81 9.67 7.34 35 0
