################################################################################
# Collectl:   V3.6.9-1  HiRes: 1  Options: -P -f results/2018-01-30-10-08/udp_mmsg_3cli_u40_c297_13.dat -sc -c40 -oaz 
# Host:       server-0  DaemonOpts: 
# Booted:     1517410719.78 [20180131-07:58:39]
# Distro:     debian jessie/sid, Ubuntu 14.04.1 LTS  Platform: 
# Date:       20180131-113333  Secs: 1517423613 TZ: -0700
# SubSys:     c Options: az Interval: 1 NumCPUs: 64  CPUsDis: 1 NumBud: 0 Flags: iD
# Filters:    NfsFilt:  EnvFilt:  TcpFilt: ituc
# HZ:         100  Arch: x86_64-linux-gnu-thread-multi PageSize: 4096
# Cpu:        GenuineIntel Speed(MHz): 2199.972 Cores: 8  Siblings: 8 Nodes: 4
# Kernel:     3.13.0-100-generic  Memory: 131822812 kB  Swap: 3145724 kB
# NumDisks:   7 DiskNames: sdc sdb sdd sde sdf sdg sda
# NumNets:    9 NetNames: eth0:1000 eth1:?? eth2:?? eth3:?? eth4:10000 eth5:10000 eth6:10000 eth7:10000 lo:??
# SCSI:       DA:0:00:00:00 DA:0:00:01:00 DA:0:00:02:00 DA:0:00:03:00 DA:0:00:04:00 DA:0:00:05:00 DA:0:00:06:00 ??:0:00:32:00
################################################################################
#Date Time [CPU]User% [CPU]Nice% [CPU]Sys% [CPU]Wait% [CPU]Irq% [CPU]Soft% [CPU]Steal% [CPU]Idle% [CPU]Totl% [CPU]Intrpt/sec [CPU]Ctx/sec [CPU]Proc/sec [CPU]ProcQue [CPU]ProcRun [CPU]L-Avg1 [CPU]L-Avg5 [CPU]L-Avg15 [CPU]RunTot [CPU]BlkTot
20180131 11:33:36 1 0 45 0 0 25 0 29 71 1931573 1061107 0 688 24 21.19 16.21 8.82 21 0
20180131 11:33:37 1 0 46 0 0 25 0 28 72 1930422 1057334 0 688 26 21.19 16.21 8.82 21 0
20180131 11:33:38 1 0 45 0 0 25 0 29 71 1930093 1058712 0 688 22 21.19 16.21 8.82 27 0
20180131 11:33:39 1 0 46 0 0 25 0 28 72 1929084 1057115 0 688 26 21.19 16.21 8.82 26 0
20180131 11:33:40 1 0 46 0 0 25 0 28 72 1929892 1057039 0 688 27 21.10 16.28 8.88 24 0
20180131 11:33:41 1 0 46 0 0 25 0 28 72 1926704 1053401 0 688 20 21.10 16.28 8.88 20 0
20180131 11:33:43 1 0 46 0 0 25 0 29 71 1930143 1059107 0 688 25 21.10 16.28 8.88 23 0
20180131 11:33:44 1 0 45 0 0 26 0 29 71 1927436 1057120 0 688 20 21.10 16.28 8.88 26 0
20180131 11:33:45 0 0 46 0 0 25 0 28 72 1929032 1054066 0 688 26 21.10 16.28 8.88 25 0
20180131 11:33:46 1 0 46 0 0 25 0 28 72 1930422 1056730 0 688 30 21.57 16.45 8.98 25 0
20180131 11:33:47 1 0 46 0 0 25 0 28 72 1925258 1052865 0 688 25 21.57 16.45 8.98 25 0
20180131 11:33:48 1 0 46 0 0 25 0 28 72 1927456 1054844 0 688 23 21.57 16.45 8.98 20 0
20180131 11:33:49 1 0 46 0 0 25 0 28 72 1928945 1057071 0 688 28 21.57 16.45 8.98 23 0
20180131 11:33:50 1 0 46 0 0 25 0 28 72 1925126 1046797 0 688 24 21.57 16.45 8.98 27 0
