################################################################################
# Collectl:   V3.6.9-1  HiRes: 1  Options: -P -f results/2018-01-30-10-08/udp_mmsg_3cli_u40_c99_9.dat -sc -c40 -oaz 
# Host:       server-0  DaemonOpts: 
# Booted:     1517410719 [20180131-07:58:39]
# Distro:     debian jessie/sid, Ubuntu 14.04.1 LTS  Platform: 
# Date:       20180131-112947  Secs: 1517423387 TZ: -0700
# SubSys:     c Options: az Interval: 1 NumCPUs: 64  CPUsDis: 1 NumBud: 0 Flags: iD
# Filters:    NfsFilt:  EnvFilt:  TcpFilt: ituc
# HZ:         100  Arch: x86_64-linux-gnu-thread-multi PageSize: 4096
# Cpu:        GenuineIntel Speed(MHz): 2199.972 Cores: 8  Siblings: 8 Nodes: 4
# Kernel:     3.13.0-100-generic  Memory: 131822812 kB  Swap: 3145724 kB
# NumDisks:   7 DiskNames: sdc sdb sdd sde sdf sdg sda
# NumNets:    9 NetNames: eth0:1000 eth1:?? eth2:?? eth3:?? eth4:10000 eth5:10000 eth6:10000 eth7:10000 lo:??
# SCSI:       DA:0:00:00:00 DA:0:00:01:00 DA:0:00:02:00 DA:0:00:03:00 DA:0:00:04:00 DA:0:00:05:00 DA:0:00:06:00 ??:0:00:32:00
################################################################################
#Date Time [CPU]User% [CPU]Nice% [CPU]Sys% [CPU]Wait% [CPU]Irq% [CPU]Soft% [CPU]Steal% [CPU]Idle% [CPU]Totl% [CPU]Intrpt/sec [CPU]Ctx/sec [CPU]Proc/sec [CPU]ProcQue [CPU]ProcRun [CPU]L-Avg1 [CPU]L-Avg5 [CPU]L-Avg15 [CPU]RunTot [CPU]BlkTot
20180131 11:29:50 0 0 31 0 0 12 0 56 44 1679331 1260925 0 688 18 13.74 10.23 5.37 19 0
20180131 11:29:51 1 0 32 0 0 12 0 56 44 1678755 1258455 0 688 18 13.74 10.23 5.37 19 0
20180131 11:29:52 1 0 31 0 0 12 0 56 44 1677035 1259964 0 688 13 13.74 10.23 5.37 17 0
20180131 11:29:53 1 0 31 0 0 12 0 56 44 1673658 1257494 0 688 17 13.74 10.23 5.37 24 0
20180131 11:29:54 0 0 32 0 0 12 0 56 44 1679155 1257920 0 688 20 13.74 10.23 5.37 16 0
20180131 11:29:55 1 0 31 0 0 12 0 56 44 1672318 1254000 0 688 16 13.92 10.32 5.43 17 0
20180131 11:29:56 1 0 31 0 0 12 0 56 44 1669829 1249916 0 688 17 13.92 10.32 5.43 20 0
20180131 11:29:57 1 0 31 0 0 12 0 56 44 1673090 1251773 0 688 20 13.92 10.32 5.43 16 0
20180131 11:29:58 0 0 31 0 0 12 0 56 44 1673932 1251598 0 688 18 13.92 10.32 5.43 17 0
20180131 11:29:59 1 0 32 0 0 12 0 55 45 1672623 1250799 0 688 18 13.92 10.32 5.43 12 0
20180131 11:30:00 1 0 31 0 0 12 0 56 44 1670928 1250790 0 688 15 13.60 10.32 5.45 15 0
20180131 11:30:01 1 0 32 0 0 12 0 55 45 1671476 1250588 0 688 14 13.60 10.32 5.45 17 0
20180131 11:30:02 1 0 31 0 0 12 0 56 44 1667803 1249820 0 688 16 13.60 10.32 5.45 16 0
20180131 11:30:03 1 0 32 0 0 12 0 55 45 1667891 1251729 0 688 17 13.60 10.32 5.45 20 0
20180131 11:30:04 1 0 32 0 0 12 0 56 44 1669663 1251564 0 688 16 13.60 10.32 5.45 15 0
20180131 11:30:05 1 0 32 0 0 12 0 56 44 1673302 1251477 0 688 16 13.72 10.40 5.50 16 0
20180131 11:30:06 1 0 31 0 0 12 0 56 44 1667459 1250832 0 688 16 13.72 10.40 5.50 18 0
20180131 11:30:07 1 0 31 0 0 12 0 56 44 1669520 1250362 0 688 18 13.72 10.40 5.50 19 0
20180131 11:30:08 1 0 32 0 0 12 0 55 45 1669251 1250999 0 688 19 13.72 10.40 5.50 20 0
20180131 11:30:09 1 0 31 0 0 13 0 56 44 1668849 1251944 0 688 18 13.72 10.40 5.50 17 0
20180131 11:30:10 1 0 31 0 0 12 0 55 45 1670506 1250533 0 688 16 13.50 10.41 5.53 16 0
20180131 11:30:11 1 0 31 0 0 12 0 56 44 1672739 1254696 0 688 17 13.50 10.41 5.53 14 0
20180131 11:30:12 1 0 32 0 0 12 0 55 45 1668781 1250385 0 688 13 13.50 10.41 5.53 19 0
20180131 11:30:13 1 0 31 0 0 13 0 55 45 1671279 1253681 0 688 19 13.50 10.41 5.53 15 0
20180131 11:30:14 1 0 31 0 0 12 0 56 44 1670269 1253219 0 688 14 13.50 10.41 5.53 19 0
20180131 11:30:15 1 0 31 0 0 12 0 55 45 1667864 1251022 0 688 16 14.02 10.57 5.61 17 0
20180131 11:30:16 1 0 32 0 0 12 0 55 45 1669614 1251377 0 688 18 14.02 10.57 5.61 18 0
20180131 11:30:17 1 0 33 0 0 12 0 55 45 1668415 1252134 0 688 12 14.02 10.57 5.61 18 0
20180131 11:30:18 1 0 32 0 0 12 0 56 44 1667245 1251491 0 688 18 14.02 10.57 5.61 15 0
20180131 11:30:19 1 0 31 0 0 12 0 56 44 1671668 1253150 0 688 13 14.02 10.57 5.61 16 0
20180131 11:30:20 1 0 32 0 0 12 0 56 44 1671483 1253031 0 688 13 13.86 10.59 5.64 18 0
20180131 11:30:21 1 0 31 0 0 12 0 56 44 1709689 1249194 0 688 18 13.86 10.59 5.64 18 0
20180131 11:30:22 1 0 31 0 0 13 0 56 44 1741364 1250333 0 688 16 13.86 10.59 5.64 16 0
20180131 11:30:23 1 0 31 0 0 12 0 56 44 1740528 1249689 0 688 16 13.86 10.59 5.64 16 0
20180131 11:30:24 1 0 31 0 0 12 0 56 44 1711023 1250260 0 688 20 13.86 10.59 5.64 17 0
20180131 11:30:25 1 0 32 0 0 12 0 55 45 1670251 1251895 0 688 15 13.95 10.66 5.69 19 0
20180131 11:30:26 1 0 31 0 0 12 0 56 44 1672799 1253045 0 688 13 13.95 10.66 5.69 18 0
20180131 11:30:27 1 0 32 0 0 12 0 56 44 1673258 1253883 0 688 17 13.95 10.66 5.69 20 0
20180131 11:30:28 1 0 32 0 0 12 0 55 45 1671856 1252076 0 688 15 13.95 10.66 5.69 19 0
20180131 11:30:29 1 0 32 0 0 12 0 55 45 1668190 1250698 0 688 19 13.95 10.66 5.69 16 0
