################################################################################
# Collectl:   V3.6.9-1  HiRes: 1  Options: -P -f results/2018-01-30-10-08/udp_mmsg_u40_c2673_41.dat -sc -c40 -oaz 
# Host:       server-0  DaemonOpts: 
# Booted:     1517410719.4 [20180131-07:58:39]
# Distro:     debian jessie/sid, Ubuntu 14.04.1 LTS  Platform: 
# Date:       20180131-095504  Secs: 1517417704 TZ: -0700
# SubSys:     c Options: az Interval: 1 NumCPUs: 64  CPUsDis: 1 NumBud: 0 Flags: iD
# Filters:    NfsFilt:  EnvFilt:  TcpFilt: ituc
# HZ:         100  Arch: x86_64-linux-gnu-thread-multi PageSize: 4096
# Cpu:        GenuineIntel Speed(MHz): 2199.972 Cores: 8  Siblings: 8 Nodes: 4
# Kernel:     3.13.0-100-generic  Memory: 131822812 kB  Swap: 3145724 kB
# NumDisks:   7 DiskNames: sdc sdb sdd sde sdf sdg sda
# NumNets:    9 NetNames: eth0:1000 eth1:?? eth2:?? eth3:?? eth4:10000 eth5:10000 eth6:10000 eth7:10000 lo:??
# SCSI:       DA:0:00:00:00 DA:0:00:01:00 DA:0:00:02:00 DA:0:00:03:00 DA:0:00:04:00 DA:0:00:05:00 DA:0:00:06:00 ??:0:00:32:00
################################################################################
#Date Time [CPU]User% [CPU]Nice% [CPU]Sys% [CPU]Wait% [CPU]Irq% [CPU]Soft% [CPU]Steal% [CPU]Idle% [CPU]Totl% [CPU]Intrpt/sec [CPU]Ctx/sec [CPU]Proc/sec [CPU]ProcQue [CPU]ProcRun [CPU]L-Avg1 [CPU]L-Avg5 [CPU]L-Avg15 [CPU]RunTot [CPU]BlkTot
20180131 09:55:07 1 0 41 0 0 18 0 40 60 1709959 1039117 0 685 18 16.97 16.93 16.15 21 0
20180131 09:55:08 1 0 41 0 0 20 0 39 61 1708143 1021821 0 685 23 16.97 16.93 16.15 19 0
20180131 09:55:09 1 0 42 0 0 18 0 40 60 1732346 1039352 0 685 26 16.97 16.93 16.15 22 0
20180131 09:55:10 1 0 42 0 0 20 0 38 62 1744834 1008780 0 685 18 16.97 16.93 16.15 16 0
20180131 09:55:11 1 0 42 0 0 20 0 37 63 1725415 988925 0 685 20 16.81 16.90 16.15 17 0
20180131 09:55:12 1 0 42 0 0 19 0 38 62 1699908 1000193 0 685 16 16.81 16.90 16.15 19 0
20180131 09:55:13 1 0 42 0 0 19 0 38 62 1682619 994618 0 685 23 16.81 16.90 16.15 19 0
20180131 09:55:14 1 0 42 0 0 18 0 39 61 1708797 1027145 0 685 24 16.81 16.90 16.15 20 0
20180131 09:55:15 0 0 42 0 0 20 0 38 62 1684844 993689 0 685 20 16.81 16.90 16.15 19 0
20180131 09:55:16 1 0 41 0 0 19 0 39 61 1704249 1021393 0 685 23 16.99 16.93 16.16 18 0
20180131 09:55:17 1 0 41 0 0 18 0 40 60 1710128 1034713 0 685 25 16.99 16.93 16.16 20 0
20180131 09:55:18 1 0 41 0 0 19 0 39 61 1705544 1029807 0 685 22 16.99 16.93 16.16 18 0
20180131 09:55:19 1 0 41 0 0 18 0 40 60 1708223 1041690 0 685 20 16.99 16.93 16.16 20 0
20180131 09:55:20 1 0 41 0 0 19 0 39 61 1717828 1038763 0 685 16 16.99 16.93 16.16 18 0
