################################################################################
# Collectl:   V3.6.9-1  HiRes: 1  Options: -P -f results/2018-01-30-10-08/udp_pincli_u40_c99_3.dat -sc -c40 -oaz 
# Host:       server-0  DaemonOpts: 
# Booted:     1517410719.53 [20180131-07:58:39]
# Distro:     debian jessie/sid, Ubuntu 14.04.1 LTS  Platform: 
# Date:       20180131-122900  Secs: 1517426940 TZ: -0700
# SubSys:     c Options: az Interval: 1 NumCPUs: 64  CPUsDis: 1 NumBud: 0 Flags: iD
# Filters:    NfsFilt:  EnvFilt:  TcpFilt: ituc
# HZ:         100  Arch: x86_64-linux-gnu-thread-multi PageSize: 4096
# Cpu:        GenuineIntel Speed(MHz): 2199.972 Cores: 8  Siblings: 8 Nodes: 4
# Kernel:     3.13.0-100-generic  Memory: 131822812 kB  Swap: 3145724 kB
# NumDisks:   7 DiskNames: sdc sdb sdd sde sdf sdg sda
# NumNets:    9 NetNames: eth0:1000 eth1:?? eth2:?? eth3:?? eth4:10000 eth5:10000 eth6:10000 eth7:10000 lo:??
# SCSI:       DA:0:00:00:00 DA:0:00:01:00 DA:0:00:02:00 DA:0:00:03:00 DA:0:00:04:00 DA:0:00:05:00 DA:0:00:06:00 ??:0:00:32:00
################################################################################
#Date Time [CPU]User% [CPU]Nice% [CPU]Sys% [CPU]Wait% [CPU]Irq% [CPU]Soft% [CPU]Steal% [CPU]Idle% [CPU]Totl% [CPU]Intrpt/sec [CPU]Ctx/sec [CPU]Proc/sec [CPU]ProcQue [CPU]ProcRun [CPU]L-Avg1 [CPU]L-Avg5 [CPU]L-Avg15 [CPU]RunTot [CPU]BlkTot
20180131 12:29:03 1 0 31 0 0 12 0 56 44 1803544 1297893 0 687 18 8.11 9.95 16.54 17 0
20180131 12:29:04 1 0 31 0 0 12 0 56 44 1811067 1299102 0 687 19 8.11 9.95 16.54 15 0
20180131 12:29:05 1 0 30 0 0 13 0 57 43 1864966 1297659 0 687 17 8.11 9.95 16.54 12 0
20180131 12:29:06 1 0 31 0 0 13 0 56 44 1812234 1300139 0 687 20 8.11 9.95 16.54 13 0
20180131 12:29:07 1 0 31 0 0 12 0 56 44 1805585 1298530 0 687 15 8.11 9.95 16.54 12 0
20180131 12:29:08 1 0 31 0 0 12 0 56 44 1805463 1298416 0 687 13 8.42 9.98 16.52 20 0
20180131 12:29:09 1 0 31 0 0 12 0 56 44 1806613 1300160 0 687 16 8.42 9.98 16.52 11 0
20180131 12:29:10 1 0 31 0 0 12 0 56 44 1805871 1299578 0 687 22 8.42 9.98 16.52 17 0
20180131 12:29:11 1 0 31 0 0 12 0 56 44 1804361 1296202 0 687 15 8.42 9.98 16.52 17 0
20180131 12:29:12 1 0 31 0 0 12 0 56 44 1806098 1298165 0 687 24 8.42 9.98 16.52 16 0
20180131 12:29:13 1 0 30 0 0 12 0 57 43 1805813 1298636 0 687 17 9.19 10.11 16.53 19 0
20180131 12:29:14 1 0 31 0 0 12 0 56 44 1806868 1298688 0 687 16 9.19 10.11 16.53 14 0
20180131 12:29:15 1 0 31 0 0 13 0 56 44 1805861 1299583 0 687 13 9.19 10.11 16.53 13 0
20180131 12:29:16 0 0 31 0 0 12 0 57 43 1805074 1298935 0 687 17 9.19 10.11 16.53 19 0
20180131 12:29:17 1 0 30 0 0 12 0 57 43 1806502 1300383 0 687 18 9.19 10.11 16.53 19 0
20180131 12:29:18 1 0 31 0 0 12 0 56 44 1805184 1298842 0 687 19 9.73 10.21 16.52 20 0
20180131 12:29:19 0 0 32 0 0 12 0 56 44 1803912 1298213 0 687 14 9.73 10.21 16.52 18 0
20180131 12:29:20 1 0 30 0 0 13 0 56 44 1805516 1300025 0 687 13 9.73 10.21 16.52 16 0
20180131 12:29:21 1 0 30 0 0 12 0 57 43 1804040 1298413 0 687 16 9.73 10.21 16.52 20 0
20180131 12:29:22 1 0 30 0 0 13 0 56 44 1805866 1299334 0 687 19 9.60 10.17 16.48 17 0
20180131 12:29:23 0 0 30 0 0 12 0 57 43 1808052 1300576 0 687 14 9.60 10.17 16.48 16 0
20180131 12:29:24 1 0 31 0 0 12 0 56 44 1804835 1299115 0 687 19 9.60 10.17 16.48 21 0
