################################################################################
# Collectl:   V3.6.9-1  HiRes: 1  Options: -P -f results/2018-01-30-10-08/udp_revised_u40_c33_1.dat -sc -c40 -oaz 
# Host:       server-0  DaemonOpts: 
# Booted:     1517429023.01 [20180131-13:03:43]
# Distro:     debian jessie/sid, Ubuntu 14.04.1 LTS  Platform: 
# Date:       20180131-161652  Secs: 1517440612 TZ: -0700
# SubSys:     c Options: az Interval: 1 NumCPUs: 64  CPUsDis: 1 NumBud: 0 Flags: iD
# Filters:    NfsFilt:  EnvFilt:  TcpFilt: ituc
# HZ:         100  Arch: x86_64-linux-gnu-thread-multi PageSize: 4096
# Cpu:        GenuineIntel Speed(MHz): 2199.845 Cores: 8  Siblings: 8 Nodes: 4
# Kernel:     3.13.0-100-generic  Memory: 131822812 kB  Swap: 3145724 kB
# NumDisks:   7 DiskNames: sdb sdc sdd sdg sdf sde sda
# NumNets:    9 NetNames: eth0:1000 eth1:?? eth2:?? eth3:?? eth4:10000 eth5:10000 eth6:10000 eth7:10000 lo:??
# SCSI:       DA:0:00:00:00 DA:0:00:01:00 DA:0:00:02:00 DA:0:00:03:00 DA:0:00:04:00 DA:0:00:05:00 DA:0:00:06:00 ??:0:00:32:00
################################################################################
#Date Time [CPU]User% [CPU]Nice% [CPU]Sys% [CPU]Wait% [CPU]Irq% [CPU]Soft% [CPU]Steal% [CPU]Idle% [CPU]Totl% [CPU]Intrpt/sec [CPU]Ctx/sec [CPU]Proc/sec [CPU]ProcQue [CPU]ProcRun [CPU]L-Avg1 [CPU]L-Avg5 [CPU]L-Avg15 [CPU]RunTot [CPU]BlkTot
20180131 16:16:55 1 0 21 0 0 2 0 77 23 1182577 903173 1 687 10 6.84 4.83 3.00 8 0
20180131 16:16:56 1 0 21 0 0 2 0 77 23 1184826 906225 0 687 9 6.84 4.83 3.00 8 0
20180131 16:16:57 1 0 21 0 0 2 0 76 24 1187715 909505 0 687 8 6.84 4.83 3.00 2 0
20180131 16:16:58 1 0 21 0 0 2 0 76 24 1185859 909518 0 687 6 6.93 4.89 3.02 9 0
20180131 16:16:59 1 0 20 0 0 2 0 77 23 1184101 906262 0 687 15 6.93 4.89 3.02 3 0
20180131 16:17:00 1 0 21 0 0 2 0 76 24 1189641 909988 0 687 14 6.93 4.89 3.02 5 0
20180131 16:17:01 0 0 21 0 0 2 0 76 24 1195936 916657 0 687 6 6.93 4.89 3.02 8 0
20180131 16:17:02 1 0 22 0 0 2 0 75 25 1190732 912432 3 687 10 6.93 4.89 3.02 7 0
20180131 16:17:03 1 0 22 0 0 2 0 76 24 1183361 900348 0 687 8 6.85 4.91 3.04 5 0
20180131 16:17:04 1 0 21 0 0 2 0 77 23 1182412 902735 0 687 5 6.85 4.91 3.04 15 0
20180131 16:17:05 1 0 22 0 0 2 0 76 24 1188401 907981 0 687 6 6.85 4.91 3.04 11 0
20180131 16:17:06 1 0 22 0 0 2 0 75 25 1197276 912460 0 687 7 6.85 4.91 3.04 6 0
20180131 16:17:07 1 0 21 0 0 2 0 76 24 1195671 912327 0 687 6 6.85 4.91 3.04 9 0
20180131 16:17:08 0 0 21 0 0 2 0 76 24 1194748 912972 0 687 13 6.71 4.91 3.05 8 0
20180131 16:17:09 1 0 21 0 0 2 0 76 24 1191320 911432 0 687 6 6.71 4.91 3.05 9 0
20180131 16:17:10 1 0 21 0 0 2 0 76 24 1197158 914138 0 687 6 6.71 4.91 3.05 8 0
20180131 16:17:11 1 0 21 0 0 2 0 76 24 1202302 917421 0 687 7 6.71 4.91 3.05 6 0
20180131 16:17:12 1 0 21 0 0 2 0 76 24 1196736 913427 0 687 13 6.71 4.91 3.05 2 0
20180131 16:17:13 1 0 21 0 0 2 0 75 25 1188935 910107 0 687 9 6.73 4.94 3.07 9 0
20180131 16:17:14 1 0 21 0 0 2 0 76 24 1190153 910264 0 687 4 6.73 4.94 3.07 9 0
20180131 16:17:15 1 0 22 0 0 2 0 76 24 1195924 914272 0 687 5 6.73 4.94 3.07 6 0
20180131 16:17:16 1 0 21 0 0 2 0 76 24 1197619 916627 0 687 8 6.73 4.94 3.07 5 0
20180131 16:17:17 1 0 22 0 0 3 0 75 25 1197668 917205 0 687 8 6.73 4.94 3.07 7 0
20180131 16:17:18 1 0 21 0 0 2 0 76 24 1193575 913303 0 687 7 6.51 4.93 3.08 13 0
20180131 16:17:19 1 0 21 0 0 2 0 76 24 1185936 907358 0 687 7 6.51 4.93 3.08 6 0
20180131 16:17:20 0 0 22 0 0 2 0 76 24 1190628 911112 0 687 7 6.51 4.93 3.08 13 0
20180131 16:17:21 0 0 22 0 0 2 0 75 25 1195283 916487 0 687 4 6.51 4.93 3.08 6 0
20180131 16:17:22 0 0 22 0 0 2 0 75 25 1193533 911636 0 687 7 6.51 4.93 3.08 7 0
20180131 16:17:23 0 0 20 0 0 2 0 77 23 1189115 907483 0 687 4 6.47 4.94 3.09 5 0
20180131 16:17:24 1 0 21 0 0 2 0 76 24 1190676 911336 0 687 4 6.47 4.94 3.09 6 0
20180131 16:17:25 1 0 22 0 0 2 0 76 24 1234726 914827 0 687 8 6.47 4.94 3.09 7 0
20180131 16:17:26 1 0 22 0 0 2 0 75 25 1255780 911526 0 687 13 6.47 4.94 3.09 6 0
20180131 16:17:27 1 0 22 0 0 2 0 76 24 1236139 909363 0 687 6 6.47 4.94 3.09 8 0
20180131 16:17:28 1 0 21 0 0 2 0 76 24 1194192 913375 0 687 9 6.43 4.96 3.11 9 0
20180131 16:17:29 1 0 22 0 0 2 0 75 25 1191894 912032 0 687 11 6.43 4.96 3.11 11 0
20180131 16:17:30 0 0 22 0 0 2 0 76 24 1193471 912876 0 687 4 6.43 4.96 3.11 4 0
20180131 16:17:31 1 0 22 0 0 2 0 76 24 1190175 912249 0 687 7 6.43 4.96 3.11 9 0
20180131 16:17:32 0 0 21 0 0 2 0 76 24 1195536 914775 0 687 9 6.43 4.96 3.11 9 0
20180131 16:17:33 1 0 22 0 0 2 0 75 25 1191549 911114 0 687 11 6.48 5.00 3.13 9 0
20180131 16:17:34 1 0 21 0 0 3 0 76 24 1187027 906668 0 687 6 6.48 5.00 3.13 2 0
