################################################################################
# Collectl:   V3.6.9-1  HiRes: 1  Options: -P -f results/2018-02-26-13-04/udp_32_nopin_u20_c512_1.dat -sc -c20 -oaz 
# Host:       server-0  DaemonOpts: 
# Booted:     1519674311.63 [20180226-12:45:11]
# Distro:     debian jessie/sid, Ubuntu 14.04.1 LTS  Platform: 
# Date:       20180226-131833  Secs: 1519676313 TZ: -0700
# SubSys:     c Options: az Interval: 1 NumCPUs: 64  CPUsDis: 1 NumBud: 0 Flags: iD
# Filters:    NfsFilt:  EnvFilt:  TcpFilt: ituc
# HZ:         100  Arch: x86_64-linux-gnu-thread-multi PageSize: 4096
# Cpu:        GenuineIntel Speed(MHz): 2200.112 Cores: 8  Siblings: 8 Nodes: 4
# Kernel:     3.13.0-100-generic  Memory: 131822812 kB  Swap: 3145724 kB
# NumDisks:   7 DiskNames: sdb sde sdc sdd sdg sdf sda
# NumNets:    9 NetNames: eth0:1000 eth1:?? eth2:?? eth3:?? eth4:10000 eth5:10000 eth6:10000 eth7:?? lo:??
# SCSI:       DA:0:00:00:00 DA:0:00:01:00 DA:0:00:02:00 DA:0:00:03:00 DA:0:00:04:00 DA:0:00:05:00 DA:0:00:06:00 ??:0:00:32:00
################################################################################
#Date Time [CPU]User% [CPU]Nice% [CPU]Sys% [CPU]Wait% [CPU]Irq% [CPU]Soft% [CPU]Steal% [CPU]Idle% [CPU]Totl% [CPU]Intrpt/sec [CPU]Ctx/sec [CPU]Proc/sec [CPU]ProcQue [CPU]ProcRun [CPU]L-Avg1 [CPU]L-Avg5 [CPU]L-Avg15 [CPU]RunTot [CPU]BlkTot
20180226 13:18:35 1 0 44 0 0 40 0 15 85 1046141 31312 0 692 38 22.47 18.55 12.97 37 0
20180226 13:18:36 1 0 44 0 0 41 0 15 85 1019739 26858 0 692 42 22.47 18.55 12.97 39 0
20180226 13:18:37 1 0 45 0 0 41 0 14 86 1045697 26340 0 692 44 22.47 18.55 12.97 43 0
20180226 13:18:38 1 0 46 0 0 40 0 13 87 1057013 26452 0 692 34 22.47 18.55 12.97 36 0
20180226 13:18:39 1 0 44 0 0 41 0 15 85 991493 23554 0 692 35 22.47 18.55 12.97 38 0
20180226 13:18:40 0 0 45 0 0 40 0 14 86 1033890 26053 0 692 29 23.39 18.81 13.08 33 0
20180226 13:18:41 1 0 44 0 0 40 0 15 85 1017867 27756 0 692 36 23.39 18.81 13.08 37 0
20180226 13:18:42 1 0 41 0 0 31 0 28 72 968675 136786 0 692 24 23.39 18.81 13.08 30 0
20180226 13:18:43 1 0 42 0 0 37 0 20 80 992444 56335 0 692 37 23.39 18.81 13.08 40 0
20180226 13:18:44 1 0 45 0 0 39 0 15 85 1019815 27512 0 692 40 23.39 18.81 13.08 39 0
20180226 13:18:45 1 0 45 0 0 40 0 14 86 1041029 27510 0 692 41 24.32 19.08 13.20 37 0
20180226 13:18:46 1 0 45 0 0 40 0 15 85 1035041 25829 0 692 39 24.32 19.08 13.20 40 0
20180226 13:18:47 1 0 46 0 0 39 0 14 86 1045340 27680 0 692 38 24.32 19.08 13.20 38 0
20180226 13:18:48 0 0 30 1 0 30 0 39 60 683328 20138 0 659 7 24.32 19.08 13.20 3 0
