################################################################################
# Collectl:   V3.6.9-1  HiRes: 1  Options: -P -f results/2018-02-26-13-04/udp_64_pin_u20_c256_0.dat -sc -c20 -oaz 
# Host:       server-0  DaemonOpts: 
# Booted:     1519674312 [20180226-12:45:12]
# Distro:     debian jessie/sid, Ubuntu 14.04.1 LTS  Platform: 
# Date:       20180226-131010  Secs: 1519675810 TZ: -0700
# SubSys:     c Options: az Interval: 1 NumCPUs: 64  CPUsDis: 1 NumBud: 0 Flags: iD
# Filters:    NfsFilt:  EnvFilt:  TcpFilt: ituc
# HZ:         100  Arch: x86_64-linux-gnu-thread-multi PageSize: 4096
# Cpu:        GenuineIntel Speed(MHz): 2200.112 Cores: 8  Siblings: 8 Nodes: 4
# Kernel:     3.13.0-100-generic  Memory: 131822812 kB  Swap: 3145724 kB
# NumDisks:   7 DiskNames: sdb sde sdc sdd sdg sdf sda
# NumNets:    9 NetNames: eth0:1000 eth1:?? eth2:?? eth3:?? eth4:10000 eth5:10000 eth6:10000 eth7:?? lo:??
# SCSI:       DA:0:00:00:00 DA:0:00:01:00 DA:0:00:02:00 DA:0:00:03:00 DA:0:00:04:00 DA:0:00:05:00 DA:0:00:06:00 ??:0:00:32:00
################################################################################
#Date Time [CPU]User% [CPU]Nice% [CPU]Sys% [CPU]Wait% [CPU]Irq% [CPU]Soft% [CPU]Steal% [CPU]Idle% [CPU]Totl% [CPU]Intrpt/sec [CPU]Ctx/sec [CPU]Proc/sec [CPU]ProcQue [CPU]ProcRun [CPU]L-Avg1 [CPU]L-Avg5 [CPU]L-Avg15 [CPU]RunTot [CPU]BlkTot
20180226 13:10:12 1 0 53 0 0 42 0 5 95 1245374 148700 0 720 68 10.68 10.96 6.40 61 0
20180226 13:10:13 1 0 53 0 0 41 0 5 95 1246459 161932 0 720 64 10.68 10.96 6.40 57 0
20180226 13:10:14 1 0 53 0 0 41 0 5 95 1246111 162089 0 720 56 14.07 11.66 6.65 60 0
20180226 13:10:15 1 0 53 0 0 42 0 4 96 1238657 163355 0 720 67 14.07 11.66 6.65 67 0
20180226 13:10:16 1 0 53 0 0 41 0 5 95 1249055 167134 0 720 59 14.07 11.66 6.65 58 0
20180226 13:10:17 1 0 53 0 0 40 0 6 94 1264040 178106 0 720 53 14.07 11.66 6.65 60 0
20180226 13:10:18 1 0 53 0 0 41 0 5 95 1239210 140646 0 720 63 14.07 11.66 6.65 61 0
20180226 13:10:19 1 0 54 0 0 41 0 5 95 1246043 159423 0 720 56 17.03 12.31 6.89 61 0
20180226 13:10:20 1 0 53 0 0 42 0 5 95 1239076 145906 0 720 47 17.03 12.31 6.89 52 0
20180226 13:10:21 1 0 53 0 0 41 0 5 95 1243053 148182 0 720 64 17.03 12.31 6.89 56 0
20180226 13:10:22 1 0 53 0 0 41 0 5 95 1231189 142752 0 720 56 17.03 12.31 6.89 53 0
20180226 13:10:23 1 0 54 0 0 41 0 5 95 1251031 169249 0 720 61 17.03 12.31 6.89 60 0
20180226 13:10:24 1 0 52 0 0 42 0 5 95 1245778 167136 0 720 63 20.15 13.03 7.15 62 0
20180226 13:10:25 1 0 53 0 0 41 0 5 95 1240616 169333 0 720 62 20.15 13.03 7.15 64 0
20180226 13:10:26 0 0 53 0 0 42 0 5 95 1249741 181297 0 720 61 20.15 13.03 7.15 62 0
20180226 13:10:27 1 0 53 0 0 41 0 5 95 1245996 174936 0 720 58 20.15 13.03 7.15 58 0
20180226 13:10:28 1 0 52 0 0 42 0 5 95 1238937 161069 0 720 63 20.15 13.03 7.15 56 0
20180226 13:10:29 1 0 52 0 0 43 0 4 96 1229546 151289 1 720 70 23.58 13.86 7.45 65 0
20180226 13:10:30 1 0 52 0 0 43 0 4 96 1232892 154437 0 720 59 23.58 13.86 7.45 59 0
20180226 13:10:31 1 0 53 0 0 42 0 4 96 1236935 152130 0 720 64 23.58 13.86 7.45 59 0
