################################################################################
# Collectl:   V3.6.9-1  HiRes: 1  Options: -P -f results/default/udp_revised_u40_c33_2.dat -sc -c40 -oaz 
# Host:       server-0  DaemonOpts: 
# Booted:     1517429023.66 [20180131-13:03:43]
# Distro:     debian jessie/sid, Ubuntu 14.04.1 LTS  Platform: 
# Date:       20180131-160413  Secs: 1517439853 TZ: -0700
# SubSys:     c Options: az Interval: 1 NumCPUs: 64  CPUsDis: 1 NumBud: 0 Flags: iD
# Filters:    NfsFilt:  EnvFilt:  TcpFilt: ituc
# HZ:         100  Arch: x86_64-linux-gnu-thread-multi PageSize: 4096
# Cpu:        GenuineIntel Speed(MHz): 2199.845 Cores: 8  Siblings: 8 Nodes: 4
# Kernel:     3.13.0-100-generic  Memory: 131822812 kB  Swap: 3145724 kB
# NumDisks:   7 DiskNames: sdb sdc sdd sdg sdf sde sda
# NumNets:    9 NetNames: eth0:1000 eth1:?? eth2:?? eth3:?? eth4:10000 eth5:10000 eth6:10000 eth7:10000 lo:??
# SCSI:       DA:0:00:00:00 DA:0:00:01:00 DA:0:00:02:00 DA:0:00:03:00 DA:0:00:04:00 DA:0:00:05:00 DA:0:00:06:00 ??:0:00:32:00
################################################################################
#Date Time [CPU]User% [CPU]Nice% [CPU]Sys% [CPU]Wait% [CPU]Irq% [CPU]Soft% [CPU]Steal% [CPU]Idle% [CPU]Totl% [CPU]Intrpt/sec [CPU]Ctx/sec [CPU]Proc/sec [CPU]ProcQue [CPU]ProcRun [CPU]L-Avg1 [CPU]L-Avg5 [CPU]L-Avg15 [CPU]RunTot [CPU]BlkTot
20180131 16:04:16 0 0 14 0 0 1 0 84 16 619763 645878 0 691 4 6.30 2.37 0.90 9 0
20180131 16:04:17 0 0 15 0 0 1 0 84 16 619579 645530 0 691 7 6.30 2.37 0.90 8 0
20180131 16:04:18 1 0 14 0 0 1 0 85 15 611322 636984 0 691 1 6.04 2.38 0.91 8 0
20180131 16:04:19 1 0 14 0 0 1 0 85 15 606794 632476 0 691 4 6.04 2.38 0.91 6 0
20180131 16:04:20 1 0 14 0 0 1 0 85 15 610552 636812 0 691 8 6.04 2.38 0.91 5 0
20180131 16:04:21 0 0 14 0 0 0 0 85 15 608564 634450 0 691 4 6.04 2.38 0.91 7 0
20180131 16:04:22 0 0 13 0 0 1 0 86 14 605936 632100 0 691 10 6.04 2.38 0.91 1 0
20180131 16:04:23 0 0 15 0 0 1 0 84 16 613398 639424 0 691 8 6.03 2.44 0.93 4 0
20180131 16:04:24 1 0 14 0 0 1 0 85 15 608441 634046 0 691 1 6.03 2.44 0.93 7 0
20180131 16:04:25 0 0 15 0 0 0 0 85 15 613497 639112 0 691 10 6.03 2.44 0.93 5 0
20180131 16:04:26 0 0 14 0 0 1 0 85 15 607064 633022 0 691 11 6.03 2.44 0.93 8 0
20180131 16:04:27 0 0 15 0 0 1 0 84 16 608518 634301 0 691 5 6.03 2.44 0.93 8 0
20180131 16:04:28 0 0 15 0 0 1 0 84 16 612247 638454 0 691 4 5.87 2.47 0.95 7 0
20180131 16:04:29 1 0 14 0 0 0 0 85 15 607771 633160 0 691 6 5.87 2.47 0.95 4 0
20180131 16:04:30 0 0 14 0 0 0 0 85 15 607494 632873 0 691 7 5.87 2.47 0.95 5 0
20180131 16:04:31 1 0 13 0 0 0 0 86 14 605790 631490 0 691 9 5.87 2.47 0.95 5 0
20180131 16:04:32 1 0 14 0 0 1 0 85 15 605192 630685 0 691 9 5.87 2.47 0.95 5 0
20180131 16:04:33 0 0 14 0 0 1 0 85 15 643182 631611 0 691 5 5.64 2.47 0.96 3 0
20180131 16:04:34 0 0 14 0 0 1 0 85 15 630685 634176 0 691 5 5.64 2.47 0.96 6 0
20180131 16:04:35 1 0 14 0 0 0 0 85 15 611259 636966 0 691 4 5.64 2.47 0.96 9 0
20180131 16:04:36 0 0 14 0 0 1 0 84 16 609258 634409 0 691 8 5.64 2.47 0.96 11 0
20180131 16:04:37 0 0 14 0 0 1 0 85 15 606759 632687 0 691 14 5.64 2.47 0.96 6 0
20180131 16:04:38 1 0 15 0 0 0 0 84 16 612815 638549 0 691 6 5.59 2.52 0.98 5 0
20180131 16:04:39 0 0 15 0 0 1 0 84 16 611695 637896 0 691 8 5.59 2.52 0.98 5 0
20180131 16:04:40 0 0 15 0 0 1 0 84 16 614486 640548 0 691 11 5.59 2.52 0.98 3 0
20180131 16:04:41 1 0 15 0 0 1 0 84 16 608453 634324 0 691 4 5.59 2.52 0.98 3 0
20180131 16:04:42 0 0 15 0 0 1 0 84 16 616201 642036 0 691 10 5.70 2.59 1.02 7 0
20180131 16:04:43 1 0 15 0 0 1 0 84 16 619367 645845 0 691 6 5.70 2.59 1.02 6 0
20180131 16:04:44 0 0 15 0 0 1 0 84 16 621317 647358 0 691 7 5.70 2.59 1.02 4 0
20180131 16:04:45 1 0 15 0 0 1 0 84 16 615383 641383 0 691 9 5.70 2.59 1.02 5 0
20180131 16:04:46 1 0 15 0 0 1 0 84 16 613302 639031 0 691 10 5.70 2.59 1.02 13 0
20180131 16:04:47 1 0 14 0 0 0 0 85 15 610228 635858 0 691 9 5.89 2.68 1.05 3 0
20180131 16:04:48 0 0 15 0 0 1 0 84 16 606236 631896 0 691 6 5.89 2.68 1.05 4 0
20180131 16:04:49 1 0 14 0 0 0 0 85 15 604041 629450 0 691 9 5.89 2.68 1.05 8 0
20180131 16:04:50 1 0 15 0 0 1 0 84 16 611567 637177 0 691 8 5.89 2.68 1.05 7 0
20180131 16:04:51 1 0 14 0 0 1 0 85 15 604231 629644 0 691 9 5.89 2.68 1.05 4 0
20180131 16:04:52 0 0 14 0 0 1 0 85 15 609052 634818 0 691 3 5.42 2.64 1.05 6 0
20180131 16:04:53 0 0 14 0 0 0 0 85 15 607947 633993 1 691 7 5.42 2.64 1.05 7 0
20180131 16:04:54 0 0 14 0 0 1 0 85 15 607007 632668 0 691 7 5.42 2.64 1.05 8 0
20180131 16:04:55 0 0 15 0 0 1 0 84 16 614880 641322 13 691 8 5.42 2.64 1.05 3 0
