################################################################################
# Collectl:   V3.6.9-1  HiRes: 1  Options: -P -f results/multiserv_blocking/tcp_collect_32serv_0.dat -sc -c20 
# Host:       server-0  DaemonOpts: 
# Booted:     1512503082.87 [20171205-12:44:42]
# Distro:     debian jessie/sid, Ubuntu 14.04.1 LTS  Platform: 
# Date:       20171205-183945  Secs: 1512524385 TZ: -0700
# SubSys:     c Options:  Interval: 1 NumCPUs: 32  NumBud: 0 Flags: i
# Filters:    NfsFilt:  EnvFilt:  TcpFilt: ituc
# HZ:         100  Arch: x86_64-linux-gnu-thread-multi PageSize: 4096
# Cpu:        GenuineIntel Speed(MHz): 2199.956 Cores: 8  Siblings: 8 Nodes: 4
# Kernel:     3.13.0-100-generic  Memory: 131822812 kB  Swap: 3145724 kB
# NumDisks:   7 DiskNames: sdb sdc sdd sde sdf sdg sda
# NumNets:    9 NetNames: eth0:1000 eth1:?? eth2:?? eth3:?? eth4:10000 eth5:10000 eth6:10000 eth7:?? lo:??
# SCSI:       DA:0:00:00:00 DA:0:00:01:00 DA:0:00:02:00 DA:0:00:03:00 DA:0:00:04:00 DA:0:00:05:00 DA:0:00:06:00 ??:0:00:32:00
################################################################################
#Date Time [CPU]User% [CPU]Nice% [CPU]Sys% [CPU]Wait% [CPU]Irq% [CPU]Soft% [CPU]Steal% [CPU]Idle% [CPU]Totl% [CPU]Intrpt/sec [CPU]Ctx/sec [CPU]Proc/sec [CPU]ProcQue [CPU]ProcRun [CPU]L-Avg1 [CPU]L-Avg5 [CPU]L-Avg15 [CPU]RunTot [CPU]BlkTot
20171205 18:39:47 1 0 20 0 0 7 0 72 28 739855 699093 0 464 7 2.40 1.32 1.15 14 0
20171205 18:39:48 1 0 21 0 0 7 0 71 29 745747 701085 0 464 10 2.40 1.32 1.15 12 0
20171205 18:39:49 1 0 20 0 0 7 0 72 28 742738 699432 0 464 12 2.40 1.32 1.15 17 0
20171205 18:39:50 1 0 21 0 0 6 0 72 28 742721 699490 0 464 9 2.40 1.32 1.15 12 0
20171205 18:39:51 1 0 21 0 0 6 0 72 28 743053 706850 0 464 10 2.53 1.37 1.17 18 0
20171205 18:39:52 2 0 21 0 0 5 0 72 28 775364 736356 0 464 15 2.53 1.37 1.17 6 0
20171205 18:39:53 1 0 22 0 0 5 0 72 28 859004 740029 0 464 10 2.53 1.37 1.17 10 0
20171205 18:39:54 2 0 21 0 0 5 0 73 27 869293 735386 0 464 9 2.53 1.37 1.17 8 0
20171205 18:39:55 2 0 22 0 0 5 0 71 29 827634 736951 0 464 10 2.53 1.37 1.17 9 0
20171205 18:39:56 2 0 22 0 0 5 0 72 28 772047 735768 0 464 12 2.81 1.44 1.19 16 0
20171205 18:39:57 1 0 22 0 0 5 0 71 29 766623 733137 1 464 9 2.81 1.44 1.19 8 0
20171205 18:39:58 1 0 22 0 0 5 0 72 28 766073 732676 0 464 12 2.81 1.44 1.19 11 0
20171205 18:39:59 2 0 22 0 0 4 0 72 28 762852 733662 0 464 7 2.81 1.44 1.19 10 0
20171205 18:40:00 2 0 22 0 0 5 0 72 28 766824 732022 0 464 12 2.81 1.44 1.19 7 0
