# Expduration = 5
ncli	tput5	tput20+spin			tput20-spin
1	18558,19082,18871,18999,18992	14712,14755,14610,14867,14603
2	37824,37657,37064,37058,38678	27478,27002,26850,26880,27119
4	66396,65043,66665,68838,68572	49617,50032,51021,48605,49428
8	84380,84243,84594,84141,84300	93602,91114,96788,83013,83860
16	129822,134030,131798,129577,130878	101458,121925,101112,100454,101737
32	185354,187715,186313,189191,188496	168214,171324,164918,174953,173541
64	231423,232386,232680,231721,232423	229631,230671,230816,228329,229410
128	224435,224239,227767,228333,227664	226023,226575,225953,227588,226886
256	224571,225476,225133,224123,221891	224154,224073,223298,223966,223688
512	220980,221307,222249,220135,220788	219136,220044,221010,219276,218361
1024	215736,215657,215335,212757,216258	215410,214565,215516,215765,216434
